name,team,pos,gp,eG25,aG24,aG25,24-25,a24-25,G22,G23,G24,G25,pastG,Gvar,aP,P,pastP,Pvar,eSOG,aSOG,SOG,pastSOG,SOGvar,Gpick,Ppick,Spick
Valeri Nichushkin,COL,R,46,14.4,0.26,0.26,9.0,0.25,17,28,21,12.0,0-0-0-0-1,0.16,0.74,34,3-0-1-1-1,0.96,120,2.33,107.0,2-2-1-0-2,0.64, , , 
Jack Hughes,NJD,C,37,12.93,0.34,0.32,15.0,0.33,43,27,27,12.0,0,0.0,1.0,37,1-0-2,0.67,127,3.49,129.0,2-1-7,10.89, , , 
Nikolaj Ehlers,CAR,L,57,12.45,0.3,0.25,10.0,0.4,12,25,24,14.0,0,0.0,0.75,43,1-1-0-0-1,0.24,158,2.46,140.0,5-0-2-1-2,2.8, , , 
Kevin Fiala,LAK,L,56,16.76,0.44,0.32,17.0,0.65,23,29,35,18.0,0,0.0,0.71,40,0-2-0-0-1-1,0.56,171,2.62,147.0,2-3-0-0-2-1,1.22, , , 
Dylan Larkin,DET,C,58,26.64,0.38,0.45,4.0,0.17,32,33,30,26.0,1-0-0-0-0,0.16,0.88,51,1-2-0-1-0,0.56,202,2.93,170.0,2-1-4-1-6,3.76, , , 
Brock Faber,MIN,D,58,6.31,0.12,0.22,-3.0,-0.12,0,8,10,13.0,0-2-0-0,0.75,0.64,37,1-3-1-0,1.19,128,2.16,125.0,4-3-2-0,2.19, , , 
Emil Heineman,NYI,L,58,15.11,0.12,0.26,-5.0,-0.21,,0,10,15.0,0-0-0-0-0-1,0.14,0.4,23,0-0-0-0-0-1,0.14,137,2.19,127.0,1-0-5-3-1-4,3.22, , , 
Filip Forsberg,NSH,L,57,18.14,0.39,0.42,7.0,0.28,19,48,31,24.0,0-1-1-2-1-0,0.47,0.82,47,0-2-2-2-1-0,0.81,199,3.04,173.0,1-6-2-4-4-3,2.56, , , 
Jordan Eberle,SEA,R,55,21.49,0.11,0.36,-11.0,-0.41,20,17,9,20.0,0-0-1-0-0-1,0.22,0.69,38,0-0-1-0-1-2,0.56,146,2.22,122.0,3-1-2-3-0-3,1.33, , , 
Seth Jarvis,CAR,C,49,20.26,0.4,0.51,7.0,0.21,14,33,32,25.0,0-2-0-0-0,0.64,0.88,43,0-2-1-0-1,0.56,169,3.16,155.0,2-4-2-4-2,0.96, , , 
Darnell Nurse,EDM,D,58,4.82,0.06,0.12,-2.0,-0.08,12,10,5,7.0,0,0.0,0.31,18,0-0-1-0,0.19,127,2.16,125.0,5-4-1-3,2.19, , , 
