name,team,GP,SOG,SOG_per_game,SOG_list,SOG_differential,SOG_variance
Justin Danforth,BUF,"['3', '2', '1']",2.0,0.67,[2.0],[],
Josh Doan,BUF,"['3', '2', '1']",9.0,3.0,"[9.0, 8.0, 5.0, 2.0]","[3.0, 3.0, 1.0]",0.89
Mason Geertsen,BUF,"['2', '1']",0.0,0.0,[0.0],[],
Tyson Kozak,BUF,"['2', '1']",1.0,0.5,"[1.0, 0.0]",[1.0],0.0
Peyton Krebs,BUF,"['3', '2', '1']",3.0,1.0,"[3.0, 0.0]",[3.0],0.0
Jiri Kulich,BUF,"['3', '2', '1']",7.0,2.33,"[7.0, 3.0, 2.0]","[1.0, 4.0]",2.25
Beck Malenstyn,BUF,"['3', '2', '1']",3.0,1.0,"[3.0, 1.0]",[2.0],0.0
Ryan McLeod,BUF,"['3', '2', '1']",2.0,0.67,[2.0],[],
Josh Norris,BUF,['1'],4.0,4.0,[4.0],[],
Jack Quinn,BUF,"['3', '2', '1']",2.0,0.67,"[2.0, 1.0]",[1.0],0.0
Tage Thompson,BUF,"['3', '2', '1']",18.0,6.0,"[18.0, 17.0, 13.0, 5.0]","[8.0, 4.0, 1.0]",8.22
Alex Tuch,BUF,"['3', '2', '1']",10.0,3.33,"[10.0, 9.0, 7.0, 6.0]","[1.0, 2.0, 1.0]",0.22
Jason Zucker,BUF,"['3', '2', '1']",9.0,3.0,"[9.0, 8.0, 5.0]","[3.0, 1.0]",1.0
Jacob Bryson,BUF,"['3', '2', '1']",1.0,0.33,"[1.0, 0.0]",[1.0],0.0
Bowen Byram,BUF,"['3', '2', '1']",2.0,0.67,"[2.0, 1.0]",[1.0],0.0
Rasmus Dahlin,BUF,"['3', '2', '1']",8.0,2.67,"[8.0, 4.0]",[4.0],0.0
Ryan Johnson,BUF,"['2', '1']",0.0,0.0,[0.0],[],
Owen Power,BUF,"['2', '1']",5.0,2.5,"[5.0, 2.0]",[3.0],0.0
Mattias Samuelsson,BUF,"['2', '1']",1.0,0.5,[1.0],[],
Conor Timmins,BUF,"['3', '2', '1']",2.0,0.67,"[2.0, 1.0]",[1.0],0.0
Michael Amadio,OTT,"['3', '2', '1']",1.0,0.33,"[1.0, 0.0]",[1.0],0.0
Nick Cousins,OTT,"['3', '2', '1']",1.0,0.33,[1.0],[],
Dylan Cozens,OTT,"['3', '2', '1']",9.0,3.0,"[9.0, 6.0, 2.0]","[4.0, 3.0]",0.25
Lars Eller,OTT,"['3', '2', '1']",1.0,0.33,[1.0],[],
Claude Giroux,OTT,"['3', '2', '1']",6.0,2.0,"[6.0, 4.0, 2.0]","[2.0, 2.0]",0.0
Ridly Greig,OTT,"['3', '2', '1']",6.0,2.0,"[6.0, 4.0]",[2.0],0.0
Olle Lycksell,OTT,['1'],1.0,1.0,[1.0],[],
Kurtis MacDermid,OTT,"['2', '1']",1.0,0.5,"[1.0, 0.0]",[1.0],0.0
David Perron,OTT,"['3', '2', '1']",2.0,0.67,[2.0],[],
Shane Pinto,OTT,"['3', '2', '1']",9.0,3.0,"[9.0, 7.0, 2.0]","[5.0, 2.0]",2.25
Tim Sttzle,OTT,"['3', '2', '1']",11.0,3.67,"[11.0, 5.0, 3.0]","[2.0, 6.0]",4.0
Brady Tkachuk,OTT,"['3', '2', '1']",10.0,3.33,"[10.0, 8.0, 5.0]","[3.0, 2.0]",0.25
Fabian Zetterlund,OTT,"['3', '2', '1']",5.0,1.67,"[5.0, 2.0, 0.0]","[2.0, 3.0]",0.25
Thomas Chabot,OTT,"['3', '2', '1']",4.0,1.33,"[4.0, 3.0]",[1.0],0.0
Nick Jensen,OTT,"['3', '2', '1']",3.0,1.0,"[3.0, 2.0, 0.0]","[2.0, 1.0]",0.25
Tyler Kleven,OTT,['1'],1.0,1.0,[1.0],[],
Nikolas Matinpalo,OTT,"['2', '1']",1.0,0.5,[1.0],[],
Jake Sanderson,OTT,"['3', '2', '1']",9.0,3.0,"[9.0, 6.0, 3.0]","[3.0, 3.0]",0.0
Donovan Sebrango,OTT,"['2', '1']",1.0,0.5,"[1.0, 0.0]",[1.0],0.0
Jordan Spence,OTT,['1'],3.0,3.0,[3.0],[],
Artem Zub,OTT,"['3', '2', '1']",9.0,3.0,"[9.0, 7.0, 5.0]","[2.0, 2.0]",0.0
Mason Appleton,DET,"['3', '2', '1']",4.0,1.33,"[4.0, 2.0, 1.0]","[1.0, 2.0]",0.25
Jonatan Berggren,DET,['1'],0.0,0.0,[0.0],[],
Michael Brandsegg-Nygrd,DET,"['3', '2', '1']",4.0,1.33,"[4.0, 2.0]",[2.0],0.0
J.T. Compher,DET,"['3', '2', '1']",2.0,0.67,"[2.0, 1.0]",[1.0],0.0
Andrew Copp,DET,"['3', '2', '1']",4.0,1.33,"[4.0, 3.0, 1.0]","[2.0, 1.0]",0.25
Alex DeBrincat,DET,"['3', '2', '1']",12.0,4.0,"[12.0, 8.0, 5.0]","[3.0, 4.0]",0.25
Emmitt Finnie,DET,"['3', '2', '1']",3.0,1.0,"[3.0, 1.0]",[2.0],0.0
