lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847798784816248484144,2025,Bedard-Donato-Mikheyev,CHI,line,5on5,14,760.0,153.0,0.26,0.21,0.25,2.86,0.24,0.16,0.65,0.09,1.65,1.21,0.24,0.24,0.24,3.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,0.0,0.06,0.18,0.0,0.0,1.0,0.0,6.03,4.0,4.03,4.0,0.03,0.0,0.0,0.27,0.27,0.27,8.86,0.67,0.6,2.08,0.27,4.9,3.48,0.66,0.66,0.65,6.0,6.0,10.0,22.0,0.0,1.0,0.0,2.0,0.0,5.0,4.0,6.0,12.0,1.0,2.0,3.0,3.0,3.0,3.0,10.0,2.0,0.0,0.37,0.31,0.0,0.0,0.0,0.0,21.63,12.0,11.82,2.0,0.12,0.2,0.2,0.6,0.59,0.59
84821008482911,2025,Nikishin-Nystrom,CAR,pairing,5on5,33,13157.0,169.0,0.53,0.57,0.53,124.76,11.55,7.87,33.39,4.21,64.55,46.43,10.87,11.6,10.91,109.0,59.0,83.0,251.0,9.0,19.0,0.0,27.0,0.0,64.0,49.0,100.0,159.0,11.0,25.0,115.0,97.0,17.0,68.0,133.0,20.0,15.0,4.25,2.57,4.73,6.0,3.0,0.0,256.12,168.0,169.92,36.0,1.65,4.72,4.5,8.7,8.69,8.49,111.01,10.26,7.33,27.23,3.78,55.72,42.68,9.8,10.13,9.68,101.0,46.0,40.0,187.0,7.0,15.0,1.0,25.0,0.0,55.0,45.0,94.0,140.0,14.0,31.0,121.0,137.0,11.0,60.0,100.0,38.0,9.0,3.21,4.41,2.65,2.0,4.0,1.0,181.52,147.0,144.07,36.0,1.54,2.96,2.96,8.85,8.86,8.7
847646184784398481533,2025,Zegras-Couturier-Konecny,PHI,line,5on5,16,1005.0,193.0,0.52,0.64,0.53,6.02,0.5,0.4,1.37,0.18,3.18,2.38,0.5,0.51,0.51,5.0,3.0,10.0,18.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,4.0,7.0,0.0,0.0,4.0,5.0,0.0,3.0,5.0,3.0,0.0,0.18,0.32,0.0,0.0,1.0,0.0,17.62,8.0,7.92,1.0,0.08,0.0,0.0,0.59,0.59,0.59,5.26,0.46,0.37,1.22,0.16,2.75,2.04,0.46,0.47,0.47,3.0,4.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,7.0,0.0,0.0,2.0,5.0,2.0,3.0,5.0,2.0,0.0,0.2,0.27,0.0,0.0,0.0,0.0,10.54,7.0,7.21,2.0,0.08,0.0,0.0,0.54,0.55,0.55
84801968484305,2025,Bryson-Metsa,BUF,pairing,5on5,11,5189.0,36.0,0.31,0.37,0.37,26.19,1.69,1.75,7.49,0.96,14.5,10.61,1.64,1.75,1.7,21.0,16.0,16.0,53.0,3.0,0.0,0.0,4.0,0.0,15.0,15.0,18.0,34.0,9.0,24.0,31.0,32.0,5.0,24.0,31.0,6.0,0.0,0.89,0.8,0.0,2.0,1.0,0.0,54.92,37.0,38.34,12.0,0.37,0.0,0.0,2.06,2.13,2.08,47.2,3.72,3.19,12.7,1.65,24.23,18.51,3.66,3.67,3.61,43.0,21.0,25.0,89.0,0.0,5.0,0.0,9.0,0.0,28.0,22.0,43.0,64.0,7.0,18.0,51.0,65.0,8.0,19.0,50.0,11.0,3.0,1.52,1.46,0.74,0.0,0.0,0.0,87.26,64.0,63.14,9.0,0.67,0.64,0.64,3.76,3.7,3.66
847062184779608482155,2025,Perry-Laferriere-Kempe,LAK,line,5on5,13,4850.0,99.0,0.47,0.5,0.48,40.47,3.4,2.71,9.82,1.43,22.15,16.48,3.11,3.48,3.17,34.0,22.0,22.0,78.0,5.0,7.0,1.0,7.0,0.0,18.0,19.0,29.0,51.0,8.0,16.0,30.0,33.0,5.0,36.0,43.0,10.0,3.0,1.39,1.17,0.84,3.0,1.0,1.0,79.93,56.0,56.87,14.0,0.57,1.06,1.06,2.9,2.94,2.9,42.29,3.82,3.03,10.47,1.53,23.87,17.28,3.71,3.7,3.6,42.0,18.0,18.0,78.0,2.0,7.0,0.0,10.0,0.0,25.0,16.0,40.0,58.0,3.0,6.0,58.0,23.0,6.0,19.0,46.0,8.0,6.0,1.25,0.94,1.64,1.0,1.0,0.0,76.33,60.0,58.32,9.0,0.64,1.28,1.28,3.17,3.1,3.03
847896784793368483733,2025,Grebenkin-Pederson-Grundstrom,PHI,line,5on5,2,815.0,6.0,0.52,0.46,0.38,2.29,0.12,0.09,0.47,0.07,1.07,1.18,0.12,0.1,0.1,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,4.0,9.0,1.0,4.0,2.0,1.0,0.0,0.02,0.1,0.0,0.0,0.0,0.0,5.13,3.0,2.63,1.0,0.02,0.0,0.0,0.13,0.12,0.12,3.6,0.11,0.17,1.23,0.12,1.99,1.38,0.1,0.11,0.11,2.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,0.0,0.0,8.0,4.0,0.0,1.0,5.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,7.44,5.0,5.32,0.0,0.04,0.0,0.0,0.14,0.15,0.15
84815468482142,2025,York-Drysdale,PHI,pairing,5on5,33,6834.0,204.0,0.49,0.46,0.48,47.42,4.04,2.95,12.63,1.63,24.76,17.99,3.73,3.96,3.64,33.0,31.0,23.0,87.0,3.0,7.0,2.0,7.0,0.0,16.0,31.0,30.0,61.0,3.0,6.0,51.0,40.0,5.0,35.0,47.0,12.0,5.0,1.33,1.45,1.26,0.0,2.0,1.0,83.22,64.0,61.94,17.0,0.62,1.31,1.31,3.34,3.23,3.16,49.73,4.21,3.18,12.95,1.73,26.05,19.88,3.86,4.47,4.09,50.0,18.0,36.0,104.0,8.0,10.0,2.0,6.0,0.0,22.0,22.0,42.0,60.0,2.0,4.0,49.0,37.0,10.0,31.0,53.0,9.0,6.0,1.41,1.06,1.73,5.0,2.0,1.0,110.93,68.0,72.03,16.0,0.67,1.93,1.93,2.94,3.12,3.01
84793258479369,2025,Mcavoy-Peeke,BOS,pairing,5on5,33,1360.0,310.0,0.28,0.3,0.38,11.3,0.81,0.62,2.48,0.36,5.63,5.09,0.81,0.84,0.84,10.0,5.0,0.0,15.0,3.0,0.0,0.0,4.0,0.0,1.0,7.0,7.0,12.0,0.0,0.0,1.0,6.0,2.0,8.0,12.0,3.0,0.0,0.45,0.36,0.0,2.0,1.0,0.0,15.71,15.0,15.54,3.0,0.13,0.0,0.0,0.94,0.97,0.97,18.42,2.08,1.36,4.17,0.6,9.21,6.57,1.92,2.13,1.97,19.0,5.0,11.0,35.0,3.0,5.0,0.0,2.0,0.0,11.0,3.0,16.0,21.0,0.0,0.0,1.0,7.0,1.0,5.0,15.0,7.0,2.0,0.59,0.97,0.53,1.0,2.0,0.0,35.18,24.0,24.38,1.0,0.29,0.93,0.93,1.44,1.5,1.44
84745638479998,2025,Anderson-Doughty,LAK,pairing,5on5,42,32360.0,86.0,0.53,0.52,0.51,259.87,20.84,16.8,65.81,8.63,137.23,104.68,19.95,20.95,20.04,223.0,131.0,156.0,510.0,17.0,32.0,3.0,55.0,1.0,119.0,130.0,206.0,337.0,33.0,69.0,257.0,198.0,39.0,163.0,276.0,61.0,17.0,8.22,7.66,4.96,6.0,8.0,3.0,511.93,354.0,354.67,66.0,3.5,6.29,6.29,18.04,18.13,17.89,244.07,18.24,16.11,60.94,8.34,133.36,100.01,17.76,18.03,17.56,217.0,120.0,130.0,467.0,19.0,20.0,1.0,52.0,0.0,126.0,120.0,198.0,318.0,32.0,64.0,246.0,190.0,33.0,154.0,270.0,53.0,14.0,8.2,6.52,3.52,12.0,6.0,1.0,461.95,337.0,333.4,70.0,3.34,3.58,3.58,18.0,17.81,17.54
847931684800038482713,2025,Boqvist-Kunin-Samoskevich,FLA,line,5on5,7,1053.0,81.0,0.52,0.71,0.67,11.98,0.59,0.63,3.29,0.43,6.6,4.45,0.59,0.58,0.58,10.0,6.0,9.0,25.0,0.0,1.0,0.0,3.0,0.0,10.0,2.0,10.0,16.0,2.0,4.0,11.0,14.0,2.0,1.0,14.0,2.0,0.0,0.31,0.28,0.0,0.0,0.0,0.0,24.12,16.0,15.81,1.0,0.13,0.15,0.15,0.57,0.55,0.55,5.92,0.56,0.31,1.4,0.18,3.13,2.42,0.55,0.56,0.56,6.0,2.0,2.0,10.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,6.0,8.0,3.0,6.0,6.0,16.0,2.0,6.0,7.0,0.0,1.0,0.22,0.0,0.34,0.0,0.0,0.0,10.34,8.0,8.26,5.0,0.06,0.0,0.0,0.62,0.62,0.62
