team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2025,NYI,NYI,Team Level,other,76,0.5,0.54,0.56,12941.0,195.02,38.55,14.09,36.21,6.78,105.68,64.69,35.88,38.55,35.88,180.0,86.0,77.0,343.0,35.0,21.0,1.0,29.0,1.0,99.0,81.0,145.0,231.0,4.0,8.0,154.0,29.0,23.0,46.0,145.0,66.0,55.0,5.96,8.1,24.49,8.0,13.0,14.0,343.0,266.0,266.0,21.0,4.07,6.01,6.01,36.61,36.61,34.92,152.33,38.97,11.08,26.71,5.52,81.16,48.56,36.22,38.97,36.22,125.0,87.0,86.0,298.0,31.0,14.0,2.0,18.0,3.0,91.0,55.0,94.0,181.0,7.0,14.0,121.0,30.0,23.0,43.0,105.0,51.0,56.0,3.78,6.25,28.93,10.0,6.0,15.0,298.0,212.0,212.0,21.0,3.18,5.12,5.12,37.04,37.04,35.03
NYI,2025,NYI,NYI,Team Level,all,76,0.48,0.49,0.5,277686.0,2393.8,234.68,165.99,583.27,83.61,1286.81,917.64,222.08,234.55,221.97,2145.0,1127.0,1164.0,4436.0,218.0,285.0,27.0,468.0,6.0,1144.0,1151.0,1927.0,3054.0,229.0,494.0,2193.0,1474.0,344.0,1105.0,2420.0,602.0,250.0,73.22,73.65,87.8,92.0,67.0,59.0,4431.49,3272.0,3266.38,537.0,37.25,59.56,59.85,212.09,211.94,205.19,2447.27,255.35,175.79,580.86,82.23,1287.12,924.66,240.51,256.21,241.32,2135.0,1171.0,1230.0,4536.0,216.0,312.0,19.0,385.0,7.0,1218.0,1168.0,1919.0,3090.0,252.0,549.0,1971.0,1540.0,343.0,1169.0,2318.0,684.0,304.0,70.91,84.4,100.05,82.0,84.0,50.0,4556.85,3306.0,3320.36,522.0,39.29,62.55,62.55,232.1,232.82,225.48
NYI,2025,NYI,NYI,Team Level,5on5,76,0.47,0.49,0.49,225378.0,1832.32,151.84,119.26,472.8,64.07,984.41,719.61,146.13,151.72,146.02,1624.0,888.0,937.0,3449.0,140.0,219.0,21.0,374.0,5.0,882.0,892.0,1484.0,2372.0,206.0,449.0,1653.0,1417.0,283.0,954.0,1934.0,439.0,139.0,57.44,54.0,40.4,74.0,43.0,23.0,3444.49,2512.0,2506.38,482.0,24.78,42.52,42.81,133.81,133.66,131.25,1910.87,170.2,129.19,475.0,64.08,1008.52,746.0,162.77,171.06,163.59,1658.0,935.0,1018.0,3611.0,145.0,237.0,12.0,321.0,3.0,948.0,939.0,1513.0,2448.0,222.0,486.0,1549.0,1450.0,289.0,1026.0,1892.0,523.0,178.0,58.31,64.6,47.29,64.0,64.0,17.0,3631.85,2593.0,2607.36,461.0,26.96,44.18,44.27,152.89,153.62,150.35
NYI,2025,NYI,NYI,Team Level,4on5,76,0.13,0.14,0.16,18729.0,60.9,6.07,3.22,9.44,2.1,19.59,41.58,6.03,6.07,6.03,64.0,18.0,4.0,86.0,8.0,3.0,0.0,7.0,0.0,14.0,50.0,56.0,74.0,5.0,10.0,181.0,22.0,26.0,36.0,58.0,19.0,5.0,2.16,2.5,1.41,2.0,3.0,3.0,86.0,82.0,82.0,30.0,0.73,0.45,0.45,6.36,6.36,6.33,329.25,40.56,32.81,71.11,10.96,181.38,94.19,36.0,40.56,36.0,299.0,132.0,118.0,549.0,33.0,56.0,4.0,45.0,1.0,164.0,132.0,266.0,398.0,17.0,34.0,150.0,19.0,8.0,63.0,280.0,89.0,62.0,7.86,10.81,21.9,7.0,9.0,17.0,549.0,431.0,431.0,7.0,8.53,12.25,12.16,36.92,36.92,34.87
NYI,2025,NYI,NYI,Team Level,5on4,76,0.87,0.88,0.85,20638.0,305.57,38.22,29.42,64.82,10.65,177.13,91.76,34.05,38.22,34.05,277.0,135.0,146.0,558.0,35.0,42.0,5.0,58.0,0.0,149.0,128.0,242.0,377.0,14.0,27.0,205.0,6.0,12.0,69.0,283.0,78.0,51.0,7.66,9.05,21.51,8.0,8.0,19.0,558.0,412.0,412.0,4.0,7.68,10.58,10.58,35.32,35.32,32.7,54.82,5.62,2.71,8.03,1.68,16.05,35.91,5.52,5.62,5.52,53.0,17.0,8.0,78.0,7.0,5.0,1.0,1.0,0.0,15.0,42.0,46.0,63.0,6.0,15.0,151.0,41.0,23.0,37.0,41.0,21.0,8.0,0.97,2.73,1.93,1.0,5.0,1.0,78.0,70.0,70.0,33.0,0.62,1.0,1.0,5.25,5.25,5.23
NYR,2025,NYR,NYR,Team Level,other,75,0.39,0.51,0.5,8079.0,134.6,26.55,10.89,24.98,4.91,79.88,41.81,24.46,26.55,24.46,110.0,79.0,73.0,262.0,26.0,13.0,4.0,22.0,0.0,79.0,49.0,84.0,163.0,9.0,18.0,111.0,11.0,11.0,27.0,104.0,46.0,39.0,3.85,5.46,17.24,5.0,8.0,13.0,262.0,189.0,189.0,15.0,3.31,3.12,3.12,26.74,26.74,24.74,136.35,41.26,9.73,22.58,5.16,69.2,42.07,37.6,41.26,37.6,119.0,71.0,60.0,250.0,36.0,18.0,2.0,6.0,0.0,72.0,58.0,83.0,154.0,7.0,14.0,84.0,12.0,7.0,24.0,85.0,45.0,60.0,3.24,5.51,32.51,3.0,5.0,28.0,250.0,190.0,190.0,11.0,2.81,5.55,4.89,39.17,39.17,37.12
NYR,2025,NYR,NYR,Team Level,all,75,0.47,0.48,0.48,273311.0,2207.58,217.14,156.68,532.49,76.07,1212.95,844.67,206.47,217.46,206.81,1899.0,1141.0,1212.0,4252.0,212.0,239.0,25.0,393.0,4.0,1118.0,1074.0,1687.0,2828.0,258.0,564.0,2245.0,1940.0,335.0,1136.0,2236.0,567.0,237.0,64.67,68.87,83.6,78.0,74.0,60.0,4233.99,3040.0,3032.26,556.0,35.47,50.24,50.32,202.28,202.58,196.41,2435.66,246.38,168.99,587.31,82.37,1307.63,934.32,232.35,247.94,233.82,2192.0,1135.0,1199.0,4526.0,232.0,280.0,39.0,392.0,3.0,1196.0,1224.0,1960.0,3095.0,222.0,488.0,1888.0,1467.0,337.0,1128.0,2466.0,592.0,269.0,73.71,72.94,99.74,79.0,74.0,79.0,4567.24,3327.0,3357.23,564.0,37.74,60.9,61.26,222.87,224.14,217.46
NYR,2025,NYR,NYR,Team Level,5on5,75,0.48,0.49,0.48,225787.0,1714.69,141.89,114.67,435.95,59.18,939.96,678.34,136.5,142.22,136.85,1481.0,889.0,1016.0,3386.0,138.0,190.0,17.0,326.0,4.0,862.0,850.0,1343.0,2232.0,234.0,510.0,1745.0,1848.0,275.0,995.0,1813.0,425.0,132.0,52.51,51.43,37.95,68.0,57.0,13.0,3367.99,2370.0,2362.26,501.0,23.89,38.31,38.39,127.38,127.68,125.59,1875.36,151.01,121.9,475.93,63.09,1010.63,746.44,145.36,152.56,146.84,1677.0,892.0,990.0,3559.0,142.0,198.0,21.0,327.0,3.0,922.0,977.0,1535.0,2427.0,196.0,430.0,1466.0,1406.0,303.0,992.0,2000.0,428.0,141.0,59.67,53.16,38.18,65.0,56.0,21.0,3600.24,2569.0,2599.23,510.0,25.3,38.49,38.81,137.49,138.77,136.57
NYR,2025,NYR,NYR,Team Level,4on5,75,0.08,0.1,0.11,21311.0,48.49,4.36,2.49,7.27,1.52,15.06,32.31,4.2,4.36,4.2,49.0,14.0,6.0,69.0,5.0,1.0,0.0,3.0,0.0,13.0,41.0,44.0,58.0,8.0,19.0,191.0,67.0,27.0,50.0,42.0,16.0,5.0,1.11,1.96,1.29,2.0,2.0,1.0,69.0,63.0,63.0,36.0,0.57,0.25,0.25,4.67,4.67,4.56,367.22,47.16,34.1,80.84,12.36,210.93,109.61,42.82,47.16,42.82,339.0,156.0,140.0,635.0,46.0,58.0,15.0,52.0,0.0,197.0,142.0,293.0,449.0,10.0,21.0,203.0,19.0,6.0,66.0,339.0,98.0,58.0,9.33,11.51,26.31,8.0,10.0,28.0,635.0,495.0,495.0,4.0,8.9,15.63,16.33,39.73,39.73,37.37
NYR,2025,NYR,NYR,Team Level,5on4,75,0.86,0.87,0.85,18134.0,309.8,44.34,28.63,64.3,10.47,178.04,92.22,41.32,44.34,41.32,259.0,159.0,117.0,535.0,43.0,35.0,4.0,42.0,0.0,164.0,134.0,216.0,375.0,7.0,17.0,198.0,14.0,22.0,64.0,277.0,80.0,61.0,7.19,10.03,27.12,3.0,7.0,33.0,535.0,418.0,418.0,4.0,7.71,8.55,8.55,43.5,43.5,41.52,56.73,6.97,3.25,7.96,1.77,16.86,36.2,6.57,6.97,6.57,57.0,16.0,9.0,82.0,8.0,6.0,1.0,7.0,0.0,5.0,47.0,49.0,65.0,9.0,23.0,135.0,30.0,21.0,46.0,42.0,21.0,10.0,1.47,2.75,2.75,3.0,3.0,2.0,82.0,73.0,73.0,39.0,0.73,1.23,1.23,6.47,6.47,6.41
