HOME/AWAY,DATE,TEAM1,TEAM1_SCORE,TEAM2,TEAM2_SCORE,OT_SO,WIN_LOSS
H,2025/12/29,Ottawa Senators 1,1,Columbus Blue Jackets,Columbus,,L
A,2025/12/11,Ottawa Senators 6,6,Columbus Blue Jackets,Columbus,,W
A,2025/04/08,Ottawa Senators 2,2,Columbus Blue Jackets,Columbus,,L
H,2025/04/06,Ottawa Senators 4,4,Columbus Blue Jackets,Columbus,,W
H,2025/03/29,Ottawa Senators 3,3,Columbus Blue Jackets,Columbus,,W
A,2024/03/14,Ottawa Senators 3,3,Columbus Blue Jackets 2,Columbus,(SO),W
H,2024/02/13,Ottawa Senators 6,6,Columbus Blue Jackets,Columbus,,W
A,2023/12/01,Ottawa Senators 2,2,Columbus Blue Jackets,Columbus,,L
A,2023/04/02,Ottawa Senators 3,3,Columbus Blue Jackets 4,Columbus,(OT),L
H,2023/03/04,Ottawa Senators 5,5,Columbus Blue Jackets,Columbus,,W
H,2023/01/03,Ottawa Senators 4,4,Columbus Blue Jackets,Columbus,,W
A,2022/04/22,Ottawa Senators 2,2,Columbus Blue Jackets 1,Columbus,(SO),W
H,2022/03/16,Ottawa Senators 1,1,Columbus Blue Jackets,Columbus,,L
A,2022/01/23,Ottawa Senators 2,2,Columbus Blue Jackets,Columbus,,W
A,2020/02/24,Ottawa Senators 3,3,Columbus Blue Jackets 4,Columbus,(OT),L
H,2019/12/14,Ottawa Senators 4,4,Columbus Blue Jackets 3,Columbus,(OT),W
A,2019/11/25,Ottawa Senators 0,0,Columbus Blue Jackets,Columbus,,L
H,2019/04/06,Ottawa Senators 2,2,Columbus Blue Jackets,Columbus,,L
H,2019/02/22,Ottawa Senators 0,0,Columbus Blue Jackets,Columbus,,L
A,2018/12/31,Ottawa Senators 3,3,Columbus Blue Jackets,Columbus,,L
A,2018/03/17,Ottawa Senators 1,1,Columbus Blue Jackets,Columbus,,L
H,2017/12/29,Ottawa Senators 5,5,Columbus Blue Jackets,Columbus,,W
A,2017/11/24,Ottawa Senators 2,2,Columbus Blue Jackets,Columbus,,L
H,2017/03/04,Ottawa Senators 3,3,Columbus Blue Jackets,Columbus,,W
H,2017/01/22,Ottawa Senators 6,6,Columbus Blue Jackets 7,Columbus,(OT),L
A,2017/01/19,Ottawa Senators 2,2,Columbus Blue Jackets,Columbus,,W
A,2016/02/13,Ottawa Senators 2,2,Columbus Blue Jackets,Columbus,,L
H,2015/11/19,Ottawa Senators 3,3,Columbus Blue Jackets,Columbus,,W
A,2015/10/14,Ottawa Senators 7,7,Columbus Blue Jackets,Columbus,,W
H,2015/02/07,Ottawa Senators 1,1,Columbus Blue Jackets,Columbus,,L
A,2014/10/28,Ottawa Senators 5,5,Columbus Blue Jackets,Columbus,,W
H,2014/10/18,Ottawa Senators 3,3,Columbus Blue Jackets,Columbus,,W
A,2014/01/28,Ottawa Senators 3,3,Columbus Blue Jackets,Columbus,,W
H,2013/11/17,Ottawa Senators 1,1,Columbus Blue Jackets,Columbus,,L
A,2013/11/05,Ottawa Senators 4,4,Columbus Blue Jackets,Columbus,,W
H,2011/10/22,Ottawa Senators 4,4,Columbus Blue Jackets,Columbus,,W
A,2010/12/31,Ottawa Senators 3,3,Columbus Blue Jackets 4,Columbus,(OT),L
H,2009/11/26,Ottawa Senators 2,2,Columbus Blue Jackets,Columbus,,W
A,2009/01/30,Ottawa Senators 0,0,Columbus Blue Jackets,Columbus,,L
H,2008/02/21,Ottawa Senators 2,2,Columbus Blue Jackets 3,Columbus,(SO),L
A,2006/12/10,Ottawa Senators 2,2,Columbus Blue Jackets,Columbus,,L
H,2003/11/13,Ottawa Senators 5,5,Columbus Blue Jackets,Columbus,,W
H,2002/11/23,Ottawa Senators 5,5,Columbus Blue Jackets,Columbus,,W
A,2002/02/06,Ottawa Senators 6,6,Columbus Blue Jackets,Columbus,,W
A,2000/12/21,Ottawa Senators 3,3,Columbus Blue Jackets,Columbus,,T
H,2000/11/04,Ottawa Senators 2,2,Columbus Blue Jackets,Columbus,,T
