lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847793384801858482113,2025,Luostarinen-Lundell-Reinhart,FLA,line,5on5,1,711.0,2.0,0.67,0.52,0.56,7.28,0.7,0.52,1.72,0.23,4.06,2.76,0.66,0.68,0.64,7.0,3.0,2.0,12.0,0.0,1.0,0.0,3.0,0.0,3.0,3.0,7.0,10.0,0.0,0.0,11.0,2.0,0.0,5.0,7.0,2.0,1.0,0.22,0.25,0.23,0.0,0.0,0.0,12.09,10.0,10.12,1.0,0.11,0.23,0.23,0.58,0.56,0.55,5.9,0.35,0.33,1.38,0.18,3.24,2.52,0.35,0.36,0.36,3.0,5.0,3.0,11.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,7.0,1.0,2.0,7.0,5.0,1.0,3.0,7.0,1.0,0.0,0.18,0.17,0.0,1.0,0.0,0.0,11.07,8.0,7.98,1.0,0.07,0.0,0.0,0.42,0.42,0.42
84779328478055,2025,Forsling-Ekblad,FLA,pairing,5on5,1,1032.0,2.0,0.79,0.71,0.76,14.39,1.55,1.07,3.63,0.47,7.27,5.01,1.51,1.51,1.47,16.0,3.0,5.0,24.0,2.0,1.0,0.0,4.0,0.0,6.0,6.0,14.0,17.0,1.0,5.0,15.0,6.0,0.0,5.0,11.0,6.0,2.0,0.41,0.67,0.47,0.0,1.0,1.0,23.79,19.0,18.99,1.0,0.23,0.23,0.23,1.55,1.51,1.49,4.69,0.42,0.28,1.12,0.14,2.29,1.75,0.42,0.44,0.44,2.0,4.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,6.0,1.0,5.0,10.0,3.0,1.0,10.0,4.0,2.0,0.0,0.06,0.36,0.0,0.0,0.0,0.0,9.98,6.0,5.98,6.0,0.06,0.0,0.0,0.48,0.5,0.5
84788828479323,2025,Gavrikov-Fox,NYR,pairing,5on5,1,982.0,1.0,0.36,0.32,0.35,5.48,0.46,0.36,1.33,0.19,3.24,2.43,0.46,0.43,0.43,2.0,6.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,8.0,1.0,2.0,7.0,11.0,3.0,5.0,4.0,4.0,0.0,0.07,0.39,0.0,0.0,0.0,0.0,8.46,8.0,7.55,5.0,0.08,0.0,0.0,0.53,0.5,0.5,11.54,0.81,0.86,2.93,0.34,5.92,4.13,0.78,0.86,0.82,12.0,3.0,4.0,19.0,0.0,2.0,0.0,1.0,0.0,6.0,6.0,12.0,15.0,1.0,2.0,10.0,6.0,0.0,3.0,12.0,3.0,0.0,0.47,0.33,0.0,0.0,0.0,0.0,20.32,15.0,15.95,2.0,0.18,0.25,0.25,0.73,0.78,0.76
84764418482730,2025,Edmundson-Clarke,LAK,pairing,5on5,1,648.0,3.0,0.74,0.5,0.6,6.73,0.49,0.37,2.06,0.23,3.49,2.36,0.48,0.46,0.45,5.0,4.0,4.0,13.0,0.0,1.0,0.0,2.0,0.0,5.0,1.0,5.0,9.0,3.0,6.0,8.0,8.0,3.0,8.0,8.0,0.0,1.0,0.16,0.0,0.32,0.0,0.0,0.0,12.0,9.0,8.27,5.0,0.08,0.32,0.32,0.24,0.22,0.22,4.44,0.17,0.22,1.75,0.16,2.15,1.55,0.16,0.18,0.17,4.0,2.0,7.0,13.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,4.0,6.0,2.0,4.0,5.0,4.0,1.0,5.0,6.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,14.22,6.0,6.43,2.0,0.05,0.03,0.03,0.19,0.2,0.19
84745638479998,2025,Anderson-Doughty,LAK,pairing,5on5,1,770.0,1.0,0.42,0.65,0.57,5.56,0.37,0.34,1.49,0.2,3.26,2.33,0.37,0.34,0.34,5.0,3.0,5.0,13.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,5.0,8.0,0.0,0.0,4.0,7.0,3.0,7.0,7.0,1.0,0.0,0.2,0.16,0.0,0.0,0.0,0.0,11.93,8.0,7.42,2.0,0.07,0.0,0.0,0.44,0.4,0.4,4.59,0.51,0.23,1.27,0.17,2.2,1.62,0.51,0.55,0.55,3.0,3.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,0.0,0.0,7.0,5.0,0.0,12.0,3.0,3.0,0.0,0.07,0.44,0.0,0.0,1.0,0.0,7.55,6.0,6.45,3.0,0.05,0.0,0.0,0.56,0.6,0.6
84735078475179,2025,Kulikov-Petry,FLA,pairing,5on5,1,680.0,3.0,0.7,0.53,0.46,4.51,0.35,0.29,1.23,0.14,2.34,1.65,0.35,0.35,0.35,4.0,2.0,3.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,6.0,2.0,4.0,10.0,7.0,1.0,4.0,4.0,2.0,0.0,0.06,0.29,0.0,0.0,0.0,0.0,8.73,6.0,5.84,1.0,0.06,0.0,0.0,0.41,0.41,0.41,5.2,0.15,0.21,1.62,0.16,2.68,2.17,0.15,0.16,0.16,7.0,0.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0,6.0,0.0,0.0,5.0,9.0,0.0,3.0,7.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,8.14,7.0,7.15,0.0,0.04,0.0,0.0,0.2,0.2,0.2
84768918483506,2025,Grzelcyk-Rinzel,CHI,pairing,5on5,1,972.0,1.0,0.3,0.36,0.33,6.37,0.52,0.31,1.65,0.2,2.95,2.38,0.52,0.54,0.54,5.0,3.0,5.0,13.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,7.0,0.0,0.0,11.0,5.0,2.0,7.0,6.0,2.0,0.0,0.16,0.36,0.0,1.0,0.0,0.0,13.24,8.0,8.11,4.0,0.07,0.0,0.0,0.59,0.61,0.61,12.15,1.22,0.89,2.69,0.35,6.52,4.33,1.22,1.18,1.18,14.0,2.0,7.0,23.0,1.0,0.0,0.0,5.0,0.0,5.0,5.0,13.0,15.0,2.0,4.0,18.0,2.0,2.0,8.0,10.0,5.0,1.0,0.31,0.67,0.24,0.0,0.0,1.0,22.82,16.0,15.94,3.0,0.18,0.0,0.0,1.41,1.36,1.36
847341984774098477935,2025,Marchand-Bennett-Verhaeghe,FLA,line,5on5,1,846.0,1.0,0.7,0.81,0.81,13.19,1.27,0.96,3.21,0.4,6.64,4.5,1.25,1.24,1.22,13.0,4.0,8.0,25.0,0.0,0.0,0.0,5.0,0.0,5.0,7.0,13.0,17.0,1.0,2.0,9.0,4.0,1.0,4.0,11.0,5.0,1.0,0.36,0.65,0.26,0.0,0.0,0.0,24.64,17.0,16.85,1.0,0.2,0.0,0.0,1.48,1.43,1.41,3.24,0.56,0.21,0.57,0.09,1.4,1.18,0.56,0.59,0.59,4.0,0.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,7.0,6.0,1.0,6.0,0.0,4.0,0.0,0.0,0.56,0.0,0.0,1.0,0.0,6.21,4.0,4.19,4.0,0.04,0.0,0.0,0.6,0.64,0.64
847167584764838482758,2025,Rakell-Crosby-Koivunen,PIT,line,5on5,1,656.0,1.0,0.32,0.52,0.46,4.51,0.28,0.26,1.09,0.13,2.36,1.88,0.28,0.31,0.31,4.0,2.0,7.0,13.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,6.0,1.0,2.0,7.0,1.0,0.0,3.0,5.0,1.0,0.0,0.13,0.16,0.0,0.0,0.0,0.0,14.24,6.0,6.59,1.0,0.05,0.0,0.0,0.34,0.37,0.36,4.71,0.59,0.35,1.15,0.17,2.85,1.89,0.58,0.55,0.54,4.0,3.0,5.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,7.0,1.0,2.0,5.0,6.0,2.0,2.0,4.0,2.0,1.0,0.1,0.18,0.31,0.0,0.0,0.0,11.09,7.0,6.52,1.0,0.07,0.31,0.31,0.35,0.33,0.32
84764738482807,2025,Del Mastro-Murphy,CHI,pairing,5on5,1,857.0,2.0,0.23,0.31,0.32,5.89,0.37,0.31,1.53,0.18,3.18,2.43,0.37,0.39,0.39,5.0,3.0,3.0,11.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,8.0,0.0,0.0,9.0,7.0,0.0,5.0,6.0,2.0,0.0,0.14,0.23,0.0,0.0,0.0,0.0,11.24,8.0,8.18,3.0,0.06,0.0,0.0,0.43,0.45,0.45,12.78,1.22,0.86,3.41,0.44,6.46,4.59,1.18,1.19,1.15,11.0,6.0,7.0,24.0,1.0,1.0,0.0,6.0,0.0,1.0,8.0,10.0,16.0,1.0,2.0,8.0,10.0,1.0,1.0,11.0,5.0,1.0,0.32,0.67,0.23,0.0,1.0,0.0,23.51,17.0,16.73,0.0,0.18,0.23,0.23,1.18,1.14,1.13
