Team,GP,W,L,OTL,Pts,GF,GA,Diff,Strk
Colorado Avalanche,47,34,5,8,76,190,112,78,W1
Minnesota Wild,50,28,13,9,65,161,143,18,W2
Dallas Stars,49,27,13,9,63,163,139,24,L3
Utah Mammoth,49,25,20,4,54,153,135,18,W3
Nashville Predators,48,23,21,4,50,138,161,-23,L1
Chicago Blackhawks,49,20,22,7,47,135,154,-19,W1
St. Louis Blues,49,19,22,8,46,120,168,-48,L1
Winnipeg Jets,48,19,23,6,44,144,150,-6,L1
Vegas Golden Knights,48,24,12,12,60,161,147,14,L1
Edmonton Oilers,50,25,17,8,58,170,158,12,W2
San Jose Sharks,48,25,20,3,53,152,169,-17,W1
Anaheim Ducks,49,25,21,3,53,163,175,-12,W4
Seattle Kraken,48,21,18,9,51,133,147,-14,L3
Los Angeles Kings,48,19,16,13,51,125,136,-11,OT3
Calgary Flames,49,21,23,5,47,127,145,-18,OT1
Vancouver Canucks,49,16,28,5,37,129,180,-51,L8
Carolina Hurricanes,50,31,15,4,66,173,145,28,W3
New York Islanders,49,27,17,5,59,145,137,8,W1
Pittsburgh Penguins,48,23,14,11,57,156,147,9,W1
Philadelphia Flyers,48,23,17,8,54,143,150,-7,W1
Washington Capitals,50,24,20,6,54,159,148,11,L3
New Jersey Devils,49,25,22,2,52,129,150,-21,W1
Columbus Blue Jackets,48,22,19,7,51,148,160,-12,W4
New York Rangers,50,21,23,6,48,135,155,-20,L1
Tampa Bay Lightning,47,30,13,4,64,166,120,46,W1
Detroit Red Wings,50,30,16,4,64,157,153,4,W2
Montréal Canadiens,49,27,15,7,61,168,164,4,W1
Boston Bruins,49,28,19,2,58,164,150,14,W6
Buffalo Sabres,48,26,17,5,57,158,150,8,L1
Toronto Maple Leafs,49,24,17,8,56,165,164,1,L1
Florida Panthers,48,25,20,3,53,146,160,-14,L1
Ottawa Senators,48,22,19,7,51,159,163,-4,OT2

