Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Leo Carlsson,C,91,75,208,2004-12-26,Karlstad,SWE,ANA,8484153
Sam Colangelo,R,12,74,213,2001-12-26,Stoneham,USA,ANA,8482118
Cutter Gauthier,L,61,74,205,2004-01-19,Skelleftea,SWE,ANA,8483445
Mikael Granlund,C,64,70,193,1992-02-26,Oulu,FIN,ANA,8475798
Jansen Harkins,C,24,73,197,1997-05-23,Cleveland,USA,ANA,8478424
Ross Johnston,L,44,77,232,1994-02-18,Charlottetown,CAN,ANA,8477527
Alex Killorn,L,17,73,205,1989-09-14,Halifax,CAN,ANA,8473986
Chris Kreider,L,20,75,232,1991-04-30,Boxford,USA,ANA,8475184
Mason McTavish,C,23,73,219,2003-01-30,Zurich,CHE,ANA,8482745
Nikita Nesterenko,C,13,74,203,2001-09-10,Brooklyn,USA,ANA,8481754
Ryan Poehling,C,25,74,206,1999-01-03,Lakeville,USA,ANA,8480068
Beckett Sennecke,R,45,75,206,2006-01-28,Toronto,CAN,ANA,8484762
Ryan Strome,C,16,73,192,1993-07-11,Mississauga,CAN,ANA,8476458
Troy Terry,R,19,72,193,1997-09-10,Denver,USA,ANA,8478873
Frank Vatrano,R,77,71,203,1994-03-14,East Longmeadow,USA,ANA,8478366
Radko Gudas,D,7,72,208,1990-06-05,Prague,CZE,ANA,8475462
Drew Helleson,D,14,75,208,2001-03-26,Farmington,USA,ANA,8481563
Jackson LaCombe,D,2,74,208,2001-01-09,Eden Prairie,USA,ANA,8481605
Pavel Mintyukov,D,98,73,207,2003-11-25,Moscow,RUS,ANA,8483490
Jacob Trouba,D,65,75,212,1994-02-26,Rochester,USA,ANA,8476885
Olen Zellweger,D,51,70,193,2003-09-10,Calgary,CAN,ANA,8482803
Lukas Dostal,G,1,74,190,2000-06-22,Brno,CZE,ANA,8480843
Ville Husso,G,33,75,205,1995-02-06,Helsinki,FIN,ANA,8478024
Petr Mrazek,G,34,74,192,1992-02-14,Ostrava,CZE,ANA,8475852
