Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Viktor Arvidsson,L,71,70,181,1993-04-08,Skelleftea,SWE,BOS,8478042
John Beecher,C,19,75,220,2001-04-05,Elmira,USA,BOS,8481556
Michael Eyssimont,C,81,72,195,1996-09-09,Littleton,USA,BOS,8479591
Morgan Geekie,C,39,75,212,1998-07-20,Strathclair,CAN,BOS,8479987
Tanner Jeannot,L,84,74,221,1997-05-29,Estevan,CAN,BOS,8479661
Mark Kastelic,C,47,76,234,1999-03-11,Phoenix,USA,BOS,8480355
Marat Khusnutdinov,C,92,71,184,2002-07-17,Moscow,RUS,BOS,8482177
Sean Kuraly,C,52,74,208,1993-01-20,Niagara Falls,USA,BOS,8476374
Elias Lindholm,C,28,73,200,1994-12-02,Boden,SWE,BOS,8477496
Fraser Minten,C,93,74,204,2004-07-05,Vancouver,CAN,BOS,8483489
Casey Mittelstadt,C,11,73,205,1998-11-22,Eden Prairie,USA,BOS,8479999
David Pastrnak,R,88,72,199,1996-05-25,Havirov,CZE,BOS,8477956
Jeffrey Viel,L,48,73,214,1997-01-28,Rimouski,CAN,BOS,8479705
Pavel Zacha,C,18,76,211,1997-04-06,Brno,CZE,BOS,8478401
Jordan Harris,D,43,72,189,2000-07-07,Haverhill,USA,BOS,8480887
Henri Jokiharju,D,20,72,205,1999-06-17,Oulu,FIN,BOS,8480035
Hampus Lindholm,D,27,76,217,1994-01-20,Helsingborg,SWE,BOS,8476854
Mason Lohrei,D,6,77,218,2001-01-17,Baton Rouge,USA,BOS,8482511
Charlie McAvoy,D,73,73,211,1997-12-21,Long Beach,USA,BOS,8479325
Andrew Peeke,D,26,75,214,1998-03-17,Parkland,USA,BOS,8479369
Nikita Zadorov,D,91,79,255,1995-04-16,Moscow,RUS,BOS,8477507
Joonas Korpisalo,G,70,76,200,1994-04-28,Pori,FIN,BOS,8476914
Jeremy Swayman,G,1,75,195,1998-11-24,Anchorage,USA,BOS,8480280
