Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Zach Benson,L,6,70,177,2005-05-12,Chilliwack,CAN,BUF,8484145
Justin Danforth,R,15,68,193,1993-03-15,Oshawa,CAN,BUF,8479941
Josh Doan,R,91,74,198,2002-02-01,Scottsdale,USA,BUF,8482659
Mason Geertsen,L,55,76,231,1995-04-19,Drayton Valley,CAN,BUF,8477419
Tyson Kozak,C,48,71,185,2002-12-29,Souris,CAN,BUF,8482896
Peyton Krebs,C,19,72,188,2001-01-26,Calgary,CAN,BUF,8481522
Jiri Kulich,C,20,73,193,2004-04-14,Kadan,CZE,BUF,8483468
Ryan McLeod,C,71,75,204,1999-09-21,Mississauga,CAN,BUF,8480802
Josh Norris,C,9,74,196,1999-05-05,Oxford,USA,BUF,8480064
Jack Quinn,R,22,73,185,2001-09-19,Ottawa,CAN,BUF,8482097
Tage Thompson,C,72,78,220,1997-10-30,Phoenix,USA,BUF,8479420
Alex Tuch,R,89,76,219,1996-05-10,Syracuse,USA,BUF,8477949
Jason Zucker,L,17,71,198,1992-01-16,Newport Beach,USA,BUF,8475722
Jacob Bryson,D,78,69,177,1997-11-18,London,CAN,BUF,8480196
Bowen Byram,D,4,73,205,2001-06-13,Cranbrook,CAN,BUF,8481524
Rasmus Dahlin,D,26,75,204,2000-04-13,Lidkoping,SWE,BUF,8480839
Zac Jones,D,28,71,190,2000-10-18,Richmond,USA,BUF,8481708
Michael Kesselring,D,8,77,215,2000-01-13,Florence,USA,BUF,8480891
Zach Metsa,D,73,69,198,1998-10-19,Delafield,USA,BUF,8484305
Owen Power,D,25,78,226,2002-11-22,Mississauga,CAN,BUF,8482671
Mattias Samuelsson,D,23,76,229,2000-03-14,Philadelphia,USA,BUF,8480807
Conor Timmins,D,21,75,213,1998-09-18,St. Catharines,CAN,BUF,8479982
Colten Ellis,G,92,73,191,2000-10-05,Whycocomagh,CAN,BUF,8481551
Ukko-Pekka Luukkonen,G,1,77,223,1999-03-09,Espoo,FIN,BUF,8480045
Alex Lyon,G,34,73,199,1992-12-09,Baudette,USA,BUF,8479312
