Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Sebastian Aho,C,20,72,189,1997-07-26,Rauma,FIN,CAR,8478427
Jackson Blake,R,53,71,185,2003-08-03,Fargo,USA,CAR,8482809
William Carrier,L,28,74,214,1994-12-20,LaSalle,CAN,CAR,8477478
Nikolaj Ehlers,L,27,72,168,1996-02-14,Aalborg,DNK,CAR,8477940
Taylor Hall,L,71,73,210,1991-11-14,Calgary,CAN,CAR,8475791
Mark Jankowski,L,77,76,200,1994-09-13,Hamilton,CAN,CAR,8476873
Seth Jarvis,C,24,70,180,2002-02-01,Winnipeg,CAN,CAR,8482093
Jesperi Kotkaniemi,C,82,75,212,2000-07-06,Pori,FIN,CAR,8480829
Jordan Martinook,L,48,73,208,1992-07-25,Brandon,CAN,CAR,8476921
Eric Robinson,L,50,74,220,1995-06-14,Bellmawr,USA,CAR,8480762
Jordan Staal,C,11,76,220,1988-09-10,Thunder Bay,CAN,CAR,8473533
Logan Stankoven,C,22,68,165,2003-02-26,Kamloops,CAN,CAR,8482702
Andrei Svechnikov,R,37,75,200,2000-03-26,Barnaul,RUS,CAR,8480830
Jalen Chatfield,D,5,73,209,1996-05-15,Ypsilanti,USA,CAR,8478970
Shayne Gostisbehere,D,4,71,183,1993-04-20,Pembroke Pines,USA,CAR,8476906
Charles Alexis Legault,D,62,76,220,2003-09-05,Montréal,CAN,CAR,8484428
K'Andre Miller,D,19,77,210,2000-01-21,St. Paul,USA,CAR,8480817
Alexander Nikishin,D,21,75,218,2001-10-02,Orel,RUS,CAR,8482100
Mike Reilly,D,6,74,191,1993-07-13,Glenview,USA,CAR,8476422
Jaccob Slavin,D,74,75,207,1994-05-01,Denver,USA,CAR,8476958
Sean Walker,D,26,71,191,1994-11-13,Keswick,CAN,CAR,8480336
Frederik Andersen,G,31,76,229,1989-10-02,Herning,DNK,CAR,8475883
Brandon Bussi,G,32,76,218,1998-06-25,Sound Beach,USA,CAR,8483548
Pyotr Kochetkov,G,52,75,196,1999-06-25,Penza,RUS,CAR,8481611
