Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Zachary Aston-Reese,C,27,73,203,1994-08-10,Staten Island,USA,CBJ,8479944
Yegor Chinakhov,R,59,73,203,2001-02-01,Omsk,RUS,CBJ,8482475
Charlie Coyle,C,3,75,221,1992-03-02,East Weymouth,USA,CBJ,8475745
Adam Fantilli,C,19,74,205,2004-10-12,Nobleton,CAN,CBJ,8484166
Boone Jenner,C,38,74,204,1993-06-15,Dorchester,CAN,CBJ,8476432
Kent Johnson,C,91,72,170,2002-10-18,Port Moody,CAN,CBJ,8482660
Isac Lundestrom,C,21,73,192,1999-11-06,Gallivare,SWE,CBJ,8480806
Kirill Marchenko,R,86,75,201,2000-07-21,Barnaul,RUS,CBJ,8480893
Sean Monahan,C,23,74,206,1994-10-12,Brampton,CAN,CBJ,8477497
Mathieu Olivier,R,24,73,232,1997-02-11,Biloxi,USA,CBJ,8479671
Cole Sillinger,C,4,72,202,2003-05-16,Columbus,USA,CBJ,8482705
Dmitri Voronkov,L,10,77,234,2000-09-10,Angarsk,RUS,CBJ,8481716
Miles Wood,L,11,74,209,1995-09-13,Buffalo,USA,CBJ,8477425
Jake Christiansen,D,2,72,199,1999-09-12,West Vancouver,CAN,CBJ,8481161
Dante Fabbro,D,15,72,200,1998-06-20,Coquitlam,CAN,CBJ,8479371
Erik Gudbranson,D,44,77,222,1992-01-07,Ottawa,CAN,CBJ,8475790
Denton Mateychuk,D,5,71,188,2004-07-12,Winnipeg,CAN,CBJ,8483485
Ivan Provorov,D,9,73,224,1997-01-13,Yaroslavl,RUS,CBJ,8478500
Damon Severson,D,78,74,204,1994-08-07,Melville,CAN,CBJ,8476923
Zach Werenski,D,8,74,214,1997-07-19,Grosse Pointe,USA,CBJ,8478460
Jet Greaves,G,73,72,188,2001-03-30,Cambridge,CAN,CBJ,8482982
Elvis Merzlikins,G,90,75,190,1994-04-13,Riga,LVA,CBJ,8478007
