Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Mikael Backlund,C,11,72,206,1989-03-17,Vasteras,SWE,CGY,8474150
Blake Coleman,L,20,71,199,1991-11-28,Plano,USA,CGY,8476399
Matt Coronato,R,27,70,183,2002-11-14,Greenlawn,USA,CGY,8482679
Joel Farabee,L,86,72,186,2000-02-25,Syracuse,USA,CGY,8480797
Morgan Frost,C,16,72,193,1999-05-14,Aurora,CAN,CGY,8480028
Matvei Gridin,R,92,73,182,2006-03-01,Kurgan,RUS,CGY,8484860
Samuel Honzek,L,29,76,186,2004-11-12,Trencin,SVK,CGY,8484180
Jonathan Huberdeau,L,10,73,200,1993-06-04,Saint-Jerome,CAN,CGY,8476456
Nazem Kadri,C,91,72,185,1990-10-06,London,CAN,CGY,8475172
Justin Kirkland,C,23,75,183,1996-08-02,Winnipeg,CAN,CGY,8477993
Adam Klapka,R,43,80,235,2000-09-14,Praha,CZE,CGY,8483609
Ryan Lomberg,L,70,69,184,1994-12-09,Richmond Hill,CAN,CGY,8479066
Martin Pospisil,C,76,74,173,1999-11-19,Zvolen,SVK,CGY,8481028
Yegor Sharangovich,C,17,74,196,1998-06-06,Minsk,BLR,CGY,8481068
Connor Zary,C,47,72,178,2001-09-25,Saskatoon,CAN,CGY,8482074
Rasmus Andersson,D,4,73,202,1996-10-27,Malmo,SWE,CGY,8478397
Kevin Bahl,D,7,78,230,2000-06-27,New Westminster,CAN,CGY,8480860
Jake Bean,D,24,73,191,1998-06-09,Calgary,CAN,CGY,8479402
Joel Hanley,D,44,71,186,1991-06-08,Keswick,CAN,CGY,8477810
Daniil Miromanov,D,62,76,207,1997-07-11,Moscow,RUS,CGY,8482624
Brayden Pachal,D,94,74,202,1999-08-23,Estevan,CAN,CGY,8481167
Zayne Parekh,D,19,72,179,2006-02-15,Markham,CAN,CGY,8484768
MacKenzie Weegar,D,52,72,206,1994-01-07,Ottawa,CAN,CGY,8477346
Devin Cooley,G,1,77,192,1997-05-25,Los Gatos,USA,CGY,8482445
Dustin Wolf,G,32,72,166,2001-04-16,Gilroy,USA,CGY,8481692
