Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Joey Anderson,R,22,72,207,1998-06-19,Roseville,USA,CHI,8479315
Connor Bedard,C,98,70,190,2005-07-17,North Vancouver,CAN,CHI,8484144
Tyler Bertuzzi,L,59,74,200,1995-02-24,Sudbury,CAN,CHI,8477479
Andre Burakovsky,L,28,75,203,1995-02-09,Klagenfurt,AUT,CHI,8477444
Colton Dach,C,34,76,196,2003-01-04,St. Albert,CAN,CHI,8482703
Jason Dickinson,C,16,74,200,1995-07-04,Georgetown,CAN,CHI,8477450
Ryan Donato,C,8,72,190,1996-04-09,Boston,USA,CHI,8477987
Nick Foligno,L,17,72,210,1987-10-31,Buffalo,USA,CHI,8473422
Ryan Greene,C,20,73,174,2003-10-21,St. John's,CAN,CHI,8483450
Sam Lafferty,C,24,74,205,1995-03-06,Hollidaysburg,USA,CHI,8478043
Ilya Mikheyev,R,95,74,192,1994-10-10,Omsk,RUS,CHI,8481624
Frank Nazar,C,91,70,190,2004-01-14,Detroit,USA,CHI,8483493
Lukas Reichel,L,73,72,170,2002-05-17,Nürnberg,DEU,CHI,8482117
Landon Slaggert,L,84,72,180,2002-06-25,South Bend,USA,CHI,8482172
Teuvo Teravainen,C,86,71,191,1994-09-11,Helsinki,FIN,CHI,8476882
Louis Crevier,D,46,80,228,2001-05-04,Quebec City,CAN,CHI,8481806
Matt Grzelcyk,D,48,70,180,1994-01-05,Charlestown,USA,CHI,8476891
Wyatt Kaiser,D,44,72,190,2002-07-31,Andover,USA,CHI,8482176
Artyom Levshunov,D,55,74,208,2005-10-28,Zhlobin,BLR,CHI,8484783
Connor Murphy,D,5,76,212,1993-03-26,Dublin,USA,CHI,8476473
Sam Rinzel,D,6,76,194,2004-06-25,Chanhassen,USA,CHI,8483506
Alex Vlasic,D,72,78,217,2001-06-05,Wilmette,USA,CHI,8481568
Spencer Knight,G,30,75,191,2001-04-19,Darien,USA,CHI,8481519
Arvid Soderblom,G,40,75,180,1999-08-19,Göteborg,SWE,CHI,8482821
