Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Zakhar Bardakov,C,93,74,198,2001-02-24,Berdsk,RUS,COL,8482947
Gavin Brindley,C,54,68,173,2004-10-05,Fort Myers,USA,COL,8484149
Ross Colton,C,20,72,194,1996-09-11,Robbinsville,USA,COL,8479525
Jack Drury,C,18,71,186,2000-02-03,New York,USA,COL,8480835
Parker Kelly,C,17,73,185,1999-05-14,Camrose,CAN,COL,8480448
Joel Kiviranta,L,94,71,185,1996-03-23,Vantaa,FIN,COL,8481641
Gabriel Landeskog,L,92,73,215,1992-11-23,Stockholm,SWE,COL,8476455
Artturi Lehkonen,L,62,71,179,1995-07-04,Piikkio,FIN,COL,8477476
Nathan MacKinnon,C,29,72,200,1995-09-01,Halifax,CAN,COL,8477492
Martin Necas,C,88,75,195,1999-01-15,Nove Mesto na Morave,CZE,COL,8480039
Brock Nelson,C,11,76,205,1991-10-15,Warroad,USA,COL,8475754
Valeri Nichushkin,R,13,76,210,1995-03-04,Chelyabinsk,RUS,COL,8477501
Victor Olofsson,L,95,71,180,1995-07-18,Ornskoldsvik,SWE,COL,8478109
Brent Burns,D,84,77,228,1985-03-09,barrie,CAN,COL,8470613
Samuel Girard,D,49,70,170,1998-05-12,Roberval,CAN,COL,8479398
Cale Makar,D,8,72,187,1998-10-30,Calgary,CAN,COL,8480069
Sam Malinski,D,70,71,190,1998-07-27,Lakeville,USA,COL,8484258
Josh Manson,D,42,75,218,1991-10-07,Hinsdale,USA,COL,8476312
Ilya Solovyov,D,28,75,208,2000-07-20,Mogilev,BLR,COL,8482470
Devon Toews,D,7,73,191,1994-02-21,Abbotsford,CAN,COL,8478038
Mackenzie Blackwood,G,39,76,225,1996-12-09,Thunder Bay,CAN,COL,8478406
Trent Miner,G,50,73,185,2001-02-05,Brandon,CAN,COL,8481529
Scott Wedgewood,G,41,74,201,1992-08-14,Brampton,CAN,COL,8475809
