Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Nathan Bastian,R,11,76,217,1997-12-06,Kitchener,CAN,DAL,8479414
Jamie Benn,L,14,75,210,1989-07-18,Victoria,CAN,DAL,8473994
Colin Blackwell,C,15,68,181,1993-03-28,North Andover,USA,DAL,8476278
Mavrik Bourque,C,22,71,187,2002-01-08,Plessisville,CAN,DAL,8482145
Oskar Bäck,C,10,76,207,2000-03-12,Karlstad,SWE,DAL,8480840
Matt Duchene,C,95,71,211,1991-01-16,Haliburton,CAN,DAL,8475168
Adam Erne,L,73,73,209,1995-04-20,New Haven,USA,DAL,8477454
Radek Faksa,C,12,75,216,1994-01-09,Vitkov,CZE,DAL,8476889
Roope Hintz,C,24,75,217,1996-11-17,Nokia,FIN,DAL,8478449
Justin Hryckowian,C,49,71,198,2001-02-23,L'Ile-Bizard,CAN,DAL,8484829
Wyatt Johnston,C,53,73,187,2003-05-14,Toronto,CAN,DAL,8482740
Mikko Rantanen,R,96,76,228,1996-10-29,Nousiainen,FIN,DAL,8478420
Jason Robertson,L,21,75,204,1999-07-22,Arcadia,USA,DAL,8480027
Tyler Seguin,C,91,74,205,1992-01-31,Brampton,CAN,DAL,8475794
Sam Steel,C,18,72,185,1998-02-03,Ardrossan,CAN,DAL,8479351
Lian Bichsel,D,6,79,237,2004-05-18,Olten,CHE,DAL,8483425
Thomas Harley,D,55,75,214,2001-08-19,Syracuse,USA,DAL,8481581
Miro Heiskanen,D,4,74,197,1999-07-18,Espoo,FIN,DAL,8480036
Esa Lindell,D,23,75,217,1994-05-23,Vantaa,FIN,DAL,8476902
Nils Lundkvist,D,5,73,194,2000-07-27,Pitea,SWE,DAL,8480878
Ilya Lyubushkin,D,46,74,206,1994-04-06,Moscow,RUS,DAL,8480950
Alexander Petrovic,D,28,77,215,1992-03-03,Edmonton,CAN,DAL,8475755
Casey DeSmith,G,1,72,188,1991-08-13,Rochester,USA,DAL,8479193
Jake Oettinger,G,29,78,225,1998-12-18,Lakeville,USA,DAL,8479979
