Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Mason Appleton,C,22,74,196,1996-01-15,Green Bay,USA,DET,8478891
Jonatan Berggren,R,48,71,195,2000-07-16,Uppsala,SWE,DET,8481013
Michael Brandsegg-Nygård,R,28,73,204,2005-10-05,Oslo,NOR,DET,8484794
J.T. Compher,L,37,72,191,1995-04-08,Northbrook,USA,DET,8477456
Andrew Copp,C,18,73,200,1994-07-08,Ann Arbor,USA,DET,8477429
Alex DeBrincat,R,93,68,180,1997-12-18,Farmington Hills,USA,DET,8479337
Emmitt Finnie,C,58,73,195,2005-06-27,Lethbridge,CAN,DET,8484471
Patrick Kane,R,88,70,154,1988-11-19,Buffalo,USA,DET,8474141
Marco Kasper,C,92,73,202,2004-04-08,Innsbruck,AUT,DET,8483464
Dylan Larkin,C,71,73,204,1996-07-30,Waterford,USA,DET,8477946
Michael Rasmussen,C,27,78,222,1999-04-17,Surrey,CAN,DET,8479992
Lucas Raymond,L,23,71,186,2002-03-28,Gothenburg,SWE,DET,8482078
Elmer Soderblom,L,85,80,252,2001-07-05,Gothenburg,SWE,DET,8481725
James van Riemsdyk,L,21,75,227,1989-05-04,Middletown,USA,DET,8474037
Jacob Bernard-Docker,D,25,73,196,2000-06-30,Canmore,CAN,DET,8480879
Ben Chiarot,D,8,75,222,1991-05-09,Hamilton,CAN,DET,8475279
Simon Edvinsson,D,77,78,222,2003-02-05,Kungsbacka,SWE,DET,8482762
Travis Hamonic,D,52,73,193,1990-08-16,St. Malo,CAN,DET,8474612
Albert Johansson,D,20,72,195,2001-01-04,Karlstad,SWE,DET,8481607
Axel Sandin-Pellikka,D,44,72,186,2005-03-11,Gallivare,SWE,DET,8484223
Moritz Seider,D,53,74,210,2001-04-06,Zell,DEU,DET,8481542
John Gibson,G,36,75,209,1993-07-14,Pittsburgh,USA,DET,8476434
Cam Talbot,G,39,75,202,1987-07-05,Caledonia,CAN,DET,8475660
