Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Leon Draisaitl,C,29,74,209,1995-10-27,Cologne,DEU,EDM,8477934
Trent Frederic,C,10,75,221,1998-02-11,St. Louis,USA,EDM,8479365
Adam Henrique,C,19,72,195,1990-02-06,Brantford,CAN,EDM,8474641
Isaac Howard,L,53,70,180,2004-03-30,Hudson,USA,EDM,8483455
Zach Hyman,L,18,73,206,1992-06-09,Toronto,CAN,EDM,8475786
Mattias Janmark,C,13,74,205,1992-12-08,Danderyd,SWE,EDM,8477406
Kasperi Kapanen,R,42,73,194,1996-07-23,Kuopio,FIN,EDM,8477953
Curtis Lazar,C,20,72,203,1995-02-02,Salmon Arm,CAN,EDM,8477508
Andrew Mangiapane,L,88,70,183,1996-04-04,Toronto,CAN,EDM,8478233
Connor McDavid,C,97,73,194,1997-01-13,Richmond Hill,CAN,EDM,8478402
Ryan Nugent-Hopkins,C,93,73,192,1993-04-12,Burnaby,CAN,EDM,8476454
Noah Philp,C,48,75,198,1998-08-31,Canmore,CAN,EDM,8481491
Vasily Podkolzin,R,92,73,190,2001-06-24,Moscow,RUS,EDM,8481617
Jack Roslovic,C,28,73,198,1997-01-29,Columbus,USA,EDM,8478458
Matt Savoie,C,22,70,179,2004-01-01,St. Albert,CAN,EDM,8483512
David Tomasek,R,86,74,210,1996-02-10,Praha,CZE,EDM,8485493
Evan Bouchard,D,2,75,192,1999-10-20,Oakville,CAN,EDM,8480803
Mattias Ekholm,D,14,77,225,1990-05-24,Borlange,SWE,EDM,8475218
Ty Emberson,D,49,72,193,2000-05-23,Eau Claire,USA,EDM,8480834
Brett Kulak,D,27,74,192,1994-01-06,Edmonton,CAN,EDM,8476967
Darnell Nurse,D,25,76,215,1995-02-04,Hamilton,CAN,EDM,8477498
Alec Regula,D,75,76,211,2000-08-06,West Bloomfield,USA,EDM,8480831
Troy Stecher,D,51,70,184,1994-04-07,Richmond,CAN,EDM,8479442
Jake Walman,D,96,73,218,1996-02-20,Toronto,CAN,EDM,8478013
Calvin Pickard,G,30,73,206,1992-04-15,Moncton,CAN,EDM,8475717
Stuart Skinner,G,74,76,215,1998-11-01,Edmonton,CAN,EDM,8479973
