Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Aleksander Barkov,C,16,75,214,1995-09-02,Tampere,FIN,FLA,8477493
Sam Bennett,C,9,73,193,1996-06-20,Holland Landing,CAN,FLA,8477935
Jesper Boqvist,C,70,73,191,1998-10-30,Falun,SWE,FLA,8480003
Jonah Gadjovich,L,12,75,211,1998-10-12,Whitby,CAN,FLA,8479981
A.J. Greer,L,10,75,209,1996-12-14,Joliette,CAN,FLA,8478421
Luke Kunin,C,71,72,197,1997-12-04,Chesterfield,USA,FLA,8479316
Anton Lundell,C,15,73,196,2001-10-03,Espoo,FIN,FLA,8482113
Eetu Luostarinen,C,27,75,191,1998-09-02,Siilinjarvi,FIN,FLA,8480185
Brad Marchand,L,63,69,180,1988-05-11,Halifax,CAN,FLA,8473419
Sam Reinhart,C,13,73,196,1995-11-06,West Vancouver,CAN,FLA,8477933
Evan Rodrigues,C,17,71,182,1993-07-28,Toronto,CAN,FLA,8478542
Mackie Samoskevich,R,11,71,180,2002-11-15,Newtown,USA,FLA,8482713
Cole Schwindt,C,79,75,210,2001-04-25,Kitchener,CAN,FLA,8481655
Carter Verhaeghe,C,23,74,183,1995-08-14,Toronto,CAN,FLA,8477409
Uvis Balinskis,D,26,72,196,1996-08-01,Ventspils,LVA,FLA,8484304
Tobias Bjornfot,D,22,72,200,2001-04-06,Upplands Vasby,SWE,FLA,8481600
Aaron Ekblad,D,5,76,220,1996-02-07,Windsor,CAN,FLA,8477932
Gustav Forsling,D,42,73,199,1996-06-12,Linkoping,SWE,FLA,8478055
Seth Jones,D,3,76,213,1994-10-03,Arlington,USA,FLA,8477495
Dmitry Kulikov,D,7,73,212,1990-10-29,Lipetsk,RUS,FLA,8475179
Niko Mikkola,D,77,78,204,1996-04-27,Kiiminki,FIN,FLA,8478859
Jeff Petry,D,2,75,208,1987-12-09,Ann Arbor,USA,FLA,8473507
Sergei Bobrovsky,G,72,74,180,1988-09-20,Novokuznetsk,RUS,FLA,8475683
Daniil Tarasov,G,40,77,203,1999-03-27,Novokuznetsk,RUS,FLA,8480193
