Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Joel Armia,R,40,75,216,1993-05-31,Pori,FIN,LAK,8476469
Quinton Byfield,R,55,77,225,2002-08-19,Newmarket,CAN,LAK,8482124
Phillip Danault,C,24,73,200,1993-02-24,Victoriaville,CAN,LAK,8476479
Kevin Fiala,L,22,72,205,1996-07-22,St. Gallen,CHE,LAK,8477942
Warren Foegele,L,37,74,204,1996-04-01,Markham,CAN,LAK,8477998
Samuel Helenius,C,79,78,201,2002-11-26,Dallas,USA,LAK,8482726
Adrian Kempe,R,9,74,200,1996-09-13,Kramfors,SWE,LAK,8477960
Anze Kopitar,C,11,75,225,1987-08-24,Jesenice,SVN,LAK,8471685
Andrei Kuzmenko,L,96,71,194,1996-02-04,Yakutsk,RUS,LAK,8483808
Alex Laferriere,R,14,73,205,2001-10-28,Chatham,USA,LAK,8482155
Jeff Malott,L,39,77,208,1996-08-07,Burlington,CAN,LAK,8482408
Trevor Moore,L,12,71,195,1995-03-31,Thousand Oaks,USA,LAK,8479675
Alex Turcotte,C,15,71,185,2001-02-26,Elk Grove,USA,LAK,8481532
Mikey Anderson,D,44,72,195,1999-05-25,Roseville,USA,LAK,8479998
Kyle Burroughs,D,7,72,193,1995-07-12,Vancouver,CAN,LAK,8477335
Cody Ceci,D,5,75,210,1993-12-21,Ottawa,CAN,LAK,8476879
Brandt Clarke,D,92,74,200,2003-02-09,Nepean,CAN,LAK,8482730
Drew Doughty,D,8,73,210,1989-12-08,London,CAN,LAK,8474563
Brian Dumoulin,D,2,76,214,1991-09-06,Biddeford,USA,LAK,8475208
Joel Edmundson,D,6,77,221,1993-06-28,Brandon,CAN,LAK,8476441
Jacob Moverare,D,43,75,210,1998-08-31,Ostersund,SWE,LAK,8479421
Pheonix Copley,G,29,76,205,1992-01-18,North Pole,USA,LAK,8477831
Anton Forsberg,G,31,75,198,1992-11-27,Härnösand,SWE,LAK,8476341
Darcy Kuemper,G,35,77,215,1990-05-05,Saskatoon,CAN,LAK,8475311
