Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Matt Boldy,L,12,74,201,2001-04-05,Milford,USA,MIN,8481557
Joel Eriksson Ek,C,14,75,207,1997-01-29,Karlstad,SWE,MIN,8478493
Marcus Foligno,L,17,75,226,1991-08-10,Buffalo,USA,MIN,8475220
Ryan Hartman,R,38,72,197,1994-09-20,Hilton Head Island,USA,MIN,8477451
Vinnie Hinostroza,C,18,70,183,1994-04-03,Chicago,USA,MIN,8476994
Marcus Johansson,L,90,73,203,1990-10-06,Landskrona,SWE,MIN,8475149
Ben Jones,C,39,72,187,1999-02-26,Waterloo,CAN,MIN,8480259
Kirill Kaprizov,L,97,70,202,1997-04-26,Novokuznetsk,RUS,MIN,8478864
Tyler Pitlick,C,19,74,199,1991-11-01,Minneapolis,USA,MIN,8475752
Marco Rossi,C,23,69,182,2001-09-23,Feldkirch,AUT,MIN,8482079
Nico Sturm,C,78,75,209,1995-05-03,Augsburg,DEU,MIN,8481477
Vladimir Tarasenko,R,91,73,219,1991-12-13,Yaroslavl,RUS,MIN,8475765
Yakov Trenin,C,13,74,201,1997-01-13,Chelyabinsk,RUS,MIN,8478508
Danila Yurov,R,22,73,178,2003-12-22,Chelyabinsk,RUS,MIN,8483525
Zach Bogosian,D,24,75,231,1990-07-15,Massena,USA,MIN,8474567
Jonas Brodin,D,25,74,196,1993-07-12,Karlstad,SWE,MIN,8476463
Zeev Buium,D,8,72,183,2005-12-07,San Diego,USA,MIN,8484798
Brock Faber,D,7,73,200,2002-08-22,Maple Grove,USA,MIN,8482122
Daemon Hunt,D,48,73,193,2002-05-15,Brandon,CAN,MIN,8482094
David Jiricek,D,55,76,204,2003-11-28,Klatovy,CZE,MIN,8483460
Jake Middleton,D,5,75,219,1996-01-02,Wainwright,CAN,MIN,8478136
Jared Spurgeon,D,46,69,166,1989-11-29,Edmonton,CAN,MIN,8474716
Filip Gustavsson,G,32,74,184,1998-06-07,Skelleftea,SWE,MIN,8479406
Jesper Wallstedt,G,30,75,214,2002-11-14,Vasteras,SWE,MIN,8482661
