Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Josh Anderson,R,17,75,226,1994-05-07,Burlington,CAN,MTL,8476981
Zack Bolduc,R,76,72,187,2003-02-24,Trois-Rivières,CAN,MTL,8482737
Cole Caufield,R,13,68,175,2001-01-02,Mosinee,USA,MTL,8481540
Kirby Dach,C,77,76,221,2001-01-21,Fort Saskatchewan,CAN,MTL,8481523
Ivan Demidov,R,93,73,192,2005-12-10,Sergiyev Posad,RUS,MTL,8484984
Jake Evans,C,71,72,190,1996-06-02,Toronto,CAN,MTL,8478133
Brendan Gallagher,R,11,69,185,1992-05-06,Edmonton,CAN,MTL,8475848
Oliver Kapanen,C,91,74,194,2003-07-29,Timra,SWE,MTL,8482775
Patrik Laine,R,92,76,208,1998-04-19,Tampere,FIN,MTL,8479339
Alex Newhook,C,15,71,200,2001-01-28,St. John's,CAN,MTL,8481618
Joshua Roy,R,89,72,192,2003-08-06,Saint-Georges-De-Beauce,CAN,MTL,8482749
Juraj Slafkovský,L,20,75,225,2004-03-30,Kosice,SVK,MTL,8483515
Nick Suzuki,C,14,71,207,1999-08-10,London,CAN,MTL,8480018
Joe Veleno,C,90,73,201,2000-01-13,Montréal,CAN,MTL,8480813
Alexandre Carrier,D,45,71,174,1996-10-08,Quebec City,CAN,MTL,8478851
Noah Dobson,D,53,76,200,2000-01-07,Summerside,CAN,MTL,8480865
Kaiden Guhle,D,21,75,202,2002-01-18,Edmonton,CAN,MTL,8482087
Lane Hutson,D,48,69,162,2004-02-14,Holland,USA,MTL,8483457
Mike Matheson,D,8,74,196,1994-02-27,Pointe-Claire,CAN,MTL,8476875
Jayden Struble,D,47,72,207,2001-09-08,Cumberland,USA,MTL,8481593
Arber Xhekaj,D,72,76,240,2001-01-30,Hamilton,CAN,MTL,8482964
Jakub Dobes,G,75,76,215,2001-05-27,Ostrava,CZE,MTL,8482487
Sam Montembeault,G,35,75,218,1996-10-30,Becancour,CAN,MTL,8478470
