Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Jesper Bratt,L,63,70,175,1998-07-30,Stockholm,SWE,NJD,8479407
Connor Brown,R,16,72,184,1994-01-14,Toronto,CAN,NJD,8477015
Paul Cotter,L,47,74,213,1999-11-16,Canton,USA,NJD,8481032
Evgenii Dadonov,L,33,71,188,1989-03-12,Chelyabinsk,RUS,NJD,8474149
Cody Glass,C,12,75,201,1999-04-01,Winnipeg,CAN,NJD,8479996
Luke Glendening,C,14,71,190,1989-04-28,Grand Rapids,USA,NJD,8476822
Arseny Gritsyuk,R,81,72,195,2001-03-15,Krasnoyarsk,RUS,NJD,8481721
Brian Halonen,L,48,72,207,1999-01-11,Delano,USA,NJD,8483531
Nico Hischier,C,13,73,200,1999-01-04,Maters,CHE,NJD,8480002
Jack Hughes,C,86,71,175,2001-05-14,Orlando,USA,NJD,8481559
Juho Lammikko,C,83,74,191,1996-01-29,Noormarkku,FIN,NJD,8477996
Zack MacEwen,R,15,76,226,1996-07-08,Charlottetown,CAN,NJD,8479772
Marc McLaughlin,C,21,72,202,1999-07-26,North Billerica,USA,NJD,8483397
Timo Meier,R,28,73,220,1996-10-08,Herisau,CHE,NJD,8478414
Dawson Mercer,C,91,72,180,2001-10-27,Carbonear,CAN,NJD,8482110
Ondrej Palat,L,18,72,194,1991-03-28,Frydek-Mistek,CZE,NJD,8476292
Seamus Casey,D,24,70,162,2004-01-08,Miami,USA,NJD,8483429
Dennis Cholowski,D,44,74,210,1998-02-15,Langley,CAN,NJD,8479395
Brenden Dillon,D,5,76,225,1990-11-13,New Westminster,CAN,NJD,8475455
Dougie Hamilton,D,7,78,230,1993-06-17,Toronto,CAN,NJD,8476462
Luke Hughes,D,43,74,198,2003-09-09,Manchester,USA,NJD,8482684
Simon Nemec,D,17,73,190,2004-02-15,Liptovský Mikuláš,SVK,NJD,8483495
Brett Pesce,D,22,75,206,1994-11-15,Tarrytown,USA,NJD,8477488
Jonas Siegenthaler,D,71,74,218,1997-05-06,Zurich,CHE,NJD,8478399
Jake Allen,G,34,74,197,1990-08-07,Fredericton,CAN,NJD,8474596
Nico Daws,G,50,76,205,2000-12-22,Munich,DEU,NJD,8482076
Jacob Markstrom,G,25,78,207,1990-01-31,Gavle,SWE,NJD,8474593
