Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Michael Bunting,L,58,72,186,1995-09-17,Scarborough,CAN,NSH,8478047
Luke Evangelista,R,77,72,183,2002-02-21,Toronto,CAN,NSH,8482146
Filip Forsberg,L,9,73,205,1994-08-13,Ostervala,SWE,NSH,8476887
Erik Haula,L,56,71,191,1991-03-23,Pori,FIN,NSH,8475287
Tyson Jost,C,17,71,187,1998-03-14,St. Albert,CAN,NSH,8479370
Joakim Kemell,R,25,71,182,2004-04-27,Jyvaskyla,FIN,NSH,8483465
Jonathan Marchessault,C,81,69,185,1990-12-27,Cap-Rouge,CAN,NSH,8476539
Brady Martin,C,44,72,185,2007-03-16,Kitchener,CAN,NSH,8485405
Michael McCarron,R,47,78,232,1995-03-07,Grosse Pointe,USA,NSH,8477446
Ryan O'Reilly,C,90,73,207,1991-02-07,Clinton,CAN,NSH,8475158
Cole Smith,L,36,75,195,1995-10-28,Brainerd,USA,NSH,8482062
Steven Stamkos,C,91,73,193,1990-02-07,Markham,CAN,NSH,8474564
Fedor Svechkov,C,40,72,187,2003-04-05,Togliatti,RUS,NSH,8482768
Ozzy Wiesblatt,R,89,70,183,2002-03-09,Calgary,CAN,NSH,8482103
Matthew Wood,R,71,76,202,2005-02-06,Nanaimo,CAN,NSH,8484241
Justin Barron,D,20,74,198,2001-11-15,Halifax,CAN,NSH,8482111
Nick Blankenburg,D,37,69,177,1998-05-12,Washington,USA,NSH,8483565
Nicolas Hague,D,41,78,245,1998-12-05,Kitchener,CAN,NSH,8479980
Roman Josi,D,59,73,201,1990-06-01,Bern,CHE,NSH,8474600
Nick Perbix,D,48,76,206,1998-06-15,Elk River,USA,NSH,8480246
Brady Skjei,D,76,75,210,1994-03-26,Lakeville,USA,NSH,8476869
Spencer Stastney,D,24,72,184,2000-01-04,Woodridge,USA,NSH,8481056
Adam Wilsby,D,83,73,188,2000-08-07,Stockholm,SWE,NSH,8482482
Justus Annunen,G,29,76,210,2000-03-11,Kempele,FIN,NSH,8481020
Juuse Saros,G,74,71,180,1995-04-19,Forssa,FIN,NSH,8477424
