Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Mathew Barzal,C,13,73,186,1997-05-26,Coquitlam,CAN,NYI,8478445
Casey Cizikas,C,53,71,191,1991-02-27,Toronto,CAN,NYI,8475231
Jonathan Drouin,L,29,71,189,1995-03-28,Ste-Agathe,CAN,NYI,8477494
Anthony Duclair,L,11,72,198,1995-08-26,Pointe-Claire,CAN,NYI,8477407
Marc Gatcomb,C,16,74,200,1999-07-22,Woburn,USA,NYI,8483553
Emil Heineman,L,51,74,204,2001-11-16,Leksand,SWE,NYI,8482476
Simon Holmstrom,R,10,73,208,2001-05-24,Tranas,SWE,NYI,8481601
Bo Horvat,C,14,73,225,1995-04-05,London,CAN,NYI,8477500
Anders Lee,L,27,75,234,1990-07-03,Edina,USA,NYI,8475314
Kyle MacLean,C,32,73,190,1999-04-29,Livingston,USA,NYI,8481237
Jean-Gabriel Pageau,C,44,71,180,1992-11-11,Ottawa,CAN,NYI,8476419
Kyle Palmieri,C,21,72,192,1991-02-01,Smithtown,USA,NYI,8475151
Max Shabanov,R,49,69,167,2000-10-07,Chelyabinsk,RUS,NYI,8485702
Maxim Tsyplakov,R,7,75,203,1998-09-19,Moscow,RUS,NYI,8484958
Ethan Bear,D,74,71,219,1997-06-26,Regina,CAN,NYI,8478451
Adam Boqvist,D,34,72,195,2000-08-15,Falun,SWE,NYI,8480871
Tony DeAngelo,D,77,72,190,1995-10-24,Sewell,USA,NYI,8477950
Scott Mayfield,D,24,76,215,1992-10-14,St. Louis,USA,NYI,8476429
Adam Pelech,D,3,75,212,1994-08-16,Toronto,CAN,NYI,8476917
Ryan Pulock,D,6,73,219,1994-10-06,Dauphin,CAN,NYI,8477506
Alexander Romanov,D,28,73,220,2000-01-06,Moscow,RUS,NYI,8481014
Matthew Schaefer,D,48,74,186,2007-09-05,Hamilton,CAN,NYI,8485366
Marcus Hogberg,G,50,77,232,1994-11-25,Orebro,SWE,NYI,8477405
David Rittich,G,33,75,200,1992-08-19,Jihlava,CZE,NYI,8479496
Ilya Sorokin,G,30,75,189,1995-08-04,Mezhdurechensk,RUS,NYI,8478009
Semyon Varlamov,G,40,74,201,1988-04-27,Samara,RUS,NYI,8473575
