Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Jonny Brodzinski,C,22,72,206,1993-06-19,Ham Lake,USA,NYR,8477380
Sam Carrick,C,39,72,202,1992-02-04,Stouffvile,CAN,NYR,8475842
Will Cuylle,L,50,75,212,2002-02-05,Toronto,CAN,NYR,8482157
Adam Edstrom,C,84,79,232,2000-10-12,Karlstad,SWE,NYR,8481726
Noah Laba,C,42,75,214,2003-08-04,Northville,USA,NYR,8483690
Alexis Lafrenière,L,13,74,191,2001-10-11,St-Eustache,CAN,NYR,8482109
J.T. Miller,C,8,72,211,1993-03-14,East Palestine,USA,NYR,8476468
Artemi Panarin,L,10,72,176,1991-10-30,Korkino,RUS,NYR,8478550
Juuso Parssinen,C,71,75,207,2001-02-01,Hameenlinna,FIN,NYR,8481704
Taylor Raddysh,R,14,74,201,1998-02-18,Caledon,CAN,NYR,8479390
Matt Rempe,C,73,81,261,2002-06-29,Calgary,CAN,NYR,8482460
Conor Sheary,L,43,68,180,1992-06-08,Winchester,USA,NYR,8477839
Vincent Trocheck,C,16,71,187,1993-07-11,Pittsburgh,USA,NYR,8476389
Mika Zibanejad,C,93,74,208,1993-04-18,Stockholm,SWE,NYR,8476459
Will Borgen,D,17,75,199,1996-12-19,Moorhead,USA,NYR,8478840
Adam Fox,D,23,71,185,1998-02-17,Jericho,USA,NYR,8479323
Vladislav Gavrikov,D,44,75,210,1995-11-21,Yaroslavl,RUS,NYR,8478882
Connor Mackey,D,12,75,205,1996-09-12,Tower Lakes,USA,NYR,8482067
Matthew Robertson,D,29,76,210,2001-03-09,Edmonton,CAN,NYR,8481525
Braden Schneider,D,4,75,206,2001-09-20,Prince Albert,CAN,NYR,8482073
Carson Soucy,D,24,76,211,1994-07-27,Viking,CAN,NYR,8477369
Urho Vaakanainen,D,18,74,202,1999-01-01,Joensuu,FIN,NYR,8480001
Jonathan Quick,G,32,73,219,1986-01-21,Milford,USA,NYR,8471734
Igor Shesterkin,G,31,73,199,1995-12-30,Moscow,RUS,NYR,8478048
