Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Michael Amadio,R,22,73,206,1996-05-13,Sault Ste. Marie,CAN,OTT,8478020
Drake Batherson,R,19,75,209,1998-04-27,Fort Wayne,USA,OTT,8480208
Nick Cousins,C,21,71,191,1993-07-20,Belleville,CAN,OTT,8476393
Dylan Cozens,C,24,75,205,2001-02-09,Whitehorse,CAN,OTT,8481528
Lars Eller,C,89,74,207,1989-05-08,Rodovre,DNK,OTT,8474189
Claude Giroux,R,28,71,186,1988-01-12,Hearst,CAN,OTT,8473512
Ridly Greig,C,71,72,184,2002-08-08,Lethbridge,CAN,OTT,8482092
Olle Lycksell,R,15,71,197,1999-08-24,Oskarshamn,SWE,OTT,8480245
Kurtis MacDermid,L,23,77,233,1994-03-25,Quebec City,CAN,OTT,8477073
David Perron,L,57,72,202,1988-05-28,Sherbrooke,CAN,OTT,8474102
Shane Pinto,C,12,75,206,2000-11-12,Franklin Square,USA,OTT,8481596
Tim Stützle,C,18,72,187,2002-01-15,Viersen,DEU,OTT,8482116
Brady Tkachuk,L,7,76,226,1999-09-16,Scottsdale,USA,OTT,8480801
Fabian Zetterlund,L,20,71,208,1999-08-25,Karlstad,SWE,OTT,8480188
Thomas Chabot,D,72,73,200,1997-01-30,Sainte-Marie,CAN,OTT,8478469
Nick Jensen,D,3,72,202,1990-09-21,Rogers,USA,OTT,8475324
Tyler Kleven,D,43,77,225,2002-01-10,Fargo,USA,OTT,8482095
Nikolas Matinpalo,D,33,75,213,1998-10-05,Espoo,FIN,OTT,8484321
Jake Sanderson,D,85,74,202,2002-07-08,Whitefish,USA,OTT,8482105
Jordan Spence,D,10,71,188,2001-02-24,Manly,AUS,OTT,8481606
Artem Zub,D,2,75,201,1995-10-03,Khabarovsk,RUS,OTT,8482245
Mads Sogaard,G,40,79,231,2000-12-13,Aalborg,DNK,OTT,8481544
Linus Ullmark,G,35,76,223,1993-07-31,Lugnvik,SWE,OTT,8476999
