Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Rodrigo Abols,C,18,76,206,1996-01-05,Riga,LVA,PHI,8479022
Bobby Brink,R,10,68,169,2001-07-08,Minnetonka,USA,PHI,8481553
Noah Cates,L,27,74,194,1999-02-05,Stillwater,USA,PHI,8480220
Sean Couturier,C,14,76,210,1992-12-07,Phoenix,USA,PHI,8476461
Nicolas Deslauriers,L,44,73,218,1991-02-22,LaSalle,CAN,PHI,8475235
Christian Dvorak,C,22,73,190,1996-02-02,Palos,USA,PHI,8477989
Tyson Foerster,R,71,74,215,2002-01-18,Alliston,CAN,PHI,8482159
Nikita Grebenkin,R,29,74,210,2003-05-02,Serov,RUS,PHI,8483733
Garnet Hathaway,R,19,74,212,1991-11-23,Naples,USA,PHI,8477903
Travis Konecny,R,11,70,192,1997-03-11,London,CAN,PHI,8478439
Jett Luchanko,C,17,71,180,2006-08-21,London,CAN,PHI,8484779
Matvei Michkov,R,39,70,172,2004-12-09,Perm,RUS,PHI,8484387
Owen Tippett,R,74,73,210,1999-02-16,Peterborough,CAN,PHI,8480015
Trevor Zegras,C,46,72,185,2001-03-20,Bedford,USA,PHI,8481533
Jamie Drysdale,D,9,71,185,2002-04-08,Toronto,CAN,PHI,8482142
Adam Ginning,D,13,75,196,2000-01-13,Linkoping,SWE,PHI,8480874
Noah Juulsen,D,47,74,201,1997-04-02,Surrey,CAN,PHI,8478454
Travis Sanheim,D,6,76,222,1996-03-29,Elkhorn,CAN,PHI,8477948
Nick Seeler,D,24,75,197,1993-06-03,Eden Prairie,USA,PHI,8476372
Cam York,D,8,72,194,2001-01-05,Anaheim,USA,PHI,8481546
Egor Zamula,D,5,75,200,2000-03-30,Chelyabinsk,RUS,PHI,8481178
Samuel Ersson,G,33,75,194,1999-10-20,Falun,SWE,PHI,8481035
Dan Vladar,G,80,77,209,1997-08-20,Prague,CZE,PHI,8478435
