Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Noel Acciari,C,55,71,204,1991-12-01,Johnston,USA,PIT,8478569
Justin Brazeau,R,16,78,232,1998-02-02,New Liskeard,CAN,PIT,8479638
Sidney Crosby,C,87,71,200,1987-08-07,Cole Harbour,CAN,PIT,8471675
Connor Dewar,C,19,70,187,1999-06-26,The Pas,CAN,PIT,8480980
Filip Hallander,C,11,73,203,2000-06-29,Sundsvall,SWE,PIT,8480842
Kevin Hayes,R,13,75,217,1992-05-08,Dorchester,USA,PIT,8475763
Ben Kindel,C,81,71,182,2007-04-19,Coquitlam,CAN,PIT,8485414
Ville Koivunen,R,41,72,184,2003-06-13,Oulu,FIN,PIT,8482758
Blake Lizotte,C,46,69,176,1997-12-13,Lindstrom,USA,PIT,8481481
Evgeni Malkin,C,71,77,213,1986-07-31,Magnitogorsk,RUS,PIT,8471215
Anthony Mantha,R,39,77,240,1994-09-16,Longueuil,CAN,PIT,8477511
Tommy Novak,C,18,73,190,1997-04-28,St. Paul,USA,PIT,8478438
Rickard Rakell,R,67,73,194,1993-05-05,Sundbyberg,SWE,PIT,8476483
Bryan Rust,R,17,71,202,1992-05-11,Pontiac,USA,PIT,8475810
Philip Tomasino,R,53,72,187,2001-07-28,Mississauga,CAN,PIT,8481577
Harrison Brunicke,D,45,75,201,2006-05-08,Johannesburg,ZAF,PIT,8484839
Connor Clifton,D,75,72,196,1995-04-28,Matawan,USA,PIT,8477365
Mathew Dumba,D,24,72,191,1994-07-25,Regina,CAN,PIT,8476856
Caleb Jones,D,82,73,184,1997-06-06,Arlington,USA,PIT,8478452
Erik Karlsson,D,65,72,185,1990-05-31,Landsbro,SWE,PIT,8474578
Kris Letang,D,58,72,199,1987-04-24,Montréal,CAN,PIT,8471724
Ryan Shea,D,5,73,200,1997-02-11,Milton,USA,PIT,8478854
Parker Wotherspoon,D,28,73,190,1997-08-24,Surrey,CAN,PIT,8478450
Joel Blomqvist,G,30,75,204,2002-01-10,Uusikaarlepyy,FIN,PIT,8482446
Tristan Jarry,G,35,76,201,1995-04-29,Surrey,CAN,PIT,8477465
Arturs Silovs,G,37,76,208,2001-03-22,Riga,LVA,PIT,8481668
