Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Matty Beniers,C,10,74,181,2002-11-05,Hingham,USA,SEA,8482665
Berkly Catton,C,77,70,179,2006-01-14,Saskatoon,CAN,SEA,8484800
Jordan Eberle,R,7,71,180,1990-05-15,Regina,CAN,SEA,8474586
Frederick Gaudreau,C,89,72,184,1993-05-01,Bromont,CAN,SEA,8477919
Kaapo Kakko,R,84,73,215,2001-02-13,Turku,FIN,SEA,8481554
Tye Kartye,L,12,71,202,2001-04-30,Kingston,CAN,SEA,8481789
Mason Marchment,L,27,77,212,1995-06-18,Uxbridge,CAN,SEA,8478975
Jared McCann,L,19,73,191,1996-05-31,Stratford,CAN,SEA,8477955
Jani Nyman,R,38,74,212,2004-07-30,Valkeakoski,FIN,SEA,8483497
Jaden Schwartz,L,17,70,185,1992-06-25,Wilcox,CAN,SEA,8475768
Chandler Stephenson,C,9,72,201,1994-04-22,Saskatoon,CAN,SEA,8476905
Eeli Tolvanen,R,20,70,182,1999-04-22,Vihti,FIN,SEA,8480009
Ryan Winterton,C,26,74,175,2003-09-04,Markham,CAN,SEA,8482751
Shane Wright,C,51,72,192,2004-01-05,Burlington,CAN,SEA,8483524
Vince Dunn,D,29,72,200,1996-10-29,Mississauga,CAN,SEA,8478407
Ryker Evans,D,41,72,195,2001-12-13,Calgary,CAN,SEA,8482858
Cale Fleury,D,8,73,204,1998-11-19,Carlyle,CAN,SEA,8479985
Adam Larsson,D,6,75,207,1992-11-12,Skelleftea,SWE,SEA,8476457
Ryan Lindgren,D,55,72,194,1998-02-11,Burnsville,USA,SEA,8479324
Joshua Mahura,D,28,72,193,1998-05-05,St. Albert,CAN,SEA,8479372
Brandon Montour,D,62,72,199,1994-04-11,Brantford,CAN,SEA,8477986
Jamie Oleksiak,D,24,79,252,1992-12-21,Toronto,CAN,SEA,8476467
Joey Daccord,G,35,74,201,1996-08-19,Boston,USA,SEA,8478916
Philipp Grubauer,G,31,73,188,1991-11-25,Rosenheim,DEU,SEA,8475831
Matt Murray,G,30,77,220,1994-05-25,Thunder Bay,CAN,SEA,8476899
