Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Macklin Celebrini,C,71,72,190,2006-06-13,North Vancouver,CAN,SJS,8484801
Ty Dellandrea,C,10,74,185,2000-07-21,Port Perry,CAN,SJS,8480848
William Eklund,L,72,70,185,2002-10-12,Stockholm,SWE,SJS,8482667
Adam Gaudette,R,81,73,190,1996-10-03,Braintree,USA,SJS,8478874
Barclay Goodrow,C,23,74,210,1993-02-26,Toronto,CAN,SJS,8476624
Collin Graf,R,51,73,190,2002-09-21,Lincoln,USA,SJS,8484911
Philipp Kurashev,C,96,72,190,1999-10-12,Munsingen,CHE,SJS,8480798
Michael Misa,C,77,73,185,2007-02-16,Oakville,CAN,SJS,8485402
Ryan Reaves,R,75,74,225,1987-01-20,Winnipeg,CAN,SJS,8471817
Jeff Skinner,L,53,71,200,1992-05-16,Toronto,CAN,SJS,8475784
Will Smith,C,2,72,180,2005-03-17,Boston,USA,SJS,8484227
Tyler Toffoli,C,73,72,205,1992-04-24,Scarborough,CAN,SJS,8475726
Alexander Wennberg,C,21,74,190,1994-09-22,Stockholm,SWE,SJS,8477505
Vincent Desharnais,D,5,79,225,1996-05-29,Laval,CAN,SJS,8479576
Sam Dickinson,D,6,75,200,2006-06-07,Toronto,CAN,SJS,8484806
Mario Ferraro,D,38,71,200,1998-09-17,Toronto,CAN,SJS,8479983
John Klingberg,D,3,74,185,1992-08-14,Gothenburg,SWE,SJS,8475906
Nick Leddy,D,4,72,205,1991-03-20,Eden Prairie,USA,SJS,8475181
Timothy Liljegren,D,37,73,200,1999-04-30,Kristianstad,SWE,SJS,8480043
Shakir Mukhamadullin,D,85,76,200,2002-01-10,Ufa,RUS,SJS,8482166
Dmitry Orlov,D,9,71,215,1991-07-23,Novokuznetsk,RUS,SJS,8475200
Yaroslav Askarov,G,30,75,180,2002-06-16,Omsk,RUS,SJS,8482137
Alex Nedeljkovic,G,33,72,205,1996-01-07,Parma,USA,SJS,8477968
