Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Nick Bjugstad,C,77,78,210,1992-07-17,Minneapolis,USA,STL,8475760
Pavel Buchnevich,L,89,73,196,1995-04-17,Cherepovets,RUS,STL,8477402
Dylan Holloway,L,81,73,207,2001-09-23,Calgary,CAN,STL,8482077
Mathieu Joseph,R,71,73,189,1997-02-09,Laval,CAN,STL,8478472
Jordan Kyrou,R,25,73,189,1998-05-05,Toronto,CAN,STL,8479385
Jake Neighbours,L,63,72,201,2002-03-29,Calgary,CAN,STL,8482089
Brayden Schenn,C,10,73,200,1991-08-22,Saskatoon,CAN,STL,8475170
Jimmy Snuggerud,R,21,73,193,2004-06-01,Minneapolis,USA,STL,8483516
Oskar Sundqvist,C,70,75,210,1994-03-23,Boden,SWE,STL,8476897
Pius Suter,C,22,71,172,1996-05-24,Zurich,CHE,STL,8480459
Alexandre Texier,L,9,73,196,1999-09-13,Saint-Martin-d'Hères,FRA,STL,8480074
Robert Thomas,C,18,72,207,1999-07-02,Aurora,CAN,STL,8480023
Alexey Toropchenko,R,13,78,225,1999-06-25,Moscow,RUS,STL,8480281
Nathan Walker,L,26,69,191,1994-02-07,Cardiff,GBR,STL,8477573
Philip Broberg,D,6,76,210,2001-06-25,Orebro,SWE,STL,8481598
Justin Faulk,D,72,72,208,1992-03-20,South St. Paul,USA,STL,8475753
Cam Fowler,D,17,74,213,1991-12-05,Windsor,CAN,STL,8475764
Matthew Kessel,D,51,75,212,2000-06-23,Bloomfield Hills,USA,STL,8482516
Logan Mailloux,D,23,75,212,2003-04-15,Belle River,CAN,STL,8482733
Colton Parayko,D,55,78,228,1993-05-12,St. Albert,CAN,STL,8476892
Tyler Tucker,D,75,73,204,2000-03-01,Thunder Bay,CAN,STL,8481006
Jordan Binnington,G,50,74,172,1993-07-11,Richmond Hill,CAN,STL,8476412
Joel Hofer,G,30,77,193,2000-07-30,Winnipeg,CAN,STL,8480981
