Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Oliver Bjorkstrand,R,22,72,175,1995-04-10,Herning,DNK,TBL,8477416
Mitchell Chaffee,R,41,73,197,1998-01-26,Grand Rapids,USA,TBL,8482070
Anthony Cirelli,C,71,73,193,1997-07-15,Etobicoke,CAN,TBL,8478519
Curtis Douglas,C,42,81,242,2000-03-06,Oakville,CAN,TBL,8480876
Jack Finley,C,62,78,227,2002-09-02,St. Louis,USA,TBL,8482090
Zemgus Girgensons,C,28,75,197,1994-01-05,Riga,LVA,TBL,8476878
Gage Goncalves,C,93,73,189,2001-01-16,Mission,CAN,TBL,8482201
Yanni Gourde,C,37,69,173,1991-12-15,Saint-Narcisse,CAN,TBL,8476826
Jake Guentzel,C,59,71,176,1994-10-06,Omaha,USA,TBL,8477404
Brandon Hagel,L,38,74,186,1998-08-27,Saskatoon,CAN,TBL,8479542
Pontus Holmberg,R,29,72,201,1999-03-09,Vasteras,SWE,TBL,8480995
Nikita Kucherov,R,86,72,173,1993-06-17,Maykop,RUS,TBL,8476453
Nick Paul,L,20,76,234,1995-03-20,Mississauga,CAN,TBL,8477426
Brayden Point,C,21,71,177,1996-03-13,Calgary,CAN,TBL,8478010
Erik Cernak,D,81,76,230,1997-05-28,Kosice,SVK,TBL,8478416
Max Crozier,D,24,75,204,2000-04-19,Calgary,CAN,TBL,8481719
Charle-Edouard D'Astous,D,51,74,211,1998-04-21,Rimouski,CAN,TBL,8480426
Victor Hedman,D,77,79,244,1990-12-18,Ornskoldsvik,SWE,TBL,8475167
Emil Lilleberg,D,78,75,215,2001-02-02,Sarpsborg,NOR,TBL,8482929
Ryan McDonagh,D,27,73,216,1989-06-13,St. Paul,USA,TBL,8474151
J.J. Moser,D,90,74,183,2000-06-06,Biel,CHE,TBL,8482655
Darren Raddysh,D,43,73,202,1996-02-28,Toronto,CAN,TBL,8478178
Jonas Johansson,G,31,77,220,1995-09-19,Gavle,SWE,TBL,8477992
Andrei Vasilevskiy,G,88,76,223,1994-07-25,Tyumen,RUS,TBL,8476883
