Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Sammy Blais,L,79,74,206,1996-06-17,Montmagny,CAN,TOR,8478104
Easton Cowan,R,53,72,190,2005-05-20,Mount Brydges,CAN,TOR,8484158
Max Domi,C,11,70,208,1995-03-02,Winnipeg,CAN,TOR,8477503
Calle Jarnkrok,C,19,72,193,1991-09-25,Gavle,SWE,TOR,8475714
Dakota Joshua,C,81,75,218,1996-05-15,Dearborn,USA,TOR,8478057
Matthew Knies,L,23,75,232,2002-10-17,Phoenix,USA,TOR,8482720
Scott Laughton,C,24,73,190,1994-05-30,Oakville,CAN,TOR,8476872
Steven Lorentz,C,18,76,219,1996-04-13,Kitchener,CAN,TOR,8478904
Matias Maccelli,L,63,71,187,2000-10-14,Turku,FIN,TOR,8481711
Auston Matthews,C,34,75,215,1997-09-17,San Ramon,USA,TOR,8479318
Bobby McMann,C,74,74,217,1996-06-15,Wainwright,CAN,TOR,8482259
William Nylander,R,88,72,200,1996-05-01,Calgary,CAN,TOR,8477939
Nicholas Robertson,L,89,69,180,2001-09-11,Pasadena,USA,TOR,8481582
Nicolas Roy,C,55,76,200,1997-02-05,Amos,CAN,TOR,8478462
John Tavares,C,91,73,217,1990-09-20,Mississauga,CAN,TOR,8475166
Simon Benoit,D,2,76,210,1998-09-19,Laval,CAN,TOR,8481122
Brandon Carlo,D,25,77,227,1996-11-26,Colorado Springs,USA,TOR,8478443
Oliver Ekman-Larsson,D,95,74,190,1991-07-17,Karlskrona,SWE,TOR,8475171
Jake McCabe,D,22,73,210,1993-10-12,Eau Claire,USA,TOR,8476931
Philippe Myers,D,51,77,221,1997-01-25,Moncton,CAN,TOR,8479026
Morgan Rielly,D,44,73,219,1994-03-09,Vancouver,CAN,TOR,8476853
Chris Tanev,D,8,75,200,1989-12-20,Toronto,CAN,TOR,8475690
Cayden Primeau,G,30,75,205,1999-08-11,Farmington Hills,USA,TOR,8480051
Anthony Stolarz,G,41,78,248,1994-01-20,Edison,USA,TOR,8476932
