Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Andrew Agozzino,L,36,70,187,1991-01-03,Kleinburg,CAN,UTA,8475461
Michael Carcone,L,53,69,182,1996-05-19,Ajax,CAN,UTA,8479619
Logan Cooley,C,92,72,191,2004-05-04,Pittsburgh,USA,UTA,8483431
Lawson Crouse,L,67,76,214,1997-06-23,Mt. Brydges,CAN,UTA,8478474
Dylan Guenther,R,11,73,191,2003-04-10,Edmonton,CAN,UTA,8482699
Barrett Hayton,C,27,73,200,2000-06-09,Peterborough,CAN,UTA,8480849
Clayton Keller,R,9,70,175,1998-07-29,Chesterfield,USA,UTA,8479343
Alexander Kerfoot,C,15,71,185,1994-08-11,Vancouver,CAN,UTA,8477021
Jack McBain,C,22,76,219,2000-01-06,Toronto,CAN,UTA,8480855
JJ Peterka,R,77,72,189,2002-01-14,Munich,DEU,UTA,8482175
Nick Schmaltz,C,8,72,184,1996-02-23,Madison,USA,UTA,8477951
Kevin Stenlund,C,82,75,213,1996-09-20,Stockholm,SWE,UTA,8478831
Brandon Tanev,L,13,72,189,1991-12-31,Toronto,CAN,UTA,8479293
Kailer Yamamoto,R,56,69,178,1998-09-29,Spokane,USA,UTA,8479977
Ian Cole,D,28,73,237,1989-02-21,Ann Arbor,USA,UTA,8474013
Nick DeSimone,D,57,74,194,1994-11-21,East Amherst,USA,UTA,8480084
Sean Durzi,D,50,73,196,1998-10-21,Mississauga,CAN,UTA,8480434
John Marino,D,6,73,200,1997-05-21,North Easton,USA,UTA,8478507
Olli Määttä,D,2,74,207,1994-08-22,Jyväskylä,FIN,UTA,8476874
Nate Schmidt,D,88,72,197,1991-07-16,St. Cloud,USA,UTA,8477220
Mikhail Sergachev,D,98,75,212,1998-06-25,Nizhnekamsk,RUS,UTA,8479410
Dmitri Simashev,D,26,76,198,2005-02-04,Kostroma,RUS,UTA,8484386
Vitek Vanecek,G,41,74,184,1996-01-09,Havlickuv Brod,CZE,UTA,8477970
Karel Vejmelka,G,70,76,221,1996-05-25,Trebic,CZE,UTA,8478872
