Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Arshdeep Bains,L,13,72,184,2001-01-09,Surrey,CAN,VAN,8483395
Teddy Blueger,C,53,72,185,1994-08-15,Riga,LVA,VAN,8476927
Brock Boeser,R,6,73,208,1997-02-25,Burnsville,USA,VAN,8478444
Filip Chytil,C,72,74,210,1999-09-05,Kromeriz,CZE,VAN,8480078
Braeden Cootes,C,80,71,183,2007-02-09,Sherwood Park,CAN,VAN,8485385
Jake DeBrusk,L,74,73,198,1996-10-17,Edmonton,CAN,VAN,8478498
Conor Garland,R,8,70,165,1996-03-11,Scituate,USA,VAN,8478856
Nils Hoglander,L,21,69,185,2000-12-20,Bockträsk,SWE,VAN,8481535
Evander Kane,L,91,74,218,1991-08-02,Vancouver,CAN,VAN,8475169
Linus Karlsson,C,94,73,178,1999-11-16,Eksjö,SWE,VAN,8481024
Jonathan Lekkerimäki,R,23,71,172,2004-07-24,Tullinge,SWE,VAN,8483476
Drew O'Connor,L,18,76,209,1998-06-09,Chatham,USA,VAN,8482055
Elias Pettersson,C,40,74,176,1998-11-12,Sundsvall,SWE,VAN,8480012
Aatu Raty,C,54,74,190,2002-11-14,Oulu,FIN,VAN,8482691
Kiefer Sherwood,L,44,72,194,1995-03-31,Columbus,USA,VAN,8480748
Derek Forbort,D,27,76,216,1992-03-04,Duluth,USA,VAN,8475762
Filip Hronek,D,17,72,190,1997-11-02,Hradec Kralove,CZE,VAN,8479425
Quinn Hughes,D,43,70,180,1999-10-14,Orlando,USA,VAN,8480800
P.O Joseph,D,7,74,185,1999-07-01,Laval,CAN,VAN,8480058
Victor Mancini,D,90,75,229,2002-05-26,Hancock,USA,VAN,8483768
Tyler Myers,D,57,80,229,1990-02-01,Houston,USA,VAN,8474574
Elias Pettersson,D,25,74,185,2004-02-16,Vasteras,SWE,VAN,8483678
Marcus Pettersson,D,29,77,174,1996-05-08,Skelleftea,SWE,VAN,8477969
Thatcher Demko,G,35,76,192,1995-12-08,San Diego,USA,VAN,8477967
Kevin Lankinen,G,32,74,190,1995-04-28,Helsinki,FIN,VAN,8480947
