Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Ivan Barbashev,L,49,72,203,1995-12-14,Moscow,RUS,VGK,8477964
Pavel Dorofeyev,R,16,73,194,2000-10-26,Nizhny Tagil,RUS,VGK,8481604
Jack Eichel,C,9,74,208,1996-10-28,North Chelmsford,USA,VGK,8478403
Tomas Hertl,C,48,75,220,1993-11-12,Praha,CZE,VGK,8476881
Alexander Holtz,R,26,72,198,2002-01-23,Stockholm,SWE,VGK,8482125
Brett Howden,C,21,74,201,1998-03-29,Oakbank,CAN,VGK,8479353
William Karlsson,C,71,72,190,1993-01-08,Marsta,SWE,VGK,8476448
Keegan Kolesar,R,55,74,216,1997-04-08,Brandon,CAN,VGK,8478434
Mitch Marner,R,93,72,180,1997-05-05,Markham,CAN,VGK,8478483
Cole Reinhardt,L,23,73,207,2000-02-01,Calgary,CAN,VGK,8481133
Brandon Saad,L,20,73,207,1992-10-27,Pittsburgh,USA,VGK,8476438
Colton Sissons,C,10,73,200,1993-11-05,North Vancouver,CAN,VGK,8476925
Reilly Smith,R,19,73,185,1991-04-01,Mimico,CAN,VGK,8475191
Mark Stone,R,61,75,210,1992-05-13,Winnipeg,CAN,VGK,8475913
Noah Hanifin,D,15,75,206,1997-01-25,Boston,USA,VGK,8478396
Ben Hutton,D,17,75,209,1993-04-20,Brockville,CAN,VGK,8477018
Kaedan Korczak,D,6,75,206,2001-01-29,Yorkton,CAN,VGK,8481527
Jeremy Lauzon,D,5,75,225,1997-04-28,Val-d'Or,CAN,VGK,8478468
Brayden McNabb,D,3,76,215,1991-01-21,Davidson,CAN,VGK,8475188
Shea Theodore,D,27,74,197,1995-08-03,Aldergrove,CAN,VGK,8477447
Zach Whitecloud,D,2,74,210,1996-11-28,Brandon,CAN,VGK,8480727
Adin Hill,G,33,76,222,1996-05-11,Comox,CAN,VGK,8478499
Akira Schmid,G,40,77,190,2000-05-12,Bern,CHE,VGK,8481033
