Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Morgan Barron,C,36,76,220,1998-12-02,Halifax,CAN,WPG,8480289
Nikita Chibrikov,R,90,70,170,2003-02-16,Moscow,RUS,WPG,8482787
Kyle Connor,L,81,73,183,1996-12-09,Shelby Township,USA,WPG,8478398
Parker Ford,C,25,69,181,2000-07-20,Wakefield,USA,WPG,8484135
Alex Iafallo,L,9,72,201,1993-12-21,Eden,USA,WPG,8480113
Cole Koepke,L,45,73,207,1998-05-17,Two Harbors,USA,WPG,8481043
Brad Lambert,C,93,73,173,2003-12-19,Lahti,FIN,WPG,8483471
Vladislav Namestnikov,C,7,72,181,1992-11-22,Zhukovskiy,RUS,WPG,8476480
Nino Niederreiter,R,62,74,218,1992-09-08,Chur,CHE,WPG,8475799
Gustav Nyquist,R,14,71,180,1989-09-01,Halmstad,SWE,WPG,8474679
Tanner Pearson,L,70,73,207,1992-08-10,Kitchener,CAN,WPG,8476871
Cole Perfetti,C,91,71,185,2002-01-01,Whitby,CAN,WPG,8482149
Mark Scheifele,C,55,75,207,1993-03-15,Kitchener,CAN,WPG,8476460
Jonathan Toews,C,19,74,201,1988-04-29,Winnipeg,CAN,WPG,8473604
Gabriel Vilardi,C,13,75,216,1999-08-16,Kingston,CAN,WPG,8480014
Dylan DeMelo,D,2,73,194,1993-05-01,London,CAN,WPG,8476331
Haydn Fleury,D,24,76,207,1996-07-08,Carlyle,CAN,WPG,8477938
Colin Miller,D,6,73,200,1992-10-29,Sault Ste. Marie,CAN,WPG,8476525
Josh Morrissey,D,44,72,195,1995-03-28,Calgary,CAN,WPG,8477504
Neal Pionk,D,4,72,190,1995-07-29,Omaha,USA,WPG,8480145
Dylan Samberg,D,54,76,216,1999-01-24,Saginaw,USA,WPG,8480049
Luke Schenn,D,5,74,225,1989-11-02,Saskatoon,CAN,WPG,8474568
Logan Stanley,D,64,79,231,1998-05-26,Waterloo,CAN,WPG,8479378
Eric Comrie,G,1,73,190,1995-07-06,Edmonton,CAN,WPG,8477480
Connor Hellebuyck,G,37,76,207,1993-05-19,Commerce,USA,WPG,8476945
