Player Name,Position,Jersey Number,Height (in),Weight (lbs),Birth Date,Birth City,Birth Country,Team,player_id
Anthony Beauvillier,L,72,71,181,1997-06-08,Sorel-Tracy,CAN,WSH,8478463
Nic Dowd,C,26,74,195,1990-05-27,Huntsville,USA,WSH,8475343
Pierre-Luc Dubois,L,80,76,220,1998-06-24,Ste-Agathe-des-Monts,CAN,WSH,8479400
Brandon Duhaime,R,22,74,210,1997-05-22,Coral Springs,USA,WSH,8479520
Hendrix Lapierre,C,29,72,195,2002-02-09,Gatineau,CAN,WSH,8482148
Ryan Leonard,R,9,73,205,2005-01-21,Northampton,USA,WSH,8484186
Connor McMichael,C,24,72,180,2001-01-15,Ajax,CAN,WSH,8481580
Sonny Milano,L,15,72,205,1996-05-12,Massapequa,USA,WSH,8477947
Alex Ovechkin,L,8,75,238,1985-09-17,Moscow,RUS,WSH,8471214
Aliaksei Protas,C,21,78,250,2001-01-06,Vitebsk,BLR,WSH,8481656
Justin Sourdif,R,34,72,195,2002-03-24,Richmond,CAN,WSH,8482088
Dylan Strome,C,17,76,200,1997-03-07,Mississauga,CAN,WSH,8478440
Tom Wilson,R,43,76,225,1994-03-29,Toronto,CAN,WSH,8476880
John Carlson,D,74,75,220,1990-01-10,Natick,USA,WSH,8474590
Declan Chisholm,D,47,73,205,2000-01-12,Bowmanville,CAN,WSH,8480990
Jakob Chychrun,D,6,74,215,1998-03-31,Boca Raton,USA,WSH,8479345
Martin Fehérváry,D,42,74,215,1999-10-06,Bratislava,SVK,WSH,8480796
Dylan McIlrath,D,52,77,240,1992-04-20,Winnipeg,CAN,WSH,8475795
Matt Roy,D,3,74,220,1995-03-01,Detroit,USA,WSH,8478911
Rasmus Sandin,D,38,71,189,2000-03-07,Uppsala,SWE,WSH,8480873
Trevor van Riemsdyk,D,57,75,210,1991-07-24,Middletown,USA,WSH,8477845
Charlie Lindgren,G,79,74,190,1993-12-18,Lakeville,USA,WSH,8479292
Logan Thompson,G,48,76,207,1997-02-25,Calgary,CAN,WSH,8480313
