2025-11-22 10:00 PM EDT - Vegas Golden Knights   @ Anaheim Ducks            
2025-11-22 10:00 PM EDT - Dallas Stars           @ Calgary Flames           
2025-11-22 1:00 PM  EDT - Columbus Blue Jackets  @ Detroit Red Wings        
2025-11-22 7:00 PM  EDT - Edmonton Oilers        @ Florida Panthers         
2025-11-22 7:00 PM  EDT - <b style="color: #5A62FF;">Toronto Maple Leafs</b>    @ Montreal Canadiens       
2025-11-22 8:00 PM  EDT - Colorado Avalanche     @ Nashville Predators      
2025-11-22 3:30 PM  EDT - St. Louis Blues        @ New York Islanders       
2025-11-22 7:00 PM  EDT - New Jersey Devils      @ Philadelphia Flyers      
2025-11-22 7:00 PM  EDT - Seattle Kraken         @ Pittsburgh Penguins      
2025-11-22 7:00 PM  EDT - Ottawa Senators        @ San Jose Sharks          
2025-11-22 9:00 PM  EDT - New York Rangers       @ Utah Mammoth             
2025-11-22 7:00 PM  EDT - Tampa Bay Lightning    @ Washington Capitals      
