Column2,Column1,Column3
Column Name,Column Name,Description
corsi,corsi,"In sports analytics, especially ice hockey, Corsi is a statistic that measures even-strength shot attempt differential, counting shots on goal, missed shots, and blocked shots toward the opposition's net minus those same attempts directed at your own team's net. Named after former Buffalo Sabres goalie coach Jim Corsi, it serves as a barometer for puck possession, with a positive Corsi for a player or team indicating a greater share of shot attempts and, theoretically, more control of the puck"
corsiAgainstAfterShifts,corsi Against After Shifts,Shot attempts the opposing team gets between 1 and 5 seconds after the player has shifted off on the fly. Meant to identify players who shift off instead of backchecking
corsiForAfterShifts,corsi For After Shifts,Shot attempts the player's team gets between 1 and 5 seconds after the player has shifted off on the fly. Meant to give credit to give players who leave the ice when the puck is going towards the opposing team's zone 
Created Expected Goals,Created Expected Goals,See http://moneypuck.com/about.htm#xRebounds 
Expected Goals,Expected Goals,"The sum of the probabilities of unblocked shot attempts being goals. For example, a rebound shot in the slot may be worth 0.5 expected goals, while a shot from the blueline while short handed may be worth 0.01 expected goals. The expected value of each shot attempt is calculated by the MoneyPuck Expected Goals model. Expected goals is commonly abbreviated as ""xGoals"". Blocked shot attempts are valued at 0 xGoals. See more here: http://moneypuck.com/about.htm#shotModel"
faceoffsLost,faceoffs lost,Number of faceoffs the player has lost
faceoffsWon,faceoffs won,Number of faceoffs the player has won
fenwickAgainstAfterShifts,fenwick Against After Shifts,Unblocked Shot attempts the opposing team gets between 1 and 5 seconds after the player has shifted off on the fly. Meant to identify players who shift off instead of backchecking
fenwickForAfterShifts,fenwick For After Shifts,Unblocked Shot attempts the player's team gets between 1 and 5 seconds after the player has shifted off on the fly. Meant to give credit to give players who leave the ice when the puck is going towards the opposing team's zone 
Flurry Adjusted,Flurry Adjusted,See http://moneypuck.com/about.htm#flurry
games_played,games played,Number of games played.
gameScore,game Score,Game Score rating as designed by @domluszczyszyn
General Terms,General Terms,Description
High Danger Shots,High Danger Shots,Unblocked Shot attempts  with >= 20% probability of being a goal. High danger shots account for ~5% of shots and ~33% of goals
I_F,individual_for_,"""Individual For"". For stats credited to an individual. For example, I_F_goals is the number of goals a player has scored"
I_F_blockedShotAttempts,individual_for_blockedShotAttempts,Blocked shot attempts. The numbe of shot attempts a player has taken that were blocked by the opponent's team
I_F_dZoneGiveaways,individual_for_dZoneGiveaways,Giveaways in the team's defensive zone
I_F_dZoneShiftEnds,individual_for_dZoneShiftEnds,Number of player's shifts that end with a defensive zone faceoff for the oncoming players
I_F_dZoneShiftStarts,individual_for_dZoneShiftStarts,Number of defensive zone face-off shift starts a player had
I_F_faceOffsWon,individual_for_faceOffsWon,Number of faceoffs the player has won
I_F_flurryAdjustedxGoals,individual_for_flurryAdjustedxGoals,Flurry Adjusted Expected Goals. See 'General Concepts' tab for more info.
I_F_flurryScoreVenueAdjustedxGoals,individual_for_flurryScoreVenueAdjustedxGoals,Fluury and Score and Venued Adjusted xGoals
I_F_flyShiftEnds,individual_for_flyShiftEnds,Number of player's shifts that end on the fly
I_F_flyShiftStarts,individual_for_flyShiftStarts,Number of shift starts on the fly a player had
I_F_freeze,individual_for_freeze,Puck freezes after a player's shots. The  number of puck freezes by  goalies after the player's unblocked shot attempts.
I_F_giveaways,individual_for_giveaways,Number of giveaways the player has given to other team
I_F_goals,individual_for_goals,Goals
I_F_highDangerGoals,individual_for_highDangerGoals,Goals from high danger shots
I_F_highDangerShots,individual_for_highDangerShots,High Danger Shots (Higher than 20% xGoal Value)
I_F_highDangerxGoals,individual_for_highDangerxGoals,Sum of expected goals from high danger shots
I_F_hits,individual_for_hits,Number of hits the player has given
I_F_lowDangerGoals,individual_for_lowDangerGoals,Goals from low danger shots
I_F_lowDangerShots,individual_for_lowDangerShots,Low danger shots (<8% xGoal value)
I_F_lowDangerxGoals,individual_for_lowDangerxGoals,Sum of expected goals from low danger shots
I_F_mediumDangerGoals,individual_for_mediumDangerGoals,Goals from medium danger shots
I_F_mediumDangerShots,individual_for_mediumDangerShots,Medium danger shots (Between 8% and 20% xGoal Value)
I_F_mediumDangerxGoals,individual_for_mediumDangerxGoals,Sum of expected goals from medium danger shots
I_F_missedShots,individual_for_missedShots,Missed shots. Shots that aren't blocked but don't hit the net
I_F_neutralZoneShiftEnds,individual_for_neutralZoneShiftEnds,Number of player's shifts that end with a neutral zone faceoff for the oncoming players
I_F_neutralZoneShiftStarts,individual_for_neutralZoneShiftStarts,Number of neutral zone face-off shift starts a player had
I_F_oZoneShiftEnds,individual_for_oZoneShiftEnds,Number of player's shifts that end with an offensive zone faceoff for the oncoming players
I_F_oZoneShiftStarts,individual_for_oZoneShiftStarts,Number of offensive zone face-off shift starts a player had
I_F_penalityMinutes,individual_for_penalityMinutes,Number of penalty minutes the player has received
I_F_playContinuedInZone,individual_for_playContinuedInZone,"Number of times the play continues in the offensive zone after the player's shot besides an immediate rebound shot. This is proxied by another event happening in the zone after the shot (such as a hit, takeaway, etc) without any events outside of the zone happening inbetween and all the same players for both teams are still on the ice as they were for the original shot"
I_F_playContinuedOutsideZone,individual_for_playContinuedOutsideZone,Number of times the play goes outside the offensive zone after the player's shot. 
I_F_playStopped,individual_for_playStopped,"Number of times the play is stopped after shots for reasons other than the goalie freezing the puck, such as the puck going over the glass or a dislodged net."
I_F_points,individual_for_points,Goals + Assists
I_F_primaryAssists,individual_for_primaryAssists,Primary Assists the player has received on teammates' goals
