lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847576884792938482665,2024,Tanev-Beniers-Schwartz,SEA,line,5on5,11,2169.0,113.0,0.46,0.42,0.42,14.73,1.24,0.95,3.98,0.58,9.37,6.87,1.22,1.2,1.18,12.0,11.0,12.0,35.0,0.0,0.0,0.0,6.0,0.0,7.0,10.0,12.0,23.0,1.0,2.0,11.0,18.0,4.0,9.0,19.0,4.0,0.0,0.71,0.53,0.0,0.0,0.0,0.0,34.3,23.0,22.33,4.0,0.2,0.0,0.0,1.44,1.4,1.37,22.83,1.45,1.38,5.74,0.75,12.92,9.76,1.41,1.54,1.49,19.0,13.0,16.0,48.0,2.0,2.0,1.0,5.0,1.0,11.0,11.0,17.0,30.0,0.0,0.0,21.0,16.0,4.0,7.0,26.0,6.0,0.0,0.67,0.79,0.0,1.0,1.0,0.0,49.12,32.0,33.03,4.0,0.28,0.36,0.36,1.37,1.43,1.42
847805784788568480078,2024,Joshua-Chytil-Garland,VAN,line,5on5,7,2226.0,44.0,0.42,0.48,0.53,17.17,1.2,1.23,3.96,0.6,10.46,7.55,1.18,1.17,1.15,14.0,11.0,6.0,31.0,1.0,2.0,0.0,4.0,0.0,8.0,10.0,13.0,24.0,2.0,4.0,22.0,13.0,3.0,16.0,21.0,3.0,1.0,0.65,0.31,0.23,1.0,0.0,0.0,31.11,25.0,25.14,6.0,0.25,0.24,0.24,1.21,1.19,1.17,15.91,1.66,1.17,3.64,0.53,8.54,6.46,1.57,1.65,1.57,13.0,9.0,12.0,34.0,2.0,1.0,0.0,2.0,0.0,7.0,10.0,11.0,20.0,3.0,6.0,16.0,23.0,3.0,9.0,14.0,6.0,2.0,0.47,0.6,0.58,1.0,0.0,1.0,33.73,22.0,21.73,5.0,0.24,0.2,0.2,1.7,1.71,1.63
847798784816248484144,2024,Donato-Bedard-Mikheyev,CHI,line,5on5,21,6507.0,173.0,0.41,0.44,0.44,51.74,4.24,3.26,12.42,1.66,28.9,21.53,4.05,4.23,4.04,41.0,31.0,24.0,96.0,7.0,4.0,2.0,9.0,0.0,22.0,30.0,34.0,65.0,6.0,12.0,50.0,24.0,8.0,29.0,56.0,12.0,4.0,1.69,1.41,1.14,4.0,1.0,2.0,96.71,72.0,72.3,12.0,0.67,1.09,1.09,3.82,3.82,3.79,66.23,6.14,4.38,17.67,2.34,36.6,25.87,5.8,6.25,5.91,61.0,32.0,30.0,123.0,3.0,10.0,0.0,11.0,1.0,34.0,34.0,58.0,90.0,6.0,12.0,58.0,34.0,7.0,33.0,73.0,13.0,7.0,2.4,1.68,2.06,3.0,0.0,0.0,123.59,93.0,93.94,17.0,0.91,1.74,1.74,5.31,5.42,5.21
84815468482142,2024,York-Drysdale,PHI,pairing,5on5,44,9075.0,318.0,0.4,0.41,0.43,62.48,4.96,4.49,15.6,2.29,35.85,25.82,4.8,4.96,4.79,56.0,33.0,30.0,119.0,5.0,7.0,1.0,18.0,0.0,26.0,33.0,51.0,84.0,5.0,10.0,62.0,61.0,12.0,46.0,72.0,12.0,5.0,2.15,1.48,1.33,1.0,3.0,1.0,117.35,89.0,88.21,25.0,0.93,1.35,1.35,4.54,4.49,4.45,86.33,7.34,5.53,21.1,2.92,47.68,35.43,7.16,7.61,7.42,70.0,50.0,54.0,174.0,11.0,5.0,1.0,12.0,0.0,39.0,53.0,59.0,109.0,3.0,6.0,61.0,57.0,16.0,36.0,85.0,30.0,5.0,2.55,3.37,1.42,5.0,5.0,1.0,179.45,120.0,123.96,13.0,1.14,1.36,1.36,7.13,7.31,7.2
847168584815328482155,2024,Turcotte-Kopitar-Laferriere,LAK,line,5on5,7,988.0,75.0,0.54,0.55,0.59,9.25,0.7,0.61,2.54,0.34,5.14,3.67,0.67,0.71,0.67,7.0,6.0,4.0,17.0,0.0,3.0,0.0,2.0,0.0,2.0,6.0,7.0,13.0,0.0,0.0,6.0,6.0,0.0,3.0,10.0,3.0,0.0,0.32,0.38,0.0,0.0,0.0,0.0,16.57,13.0,12.63,2.0,0.13,0.33,0.33,0.5,0.49,0.48,6.3,0.6,0.36,1.66,0.21,3.56,2.62,0.6,0.6,0.6,7.0,2.0,5.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,6.0,8.0,0.0,0.0,5.0,12.0,4.0,0.0,8.0,0.0,1.0,0.29,0.0,0.31,0.0,0.0,1.0,14.29,9.0,9.18,0.0,0.07,0.31,0.31,0.37,0.36,0.36
847653984768738478438,2024,Novak-Jankowski-Marchessault,NSH,line,5on5,7,934.0,81.0,0.85,0.82,0.75,12.05,0.98,0.86,2.7,0.41,7.66,5.4,0.95,0.95,0.92,17.0,1.0,9.0,27.0,2.0,1.0,1.0,5.0,0.0,8.0,2.0,15.0,16.0,2.0,7.0,6.0,4.0,3.0,4.0,16.0,1.0,1.0,0.64,0.11,0.22,1.0,1.0,0.0,26.01,18.0,17.53,0.0,0.17,0.11,0.11,1.04,1.0,0.98,4.38,0.17,0.22,1.1,0.13,2.56,1.82,0.17,0.18,0.18,5.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,6.0,2.0,7.0,6.0,5.0,0.0,6.0,6.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,6.39,6.0,6.29,4.0,0.04,0.0,0.0,0.22,0.22,0.22
847693484815178482745,2024,Mcginn-Mctavish-Leason,ANA,line,5on5,3,931.0,19.0,0.32,0.32,0.37,8.05,0.38,0.45,2.13,0.26,4.34,3.44,0.37,0.38,0.37,8.0,3.0,2.0,13.0,0.0,1.0,0.0,2.0,0.0,3.0,5.0,8.0,11.0,1.0,2.0,11.0,10.0,2.0,6.0,9.0,2.0,0.0,0.13,0.25,0.0,0.0,0.0,0.0,13.03,11.0,10.99,3.0,0.09,0.14,0.14,0.34,0.34,0.33,13.77,0.81,0.88,3.88,0.44,7.68,5.31,0.8,0.82,0.8,10.0,9.0,9.0,28.0,0.0,0.0,0.0,1.0,0.0,8.0,10.0,10.0,19.0,0.0,0.0,10.0,11.0,2.0,6.0,15.0,4.0,0.0,0.46,0.35,0.0,0.0,0.0,0.0,27.95,19.0,18.93,4.0,0.18,0.0,0.0,1.0,1.0,0.98
847458684757688483524,2024,Schwartz-Wright-Eberle,SEA,line,5on5,14,3024.0,113.0,0.37,0.4,0.45,21.16,1.62,1.49,4.6,0.68,13.21,9.41,1.59,1.6,1.57,20.0,11.0,7.0,38.0,0.0,0.0,0.0,2.0,0.0,12.0,17.0,20.0,31.0,4.0,10.0,28.0,17.0,5.0,25.0,24.0,6.0,1.0,0.75,0.65,0.21,0.0,0.0,0.0,37.24,31.0,30.52,12.0,0.31,0.0,0.0,1.93,1.9,1.87,28.14,2.72,1.84,7.05,0.9,14.84,10.66,2.67,2.73,2.68,26.0,12.0,20.0,58.0,2.0,2.0,1.0,8.0,0.0,12.0,14.0,24.0,36.0,4.0,8.0,36.0,22.0,3.0,9.0,25.0,11.0,2.0,0.72,1.42,0.57,1.0,0.0,1.0,58.01,38.0,38.05,3.0,0.39,0.43,0.43,2.68,2.67,2.65
84757908478460,2024,Werenski-Gudbranson,CBJ,pairing,5on5,14,1645.0,99.0,0.68,0.57,0.6,20.75,1.93,1.25,6.03,0.73,10.59,7.49,1.85,1.96,1.88,22.0,6.0,11.0,39.0,2.0,3.0,1.0,6.0,0.0,10.0,7.0,20.0,26.0,0.0,0.0,13.0,11.0,5.0,5.0,21.0,5.0,2.0,0.52,0.73,0.67,0.0,1.0,1.0,40.16,28.0,28.62,4.0,0.26,0.83,0.83,1.35,1.37,1.32,13.85,0.89,0.83,3.71,0.48,7.65,5.45,0.87,0.89,0.87,7.0,12.0,11.0,30.0,0.0,0.0,0.0,4.0,0.0,9.0,6.0,7.0,19.0,2.0,4.0,11.0,13.0,1.0,7.0,15.0,4.0,0.0,0.36,0.53,0.0,0.0,0.0,0.0,29.77,19.0,19.47,3.0,0.17,0.0,0.0,1.06,1.06,1.04
847515184757548478115,2024,Engvall-Nelson-Palmieri,NYI,line,5on5,18,1628.0,184.0,0.25,0.29,0.29,11.17,0.87,0.64,3.23,0.4,5.75,4.12,0.85,0.81,0.8,11.0,4.0,4.0,19.0,0.0,3.0,0.0,0.0,0.0,4.0,8.0,11.0,15.0,2.0,4.0,8.0,6.0,5.0,5.0,12.0,2.0,1.0,0.27,0.32,0.28,0.0,0.0,0.0,18.01,15.0,14.15,2.0,0.13,0.33,0.5,0.5,0.47,0.47,26.44,2.65,1.76,6.7,0.87,14.28,9.75,2.57,2.68,2.61,26.0,10.0,10.0,46.0,2.0,5.0,1.0,3.0,0.0,16.0,10.0,24.0,34.0,2.0,4.0,9.0,16.0,7.0,3.0,24.0,10.0,2.0,0.52,1.5,0.62,1.0,0.0,1.0,48.91,36.0,37.27,1.0,0.37,1.14,1.14,1.87,1.91,1.9
