ABBREV,NAME,SHORT
ANA,Anaheim Ducks,Ducks
BOS,Boston Bruins,Bruins
BUF,Buffalo Sabres,Sabres
CAR,Carolina Hurricanes,Hurricanes
CBJ,Columbus Blue Jackets,Blue Jackets
CGY,Calgary Flames,Flames
CHI,Chicago Blackhawks,Blackhawks
COL,Colorado Avalanche,Avalanche
DAL,Dallas Stars,Stars
DET,Detroit Red Wings,Red Wings
EDM,Edmonton Oilers,Oilers
FLA,Florida Panthers,Panthers
LAK,Los Angeles Kings,Kings
MIN,Minnesota Wild,Wild
MTL,Montreal Canadiens,Canadiens
NJD,New Jersey Devils,Devils
NSH,Nashville Predators,Predators
NYI,New York Islanders,Islanders
NYR,New York Rangers,Rangers
OTT,Ottawa Senators,Senators
PHI,Philadelphia Flyers,Flyers
PIT,Pittsburgh Penguins,Penguins
SEA,Seattle Kraken,Kraken
SJS,San Jose Sharks,Sharks
STL,St. Louis Blues,Blues
TBL,Tampa Bay Lightning,Lightning
TOR,Toronto Maple Leafs,Maple Leafs
UTA,Utah Mammoth,Mammoth
VAN,Vancouver Canucks,Canucks
VGK,Vegas Golden Knights,Golden Knights
WPG,Winnipeg Jets,Jets
WSH,Washington Capitals,Capitals
