ABBREV,NAME,SHORT,OTHER_SHORT
ANA,Anaheim Ducks,Ducks,ana
BOS,Boston Bruins,Bruins,bos
BUF,Buffalo Sabres,Sabres,buf
CAR,Carolina Hurricanes,Hurricanes,car
CBJ,Columbus Blue Jackets,BlueJackets,clb
CGY,Calgary Flames,Flames,cal
CHI,Chicago Blackhawks,Blackhawks,chi
COL,Colorado Avalanche,Avalanche,col
DAL,Dallas Stars,Stars,dal
DET,Detroit Red Wings,RedWings,det
EDM,Edmonton Oilers,Oilers,edm
FLA,Florida Panthers,Panthers,fla
LAK,Los Angeles Kings,Kings,la
MIN,Minnesota Wild,Wild,min
MTL,Montreal Canadiens,Canadiens,mon
NJD,New Jersey Devils,Devils,nj
NSH,Nashville Predators,Predators,nsh
NYI,New York Islanders,Islanders,nyi
NYR,New York Rangers,Rangers,nyr
OTT,Ottawa Senators,Senators,otw
PHI,Philadelphia Flyers,Flyers,phi
PIT,Pittsburgh Penguins,Penguins,pit
SEA,Seattle Kraken,Kraken,sea
SJS,San Jose Sharks,Sharks,sj
STL,St. Louis Blues,Blues,stl
TBL,Tampa Bay Lightning,Lightning,tb
TOR,Toronto Maple Leafs,Leafs,tor
UTA,Utah Mammoth,Mammoth,uth
UTA,Utah Hockey Club,UHC,uth
VAN,Vancouver Canucks,Canucks,van
VGK,Vegas Golden Knights,GoldenKnights,vgk
WPG,Winnipeg Jets,Jets,win
WSH,Washington Capitals,Capitals,wsh
