Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Carlos Santana,13,46,11,19,3,8,9,10,.413,.509,.674,2025-06-04
Christian Yelich,11,49,12,21,6,15,3,10,.429,.472,.816,2025-06-04
Jeremy Pena,10,39,7,16,3,5,3,5,.410,.452,.692,2025-06-04
Lourdes Gurriel,10,38,2,15,0,5,3,6,.395,.442,.447,2025-06-04
Colt Keith,10,40,5,13,0,5,1,11,.325,.341,.500,2025-06-04
Andy Pages,9,37,5,15,3,10,3,2,.405,.450,.730,2025-06-04
Amed Rosario,9,29,4,12,1,6,1,8,.414,.469,.621,2025-06-04
Ceddanne Rafaela,8,34,6,14,4,6,0,7,.412,.412,.824,2025-06-04
Trevor Larnach,8,38,5,14,2,7,1,10,.368,.385,.579,2025-06-04
Mike Trout,8,27,3,12,1,5,3,4,.444,.500,.593,2025-06-04
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Heliot Ramos,8,34,5,12,2,6,3,8,.353,.421,.618,2025-06-04
Bo Bichette,8,32,4,10,3,8,2,4,.312,.353,.719,2025-06-04
Gabriel Moreno,7,27,4,10,0,2,1,4,.370,.393,.519,2025-06-04
Brooks Lee,7,30,3,9,0,4,0,6,.300,.323,.333,2025-06-04
Michael Busch,6,19,4,9,2,8,3,3,.474,.545,1.000,2025-06-04
Jeff McNeil,6,21,2,7,1,2,1,0,.333,.348,.571,2025-06-04
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Matt Wallner,6,20,1,7,1,3,1,5,.350,.435,.650,2025-06-02
Dylan Carlson,6,19,1,7,0,2,1,3,.368,.400,.474,2025-06-04
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Jacob Wilson,5,22,1,10,0,3,0,4,.455,.435,.545,2025-06-04
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Tyler Freeman,5,16,3,8,1,3,0,0,.500,.500,.750,2025-06-04
Julio Rodriguez,5,21,2,8,0,0,1,6,.381,.409,.381,2025-06-04
Tomas Nido,5,19,3,7,0,0,0,5,.368,.368,.368,2025-05-19
Patrick Bailey,5,17,2,6,0,1,2,5,.353,.421,.529,2025-06-04
Freddy Fermin,5,19,2,5,0,1,1,3,.263,.300,.368,2025-06-01
