Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Cody Bellinger,13,53,11,20,4,12,7,10,.377,.450,.679,2025-05-18
Ivan Herrera,9,33,8,15,1,9,2,5,.455,.500,.667,2025-05-19
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Xavier Edwards,8,32,3,10,0,1,4,7,.312,.389,.312,2025-05-14
Spencer Steer,8,28,2,9,1,1,0,6,.321,.321,.571,2025-05-19
Jake Burger,8,27,1,9,1,4,2,5,.333,.379,.519,2025-05-18
Will Benson,7,23,6,11,5,10,3,5,.478,.538,1.217,2025-05-19
Chase Meidroth,7,27,5,11,1,2,3,5,.407,.467,.593,2025-05-19
Kyle Stowers,7,26,4,10,3,4,1,9,.385,.448,.885,2025-05-19
Geraldo Perdomo,7,22,5,8,1,7,4,2,.364,.429,.682,2025-05-19
Julio Rodriguez,7,29,4,8,2,8,0,6,.276,.276,.517,2025-05-19
Josh Bell,7,26,2,7,1,1,3,7,.269,.345,.423,2025-05-18
Drake Baldwin,6,21,5,12,2,6,0,2,.571,.571,.952,2025-05-18
Jarren Duran,6,26,4,10,1,7,2,6,.385,.429,.731,2025-05-19
Jackson Holliday,6,28,3,10,2,5,0,4,.357,.379,.643,2025-05-19
Austin Hays,6,23,2,9,1,6,1,6,.391,.400,.652,2025-05-19
Corey Seager,6,27,9,9,2,6,0,3,.333,.333,.630,2025-05-10
Ozzie Albies,6,23,3,8,0,2,2,5,.348,.423,.391,2025-05-18
Luis Arraez,6,23,2,8,0,0,1,0,.348,.375,.391,2025-05-18
Liam Hicks,6,20,4,8,3,6,1,1,.400,.429,1.000,2025-05-19
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Jose Caballero,6,23,4,8,0,2,1,5,.348,.375,.522,2025-05-19
Miguel Andujar,6,24,2,8,1,4,0,4,.333,.333,.542,2025-05-17
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Ramon Laureano,5,19,4,11,1,3,1,2,.579,.619,.842,2025-05-19
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Amed Rosario,5,18,2,8,0,4,1,5,.444,.524,.500,2025-05-15
Maikel Garcia,5,18,2,8,1,3,2,5,.444,.500,.778,2025-05-19
Dansby Swanson,5,20,5,7,1,2,2,2,.350,.391,.500,2025-05-19
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07
Tomas Nido,5,19,3,7,0,0,0,5,.368,.368,.368,2025-05-19
Heliot Ramos,5,19,3,7,1,5,2,4,.368,.409,.579,2025-05-19
Agustin Ramirez,5,17,4,6,2,3,5,4,.353,.500,.824,2025-05-19
Taylor Ward,5,20,5,6,4,6,3,7,.300,.391,.950,2025-05-19
Daulton Varsho,5,21,6,6,3,6,0,5,.286,.286,.810,2025-05-18
Daniel Schneemann,5,18,2,5,1,1,1,3,.278,.316,.444,2025-05-18
