date,time,match,match2
2025-09-20,7:00 PM,St. Louis Blues,Dallas Stars
2025-09-21,1:00 PM,New York Rangers,New Jersey Devils
2025-09-21,3:00 PM,Florida Panthers,Nashville Predators
2025-09-21,3:00 PM,Toronto Maple Leafs,Ottawa Senators
2025-09-21,4:30 PM,Colorado Avalanche,Utah Mammoth
2025-09-21,5:00 PM,Minnesota Wild,Winnipeg Jets
2025-09-21,5:00 PM,St. Louis Blues,Columbus Blue Jackets
2025-09-21,5:00 PM,Washington Capitals,Boston Bruins
2025-09-21,6:00 PM,Anaheim Ducks,Los Angeles Kings
2025-09-21,7:00 PM,Florida Panthers,Nashville Predators
2025-09-21,7:00 PM,Philadelphia Flyers,New York Islanders
2025-09-21,8:00 PM,Calgary Flames,Edmonton Oilers
2025-09-21,8:00 PM,Edmonton Oilers,Calgary Flames
2025-09-21,8:00 PM,Vancouver Canucks,Seattle Kraken
2025-09-21,8:00 PM,Vegas Golden Knights,San Jose Sharks
2025-09-21,8:30 PM,Utah Mammoth,Colorado Avalanche
2025-09-22,7:00 PM,Buffalo Sabres,Columbus Blue Jackets
2025-09-22,7:00 PM,Pittsburgh Penguins,Montreal Canadiens
2025-09-22,7:00 PM,Tampa Bay Lightning,Carolina Hurricanes
2025-09-22,10:00 PM,Utah Mammoth,Anaheim Ducks
2025-09-23,7:00 PM,Boston Bruins,New York Rangers
2025-09-23,7:00 PM,Chicago Blackhawks,Detroit Red Wings
2025-09-23,7:00 PM,Columbus Blue Jackets,Buffalo Sabres
2025-09-23,7:00 PM,New York Islanders,New Jersey Devils
2025-09-23,7:00 PM,Ottawa Senators,Toronto Maple Leafs
2025-09-23,7:00 PM,Philadelphia Flyers,Montreal Canadiens
2025-09-23,8:00 PM,Minnesota Wild,Dallas Stars
2025-09-23,8:00 PM,Edmonton Oilers,Winnipeg Jets
2025-09-23,8:00 PM,Tampa Bay Lightning,Nashville Predators
2025-09-23,9:00 PM,Seattle Kraken,Calgary Flames
2025-09-23,10:00 PM,Los Angeles Kings,Vegas Golden Knights
2025-09-24,6:00 PM,Florida Panthers,Carolina Hurricanes
2025-09-24,7:00 PM,Pittsburgh Penguins,Columbus Blue Jackets
2025-09-24,9:00 PM,Seattle Kraken,Edmonton Oilers
2025-09-24,10:00 PM,Calgary Flames,Vancouver Canucks
2025-09-24,10:00 PM,Los Angeles Kings,Anaheim Ducks
2025-09-25,7:00 PM,Buffalo Sabres,Detroit Red Wings
2025-09-25,7:00 PM,New York Islanders,New York Rangers
2025-09-25,7:00 PM,Philadelphia Flyers,Washington Capitals
2025-09-25,7:00 PM,Toronto Maple Leafs,Montreal Canadiens
2025-09-25,8:00 PM,Dallas Stars,Minnesota Wild
2025-09-25,10:00 PM,Utah Mammoth,Vegas Golden Knights
2025-09-26,7:00 PM,Carolina Hurricanes,Tampa Bay Lightning
2025-09-26,7:00 PM,Detroit Red Wings,Pittsburgh Penguins
2025-09-26,7:00 PM,New Jersey Devils,New York Islanders
2025-09-26,9:00 PM,Winnipeg Jets,Edmonton Oilers
2025-09-26,10:00 PM,Seattle Kraken,Vancouver Canucks
2025-09-26,10:00 PM,Vegas Golden Knights,San Jose Sharks
2025-09-27,3:00 PM,Detroit Red Wings,Buffalo Sabres
2025-09-27,5:00 PM,Boston Bruins,Philadelphia Flyers
2025-09-27,6:00 PM,Anaheim Ducks,Los Angeles Kings
2025-09-27,7:00 PM,Chicago Blackhawks,St. Louis Blues
2025-09-27,7:00 PM,Columbus Blue Jackets,Pittsburgh Penguins
2025-09-27,7:00 PM,Dallas Stars,Colorado Avalanche
2025-09-27,7:00 PM,Montreal Canadiens,Toronto Maple Leafs
2025-09-27,7:00 PM,Nashville Predators,Tampa Bay Lightning
2025-09-27,8:00 PM,Calgary Flames,Winnipeg Jets
2025-09-28,3:00 PM,New Jersey Devils,Ottawa Senators
2025-09-28,3:00 PM,Washington Capitals,New Jersey Devils
2025-09-28,6:00 PM,Chicago Blackhawks,Minnesota Wild
2025-09-28,7:00 PM,Nashville Predators,Carolina Hurricanes
2025-09-28,8:00 PM,Vancouver Canucks,Edmonton Oilers
2025-09-29,6:00 PM,Carolina Hurricanes,Florida Panthers
2025-09-29,7:00 PM,New York Rangers,New York Islanders
2025-09-29,7:00 PM,Philadelphia Flyers,Boston Bruins
2025-09-29,7:00 PM,Pittsburgh Penguins,Detroit Red Wings
2025-09-29,10:00 PM,Calgary Flames,Seattle Kraken
2025-09-29,10:00 PM,San Jose Sharks,Anaheim Ducks
2025-09-30,7:00 PM,Florida Panthers,Tampa Bay Lightning
2025-09-30,7:00 PM,Montreal Canadiens,Ottawa Senators
2025-09-30,7:00 PM,Washington Capitals,Columbus Blue Jackets
2025-09-30,8:00 PM,Detroit Red Wings,Chicago Blackhawks
2025-09-30,8:00 PM,Vegas Golden Knights,Colorado Avalanche
2025-09-30,8:00 PM,Winnipeg Jets,Minnesota Wild
2025-09-30,8:00 PM,Dallas Stars,St. Louis Blues
2025-09-30,9:00 PM,Los Angeles Kings,Utah Mammoth
2025-10-01,7:00 PM,Pittsburgh Penguins,Buffalo Sabres
2025-10-01,9:00 PM,Colorado Avalanche,Vegas Golden Knights
2025-10-01,9:00 PM,Vancouver Canucks,Calgary Flames
2025-10-01,10:00 PM,Anaheim Ducks,San Jose Sharks
2025-10-01,10:00 PM,Edmonton Oilers,Seattle Kraken
