name,team,hrs,hrpg,fhrpg
Trea Turner,Philadelphia Phillies,7,0.12,1/7,21,0.17,1/6,
Bryce Harper,Philadelphia Phillies,9,0.16,1/6,30,0.21,1/5,
Davis Schneider,Toronto Blue Jays,1,0.08,1/7,13,0.1,1/7,
Trea Turner,Philadelphia Phillies,7,0.12,1/7,21,0.17,1/6,
Addison Barger,Toronto Blue Jays,6,0.15,1/7,7,0.1,1/7,
Christian Walker,Houston Astros,8,0.14,1/7,26,0.2,1/5,
Isaac Paredes,Houston Astros,12,0.2,1/5,19,0.12,1/7,
Hunter Goodman,Colorado Rockies,10,0.17,1/6,13,0.19,1/5,
Michael Busch,Chicago Cubs,9,0.16,1/6,21,0.14,1/7,
Jazz Chisholm Jr.,New York Yankees,8,0.26,1/4,24,0.16,1/6,
Anthony Volpe,New York Yankees,7,0.12,1/7,12,0.07,0,
Ceddanne Rafaela,Boston Red Sox,5,0.09,1/7,15,0.1,1/7,
Sal Frelick,Milwaukee Brewers,4,0.07,0,2,0.01,0,
Tyler Stephenson,Cincinnati Reds,5,0.19,1/5,19,0.14,1/7,
Will Benson,Cincinnati Reds,6,0.27,2/7,14,0.11,1/7,
Ketel Marte,Arizona Diamondbacks,10,0.29,2/7,36,0.26,1/4,
Ketel Marte,Arizona Diamondbacks,10,0.29,2/7,36,0.26,1/4,
