Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2025-10-07,3:00 PM,5:00 PM,Chicago Blackhawks,,Florida Panthers,,Scheduled
2025-10-07,6:00 PM,8:00 PM,Pittsburgh Penguins,,New York Rangers,,Scheduled
2025-10-07,8:30 PM,10:30 PM,Colorado Avalanche,,Los Angeles Kings,,Scheduled
2025-10-08,5:00 PM,7:00 PM,Montreal Canadiens,,Toronto Maple Leafs,,Scheduled
2025-10-08,5:30 PM,7:30 PM,Boston Bruins,,Washington Capitals,,Scheduled
2025-10-08,8:00 PM,10:00 PM,Calgary Flames,,Edmonton Oilers,,Scheduled
2025-10-08,8:00 PM,10:00 PM,Los Angeles Kings,,Vegas Golden Knights,,Scheduled
2025-10-09,5:00 PM,7:00 PM,Chicago Blackhawks,,Boston Bruins,,Scheduled
2025-10-09,5:00 PM,7:00 PM,New York Rangers,,Buffalo Sabres,,Scheduled
2025-10-09,5:00 PM,7:00 PM,Montreal Canadiens,,Detroit Red Wings,,Scheduled
2025-10-09,5:00 PM,7:00 PM,Ottawa Senators,,Tampa Bay Lightning,,Scheduled
2025-10-09,5:00 PM,7:00 PM,Philadelphia Flyers,,Florida Panthers,,Scheduled
2025-10-09,5:00 PM,7:00 PM,New York Islanders,,Pittsburgh Penguins,,Scheduled
2025-10-09,5:00 PM,7:00 PM,New Jersey Devils,,Carolina Hurricanes,,Scheduled
2025-10-09,6:00 PM,8:00 PM,Minnesota Wild,,St. Louis Blues,,Scheduled
2025-10-09,6:00 PM,8:00 PM,Columbus Blue Jackets,,Nashville Predators,,Scheduled
2025-10-09,6:00 PM,8:00 PM,Dallas Stars,,Winnipeg Jets,,Scheduled
2025-10-09,7:00 PM,9:00 PM,Utah Mammoth,,Colorado Avalanche,,Scheduled
2025-10-09,8:00 PM,10:00 PM,Calgary Flames,,Vancouver Canucks,,Scheduled
2025-10-09,8:00 PM,10:00 PM,Vegas Golden Knights,,San Jose Sharks,,Scheduled
2025-10-09,8:00 PM,10:00 PM,Anaheim Ducks,,Seattle Kraken,,Scheduled
2025-10-11,11:30 AM,1:30 PM,Los Angeles Kings,,Winnipeg Jets,,Scheduled
2025-10-11,2:00 PM,4:00 PM,St. Louis Blues,,Calgary Flames,,Scheduled
2025-10-11,5:00 PM,7:00 PM,Buffalo Sabres,,Boston Bruins,,Scheduled
2025-10-11,5:00 PM,7:00 PM,Toronto Maple Leafs,,Detroit Red Wings,,Scheduled
2025-10-11,5:00 PM,7:00 PM,New Jersey Devils,,Tampa Bay Lightning,,Scheduled
2025-10-11,5:00 PM,7:00 PM,Ottawa Senators,,Florida Panthers,,Scheduled
2025-10-11,5:00 PM,7:00 PM,Washington Capitals,,New York Islanders,,Scheduled
2025-10-11,5:00 PM,7:00 PM,New York Rangers,,Pittsburgh Penguins,,Scheduled
2025-10-11,5:00 PM,7:00 PM,Philadelphia Flyers,,Carolina Hurricanes,,Scheduled
2025-10-11,5:00 PM,7:00 PM,Montreal Canadiens,,Chicago Blackhawks,,Scheduled
2025-10-11,6:00 PM,8:00 PM,Utah Mammoth,,Nashville Predators,,Scheduled
2025-10-11,6:00 PM,8:00 PM,Columbus Blue Jackets,,Minnesota Wild,,Scheduled
2025-10-11,7:00 PM,9:00 PM,Dallas Stars,,Colorado Avalanche,,Scheduled
2025-10-11,8:00 PM,10:00 PM,Vancouver Canucks,,Edmonton Oilers,,Scheduled
2025-10-11,8:00 PM,10:00 PM,Anaheim Ducks,,San Jose Sharks,,Scheduled
2025-10-11,8:00 PM,10:00 PM,Vegas Golden Knights,,Seattle Kraken,,Scheduled
2025-10-12,5:00 PM,7:00 PM,Washington Capitals,,New York Rangers,,Scheduled
2025-10-13,10:30 AM,12:30 PM,Colorado Avalanche,,Buffalo Sabres,,Scheduled
2025-10-13,11:00 AM,1:00 PM,Tampa Bay Lightning,,Boston Bruins,,Scheduled
2025-10-13,11:00 AM,1:00 PM,Nashville Predators,,Ottawa Senators,,Scheduled
2025-10-13,11:00 AM,1:00 PM,Winnipeg Jets,,New York Islanders,,Scheduled
2025-10-13,2:00 PM,4:00 PM,Detroit Red Wings,,Toronto Maple Leafs,,Scheduled
2025-10-13,5:00 PM,7:00 PM,Florida Panthers,,Philadelphia Flyers,,Scheduled
2025-10-13,5:00 PM,7:00 PM,New Jersey Devils,,Columbus Blue Jackets,,Scheduled
2025-10-13,5:30 PM,7:30 PM,St. Louis Blues,,Vancouver Canucks,,Scheduled
2025-10-13,6:00 PM,8:00 PM,Los Angeles Kings,,Minnesota Wild,,Scheduled
2025-10-13,6:30 PM,8:30 PM,Utah Mammoth,,Chicago Blackhawks,,Scheduled
2025-10-14,5:00 PM,7:00 PM,Nashville Predators,,Toronto Maple Leafs,,Scheduled
2025-10-14,5:00 PM,7:00 PM,Seattle Kraken,,Montreal Canadiens,,Scheduled
2025-10-14,5:00 PM,7:00 PM,Edmonton Oilers,,New York Rangers,,Scheduled
2025-10-14,5:00 PM,7:00 PM,Tampa Bay Lightning,,Washington Capitals,,Scheduled
2025-10-14,7:00 PM,9:00 PM,Vegas Golden Knights,,Calgary Flames,,Scheduled
2025-10-14,7:30 PM,9:30 PM,Minnesota Wild,,Dallas Stars,,Scheduled
2025-10-14,8:00 PM,10:00 PM,Carolina Hurricanes,,San Jose Sharks,,Scheduled
2025-10-14,8:30 PM,10:30 PM,Pittsburgh Penguins,,Anaheim Ducks,,Scheduled
2025-10-15,5:00 PM,7:00 PM,Ottawa Senators,,Buffalo Sabres,,Scheduled
2025-10-15,5:00 PM,7:00 PM,Florida Panthers,,Detroit Red Wings,,Scheduled
2025-10-15,7:30 PM,9:30 PM,Chicago Blackhawks,,St. Louis Blues,,Scheduled
2025-10-15,7:30 PM,9:30 PM,Calgary Flames,,Utah Mammoth,,Scheduled
2025-10-16,5:00 PM,7:00 PM,New York Rangers,,Toronto Maple Leafs,,Scheduled
2025-10-16,5:00 PM,7:00 PM,Nashville Predators,,Montreal Canadiens,,Scheduled
2025-10-16,5:00 PM,7:00 PM,Seattle Kraken,,Ottawa Senators,,Scheduled
2025-10-16,5:00 PM,7:00 PM,Florida Panthers,,New Jersey Devils,,Scheduled
2025-10-16,5:00 PM,7:00 PM,Edmonton Oilers,,New York Islanders,,Scheduled
2025-10-16,5:00 PM,7:00 PM,Winnipeg Jets,,Philadelphia Flyers,,Scheduled
2025-10-16,5:00 PM,7:00 PM,Colorado Avalanche,,Columbus Blue Jackets,,Scheduled
2025-10-16,6:00 PM,8:00 PM,Vancouver Canucks,,Dallas Stars,,Scheduled
2025-10-16,8:00 PM,10:00 PM,Boston Bruins,,Vegas Golden Knights,,Scheduled
2025-10-16,8:00 PM,10:00 PM,Carolina Hurricanes,,Anaheim Ducks,,Scheduled
2025-10-16,8:00 PM,10:00 PM,Pittsburgh Penguins,,Los Angeles Kings,,Scheduled
2025-10-17,5:00 PM,7:00 PM,Tampa Bay Lightning,,Detroit Red Wings,,Scheduled
2025-10-17,5:00 PM,7:00 PM,Minnesota Wild,,Washington Capitals,,Scheduled
2025-10-17,6:30 PM,8:30 PM,Vancouver Canucks,,Chicago Blackhawks,,Scheduled
2025-10-17,7:00 PM,9:00 PM,San Jose Sharks,,Utah Mammoth,,Scheduled
2025-10-18,11:00 AM,1:00 PM,Florida Panthers,,Buffalo Sabres,,Scheduled
2025-10-18,1:00 PM,3:00 PM,New York Islanders,,Ottawa Senators,,Scheduled
2025-10-18,1:30 PM,3:30 PM,Edmonton Oilers,,New Jersey Devils,,Scheduled
2025-10-18,5:00 PM,7:00 PM,Seattle Kraken,,Toronto Maple Leafs,,Scheduled
2025-10-18,5:00 PM,7:00 PM,New York Rangers,,Montreal Canadiens,,Scheduled
2025-10-18,5:00 PM,7:00 PM,Minnesota Wild,,Philadelphia Flyers,,Scheduled
2025-10-18,5:00 PM,7:00 PM,Tampa Bay Lightning,,Columbus Blue Jackets,,Scheduled
2025-10-18,5:00 PM,7:00 PM,Dallas Stars,,St. Louis Blues,,Scheduled
2025-10-18,5:00 PM,7:00 PM,Nashville Predators,,Winnipeg Jets,,Scheduled
2025-10-18,7:00 PM,9:00 PM,Boston Bruins,,Colorado Avalanche,,Scheduled
2025-10-18,7:00 PM,9:00 PM,Carolina Hurricanes,,Los Angeles Kings,,Scheduled
2025-10-18,8:00 PM,10:00 PM,Calgary Flames,,Vegas Golden Knights,,Scheduled
2025-10-18,8:00 PM,10:00 PM,Pittsburgh Penguins,,San Jose Sharks,,Scheduled
2025-10-19,10:30 AM,12:30 PM,Vancouver Canucks,,Washington Capitals,,Scheduled
2025-10-19,1:00 PM,3:00 PM,Edmonton Oilers,,Detroit Red Wings,,Scheduled
