DATE,TIME,AWAY_ABBREV,AWAY,HOME_ABBREV,HOME
2025-10-07,5:00 PM,CHI,Chicago Blackhawks,FLA,Florida Panthers
2025-10-07,10:30 PM,COL,Colorado Avalanche,LAK,Los Angeles Kings
2025-10-07,8:00 PM,PIT,Pittsburgh Penguins,NYR,New York Rangers
2025-10-08,10:00 PM,CGY,Calgary Flames,EDM,Edmonton Oilers
2025-10-08,7:00 PM,MTL,Montreal Canadiens,TOR,Toronto Maple Leafs
2025-10-08,10:00 PM,LAK,Los Angeles Kings,VGK,Vegas Golden Knights
2025-10-08,7:30 PM,BOS,Boston Bruins,WSH,Washington Capitals
2025-10-09,7:00 PM,CHI,Chicago Blackhawks,BOS,Boston Bruins
2025-10-09,7:00 PM,NYR,New York Rangers,BUF,Buffalo Sabres
2025-10-09,7:30 PM,NJD,New Jersey Devils,CAR,Carolina Hurricanes
2025-10-09,9:00 PM,UTA,Utah Mammoth,COL,Colorado Avalanche
2025-10-09,7:00 PM,MTL,Montreal Canadiens,DET,Detroit Red Wings
2025-10-09,7:00 PM,PHI,Philadelphia Flyers,FLA,Florida Panthers
2025-10-09,8:00 PM,CBJ,Columbus Blue Jackets,NSH,Nashville Predators
2025-10-09,7:00 PM,NYI,New York Islanders,PIT,Pittsburgh Penguins
2025-10-09,10:00 PM,ANA,Anaheim Ducks,SEA,Seattle Kraken
2025-10-09,10:00 PM,VGK,Vegas Golden Knights,SJS,San Jose Sharks
2025-10-09,8:00 PM,MIN,Minnesota Wild,STL,St. Louis Blues
2025-10-09,7:00 PM,OTT,Ottawa Senators,TBL,Tampa Bay Lightning
2025-10-09,10:00 PM,CGY,Calgary Flames,VAN,Vancouver Canucks
2025-10-09,8:00 PM,DAL,Dallas Stars,WPG,Winnipeg Jets
2025-10-11,7:00 PM,BUF,Buffalo Sabres,BOS,Boston Bruins
2025-10-11,7:00 PM,PHI,Philadelphia Flyers,CAR,Carolina Hurricanes
2025-10-11,4:00 PM,STL,St. Louis Blues,CGY,Calgary Flames
2025-10-11,7:00 PM,MTL,Montreal Canadiens,CHI,Chicago Blackhawks
2025-10-11,9:00 PM,DAL,Dallas Stars,COL,Colorado Avalanche
2025-10-11,7:00 PM,TOR,Toronto Maple Leafs,DET,Detroit Red Wings
2025-10-11,10:00 PM,VAN,Vancouver Canucks,EDM,Edmonton Oilers
2025-10-11,7:00 PM,OTT,Ottawa Senators,FLA,Florida Panthers
2025-10-11,8:00 PM,CBJ,Columbus Blue Jackets,MIN,Minnesota Wild
2025-10-11,8:00 PM,UTA,Utah Mammoth,NSH,Nashville Predators
2025-10-11,7:00 PM,WSH,Washington Capitals,NYI,New York Islanders
2025-10-11,7:00 PM,NYR,New York Rangers,PIT,Pittsburgh Penguins
2025-10-11,10:00 PM,VGK,Vegas Golden Knights,SEA,Seattle Kraken
2025-10-11,10:00 PM,ANA,Anaheim Ducks,SJS,San Jose Sharks
2025-10-11,7:00 PM,NJD,New Jersey Devils,TBL,Tampa Bay Lightning
2025-10-11,1:30 PM,LAK,Los Angeles Kings,WPG,Winnipeg Jets
2025-10-12,7:00 PM,WSH,Washington Capitals,NYR,New York Rangers
2025-10-13,1:00 PM,TBL,Tampa Bay Lightning,BOS,Boston Bruins
2025-10-13,12:30 PM,COL,Colorado Avalanche,BUF,Buffalo Sabres
2025-10-13,7:00 PM,NJD,New Jersey Devils,CBJ,Columbus Blue Jackets
2025-10-13,8:30 PM,UTA,Utah Mammoth,CHI,Chicago Blackhawks
2025-10-13,8:00 PM,LAK,Los Angeles Kings,MIN,Minnesota Wild
2025-10-13,1:00 PM,WPG,Winnipeg Jets,NYI,New York Islanders
2025-10-13,1:00 PM,NSH,Nashville Predators,OTT,Ottawa Senators
2025-10-13,7:00 PM,FLA,Florida Panthers,PHI,Philadelphia Flyers
2025-10-13,4:00 PM,DET,Detroit Red Wings,TOR,Toronto Maple Leafs
2025-10-13,7:30 PM,STL,St. Louis Blues,VAN,Vancouver Canucks
2025-10-14,10:30 PM,PIT,Pittsburgh Penguins,ANA,Anaheim Ducks
2025-10-14,9:00 PM,VGK,Vegas Golden Knights,CGY,Calgary Flames
2025-10-14,9:30 PM,MIN,Minnesota Wild,DAL,Dallas Stars
2025-10-14,7:00 PM,SEA,Seattle Kraken,MTL,Montreal Canadiens
2025-10-14,7:00 PM,EDM,Edmonton Oilers,NYR,New York Rangers
2025-10-14,10:00 PM,CAR,Carolina Hurricanes,SJS,San Jose Sharks
2025-10-14,7:00 PM,NSH,Nashville Predators,TOR,Toronto Maple Leafs
2025-10-14,7:00 PM,TBL,Tampa Bay Lightning,WSH,Washington Capitals
2025-10-15,7:00 PM,OTT,Ottawa Senators,BUF,Buffalo Sabres
2025-10-15,7:00 PM,FLA,Florida Panthers,DET,Detroit Red Wings
2025-10-15,9:30 PM,CHI,Chicago Blackhawks,STL,St. Louis Blues
2025-10-15,9:30 PM,CGY,Calgary Flames,UTA,Utah Mammoth
2025-10-16,10:00 PM,CAR,Carolina Hurricanes,ANA,Anaheim Ducks
2025-10-16,7:00 PM,COL,Colorado Avalanche,CBJ,Columbus Blue Jackets
2025-10-16,8:00 PM,VAN,Vancouver Canucks,DAL,Dallas Stars
2025-10-16,10:00 PM,PIT,Pittsburgh Penguins,LAK,Los Angeles Kings
2025-10-16,7:00 PM,NSH,Nashville Predators,MTL,Montreal Canadiens
2025-10-16,7:00 PM,FLA,Florida Panthers,NJD,New Jersey Devils
2025-10-16,7:30 PM,EDM,Edmonton Oilers,NYI,New York Islanders
2025-10-16,7:00 PM,SEA,Seattle Kraken,OTT,Ottawa Senators
2025-10-16,7:00 PM,WPG,Winnipeg Jets,PHI,Philadelphia Flyers
2025-10-16,7:00 PM,NYR,New York Rangers,TOR,Toronto Maple Leafs
2025-10-16,10:00 PM,BOS,Boston Bruins,VGK,Vegas Golden Knights
2025-10-17,8:30 PM,VAN,Vancouver Canucks,CHI,Chicago Blackhawks
2025-10-17,7:00 PM,TBL,Tampa Bay Lightning,DET,Detroit Red Wings
2025-10-17,9:00 PM,SJS,San Jose Sharks,UTA,Utah Mammoth
2025-10-17,7:00 PM,MIN,Minnesota Wild,WSH,Washington Capitals
2025-10-18,1:00 PM,FLA,Florida Panthers,BUF,Buffalo Sabres
2025-10-18,7:00 PM,TBL,Tampa Bay Lightning,CBJ,Columbus Blue Jackets
2025-10-18,9:00 PM,BOS,Boston Bruins,COL,Colorado Avalanche
2025-10-18,9:00 PM,CAR,Carolina Hurricanes,LAK,Los Angeles Kings
2025-10-18,7:00 PM,NYR,New York Rangers,MTL,Montreal Canadiens
2025-10-18,3:30 PM,EDM,Edmonton Oilers,NJD,New Jersey Devils
2025-10-18,3:00 PM,NYI,New York Islanders,OTT,Ottawa Senators
2025-10-18,7:00 PM,MIN,Minnesota Wild,PHI,Philadelphia Flyers
2025-10-18,10:00 PM,PIT,Pittsburgh Penguins,SJS,San Jose Sharks
2025-10-18,7:00 PM,DAL,Dallas Stars,STL,St. Louis Blues
2025-10-18,7:00 PM,SEA,Seattle Kraken,TOR,Toronto Maple Leafs
2025-10-18,10:00 PM,CGY,Calgary Flames,VGK,Vegas Golden Knights
2025-10-18,7:00 PM,NSH,Nashville Predators,WPG,Winnipeg Jets
2025-10-19,7:00 PM,ANA,Anaheim Ducks,CHI,Chicago Blackhawks
2025-10-19,3:00 PM,EDM,Edmonton Oilers,DET,Detroit Red Wings
2025-10-19,7:00 PM,BOS,Boston Bruins,UTA,Utah Mammoth
2025-10-19,12:30 PM,VAN,Vancouver Canucks,WSH,Washington Capitals
2025-10-20,9:30 PM,WPG,Winnipeg Jets,CGY,Calgary Flames
2025-10-20,7:30 PM,BUF,Buffalo Sabres,MTL,Montreal Canadiens
2025-10-20,7:00 PM,MIN,Minnesota Wild,NYR,New York Rangers
2025-10-20,7:00 PM,SEA,Seattle Kraken,PHI,Philadelphia Flyers
2025-10-20,10:00 PM,CAR,Carolina Hurricanes,VGK,Vegas Golden Knights
2025-10-21,7:30 PM,FLA,Florida Panthers,BOS,Boston Bruins
2025-10-21,8:00 PM,CBJ,Columbus Blue Jackets,DAL,Dallas Stars
2025-10-21,8:00 PM,ANA,Anaheim Ducks,NSH,Nashville Predators
2025-10-21,7:00 PM,SJS,San Jose Sharks,NYI,New York Islanders
2025-10-21,7:00 PM,EDM,Edmonton Oilers,OTT,Ottawa Senators
