Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Christian Yelich,12,52,12,22,6,15,4,12,.423,.474,.788,2025-06-06
Jeremy Pena,12,49,10,22,3,6,3,6,.449,.481,.714,2025-06-06
Andy Pages,11,45,6,18,3,10,3,2,.400,.438,.667,2025-06-06
Colt Keith,11,43,5,14,0,5,2,11,.326,.356,.488,2025-06-06
Bo Bichette,10,40,5,13,4,12,2,6,.325,.357,.725,2025-06-06
Brooks Lee,9,38,4,11,0,5,0,9,.289,.308,.316,2025-06-06
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Jacob Wilson,7,31,5,16,1,6,1,4,.516,.515,.677,2025-06-06
Vinnie Pasquantino,7,27,3,11,1,7,3,3,.407,.484,.556,2025-06-06
Michael Busch,7,23,4,10,2,8,4,3,.435,.519,.870,2025-06-06
Willson Contreras,7,26,5,9,1,8,2,6,.346,.414,.615,2025-06-06
Ty France,6,25,4,10,0,3,0,4,.400,.423,.480,2025-06-06
Jose Ramirez,6,24,4,10,2,2,2,4,.417,.462,.708,2025-06-06
Tyler Freeman,6,18,3,9,1,3,1,0,.500,.526,.778,2025-06-06
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Javier Baez,6,24,2,7,0,1,0,4,.292,.292,.292,2025-06-06
Freddy Fermin,6,22,3,7,1,2,2,3,.318,.375,.545,2025-06-05
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Lawrence Butler,5,19,9,9,1,4,5,7,.474,.583,.842,2025-06-06
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Ketel Marte,5,17,7,8,4,8,5,2,.471,.591,1.176,2025-06-06
Zach Neto,5,22,5,7,1,4,1,4,.318,.348,.591,2025-06-06
Bobby Witt Jr.,5,20,4,7,1,4,3,7,.350,.435,.550,2025-06-06
Tomas Nido,5,19,3,7,0,0,0,5,.368,.368,.368,2025-05-19
Cody Bellinger,5,21,2,6,1,3,1,2,.286,.348,.524,2025-06-06
Matt Chapman,5,20,2,6,1,2,1,5,.300,.333,.550,2025-06-06
Rafael Devers,5,19,5,5,1,4,5,3,.263,.417,.526,2025-06-06
