Name,Team,Hrs,Hits,RBI,HRpg,fHRpg,Hpg,fHpg,RBIpg,fRBIpg,HR24,HR24pg,fHR24pg
Juan Soto,New York Mets,19,74,45,0.235,1/4,0.914,6/7,0.556,4/7,41,0.26,1/4
Pete Alonso,New York Mets,18,90,65,0.22,1/5,1.098,8/7,0.793,4/5,34,0.21,1/5
Francisco Lindor,New York Mets,16,85,43,0.2,1/5,1.062,1,0.537,4/7,33,0.22,1/5
Brandon Nimmo,New York Mets,15,73,42,0.192,1/5,0.936,1,0.538,4/7,23,0.15,1/7
Brett Baty,New York Mets,8,41,27,0.133,1/7,0.683,2/3,0.45,3/7,4,0.08,1/7
Jeff McNeil,New York Mets,8,40,26,0.16,1/6,0.8,4/5,0.52,1/2,12,0.09,1/7
Mark Vientos,New York Mets,6,43,21,0.113,1/7,0.811,4/5,0.396,2/5,27,0.24,1/4
Starling Marte,New York Mets,4,36,19,0.075,1/7,0.679,2/3,0.358,1/3,7,0.07,0
Francisco Alvarez,New York Mets,3,29,11,0.086,1/7,0.829,5/6,0.314,1/3,11,0.11,1/7
Ronny Mauricio,New York Mets,3,14,5,0.167,1/6,0.778,4/5,0.278,2/7,0,0,0
Jared Young,New York Mets,3,7,4,0.167,1/6,0.389,2/5,0.222,1/5,0,0,0
Oneil Cruz,Pittsburgh Pirates,13,54,31,0.181,1/6,0.75,3/4,0.431,3/7,21,0.14,1/7
Andrew McCutchen,Pittsburgh Pirates,8,65,28,0.113,1/7,0.915,6/7,0.394,2/5,20,0.17,1/6
Bryan Reynolds,Pittsburgh Pirates,8,69,39,0.105,1/7,0.908,6/7,0.513,1/2,24,0.15,1/7
Henry Davis,Pittsburgh Pirates,4,19,11,0.111,1/7,0.528,1/2,0.306,1/3,1,0.03,0
Alexander Canario,Pittsburgh Pirates,3,30,10,0.064,0,0.638,2/3,0.213,1/5,1,0.07,0
Adam Frazier,Pittsburgh Pirates,3,55,20,0.043,0,0.786,4/5,0.286,2/7,4,0.04,0
Nick Gonzales,Pittsburgh Pirates,3,25,10,0.143,1/7,1.19,6/5,0.476,1/2,7,0.07,0
Jared Triolo,Pittsburgh Pirates,3,21,9,0.061,0,0.429,3/7,0.184,1/6,9,0.07,0
Matt Gorski,Pittsburgh Pirates,2,8,4,0.133,1/7,0.533,1/2,0.267,2/7,0,0,0
Ke'Bryan Hayes,Pittsburgh Pirates,2,63,22,0.027,0,0.851,6/7,0.297,2/7,4,0.04,0
Enmanuel Valdez,Pittsburgh Pirates,2,19,12,0.065,0,0.613,3/5,0.387,2/5,6,0.08,1/7
Junior Caminero,Tampa Bay Rays,20,77,51,0.263,1/4,1.013,1,0.671,2/3,6,0.14,1/7
Brandon Lowe,Tampa Bay Rays,16,77,43,0.213,1/5,1.027,1,0.573,4/7,21,0.2,1/5
Yandy Díaz,Tampa Bay Rays,12,87,44,0.16,1/6,1.16,7/6,0.587,3/5,14,0.1,1/7
