2026-07-29 12:10 PM EDT - Philadelphia Phillies (2) @ Miami Marlins (0)      (End of the 3rd)
2026-07-29 12:35 PM EDT - Arizona Diamondbacks (0)  @ Pittsburgh Pirates (0) (Bottom of the 2nd)
2026-07-29 01:05 PM EDT - Toronto Blue Jays         @ Washington Nationals   (Warmup)
2026-07-29 01:10 PM EDT - Baltimore Orioles         @ Detroit Tigers         (Warmup)
2026-07-29 01:10 PM EDT - Atlanta Braves            @ New York Mets          (Warmup)
2026-07-29 07:10 PM EDT - Atlanta Braves            @ New York Mets          (Scheduled)
2026-07-29 06:40 PM EDT - Texas Rangers             @ Tampa Bay Rays         (Scheduled)
2026-07-29 07:10 PM EDT - Cleveland Guardians       @ Cincinnati Reds        (Scheduled)
2026-07-29 07:40 PM EDT - Kansas City Royals        @ Minnesota Twins        (Scheduled)
2026-07-29 07:40 PM EDT - New York Yankees          @ Chicago White Sox      (Scheduled)
2026-07-29 07:45 PM EDT - Chicago Cubs              @ St. Louis Cardinals    (Scheduled)
2026-07-29 09:38 PM EDT - Houston Astros            @ Los Angeles Angels     (Scheduled)
2026-07-29 09:40 PM EDT - Boston Red Sox            @ Athletics              (Scheduled)
2026-07-29 10:10 PM EDT - Seattle Mariners          @ Los Angeles Dodgers    (Scheduled)
