team_name,2024_w,2024_l,2024_avg,2023_w,2023_l,2023_avg,2022_w,2022_l,2022_avg,2021_w,2024_l,2021_avg,2020_w,2020_l,2020_avg
Arizona Diamondbacks,89,73,0.549,84,78,0.519,74,88,0.457,52,110,0.321,25,35,0.417
Atlanta Braves,89,73,0.549,104,58,0.642,101,61,0.623,88,73,0.547,35,25,0.583
Baltimore Orioles,91,71,0.562,101,61,0.623,83,79,0.512,52,110,0.321,25,35,0.417
Boston Red Sox,81,81,0.5,78,84,0.481,78,84,0.481,92,70,0.568,24,36,0.4
Chicago Cubs,83,79,0.512,83,79,0.512,74,88,0.457,71,91,0.438,34,26,0.567
Chicago White Sox,41,121,0.253,61,101,0.377,81,81,0.5,93,69,0.574,35,25,0.583
Cincinnati Reds,77,85,0.475,82,80,0.506,62,100,0.383,83,79,0.512,31,29,0.517
Cleveland Guardians,92,69,0.571,76,86,0.469,92,70,0.568,80,82,0.494,35,25,0.583
Colorado Rockies,61,101,0.377,59,103,0.364,68,94,0.42,74,87,0.46,26,34,0.433
Detroit Tigers,86,76,0.531,78,84,0.481,66,96,0.407,77,85,0.475,23,35,0.397
Houston Astros,88,73,0.547,90,72,0.556,106,56,0.654,95,67,0.586,29,31,0.483
Kansas City Royals,86,76,0.531,56,106,0.346,65,97,0.401,74,88,0.457,26,34,0.433
Los Angeles Angels,63,99,0.389,73,89,0.451,73,89,0.451,77,85,0.475,26,34,0.433
Los Angeles Dodgers,98,64,0.605,100,62,0.617,111,51,0.685,106,56,0.654,43,17,0.717
Miami Marlins,62,100,0.383,84,78,0.519,69,93,0.426,67,95,0.414,31,29,0.517
Milwaukee Brewers,93,69,0.574,92,70,0.568,86,76,0.531,95,67,0.586,29,31,0.483
Minnesota Twins,82,80,0.506,87,75,0.537,78,84,0.481,73,89,0.451,36,24,0.6
New York Mets,89,73,0.549,75,87,0.463,101,61,0.623,77,85,0.475,26,34,0.433
New York Yankees,94,68,0.58,82,80,0.506,99,63,0.611,92,70,0.568,33,27,0.55
Oakland Athletics,69,93,0.426,50,112,0.309,60,102,0.37,86,76,0.531,36,24,0.6
Philadelphia Phillies,95,67,0.586,90,72,0.556,87,75,0.537,82,80,0.506,28,32,0.467
Pittsburgh Pirates,76,86,0.469,76,86,0.469,62,100,0.383,61,101,0.377,19,41,0.317
San Diego Padres,93,69,0.574,82,80,0.506,89,73,0.549,79,83,0.488,37,23,0.617
San Francisco Giants,80,82,0.494,79,83,0.488,81,81,0.5,107,55,0.66,29,31,0.483
Seattle Mariners,85,77,0.525,88,74,0.543,90,72,0.556,90,72,0.556,27,33,0.45
St. Louis Cardinals,83,79,0.512,71,91,0.438,93,69,0.574,90,72,0.556,30,28,0.517
Tampa Bay Rays,80,82,0.494,99,63,0.611,86,76,0.531,100,62,0.617,40,20,0.667
Texas Rangers,78,84,0.481,90,72,0.556,68,94,0.42,60,102,0.37,22,38,0.367
Toronto Blue Jays,74,88,0.457,89,73,0.549,92,70,0.568,91,71,0.562,32,28,0.533
Washington Nationals,71,91,0.438,71,91,0.438,55,107,0.34,65,97,0.401,26,34,0.433
