lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
848085584826998483431,2024,Mcbain-Cooley-Guenther,UTA,line,5on5,8,3417.0,30.0,0.45,0.49,0.48,33.08,1.98,1.83,9.07,1.1,17.53,13.48,1.95,1.99,1.97,25.0,20.0,21.0,66.0,3.0,2.0,0.0,4.0,0.0,16.0,20.0,22.0,42.0,9.0,24.0,28.0,19.0,4.0,20.0,37.0,7.0,1.0,0.94,0.76,0.28,1.0,2.0,0.0,66.07,45.0,45.26,11.0,0.38,0.32,0.32,2.04,2.05,2.03,34.44,2.46,2.21,9.32,1.25,18.92,13.83,2.41,2.53,2.48,29.0,19.0,20.0,68.0,3.0,5.0,0.0,9.0,0.0,17.0,14.0,26.0,45.0,7.0,20.0,29.0,50.0,6.0,16.0,36.0,11.0,1.0,0.87,1.26,0.32,1.0,2.0,0.0,69.65,48.0,48.92,7.0,0.46,0.67,0.67,2.24,2.27,2.23
84817088482073,2024,Jones-Schneider,NYR,pairing,5on5,4,873.0,23.0,0.6,0.42,0.42,8.33,0.81,0.63,1.98,0.24,4.31,3.03,0.78,0.8,0.77,8.0,3.0,3.0,14.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,7.0,10.0,0.0,0.0,2.0,8.0,1.0,2.0,7.0,3.0,1.0,0.29,0.31,0.21,0.0,1.0,0.0,14.12,11.0,11.12,2.0,0.13,0.12,0.12,0.82,0.81,0.81,10.94,0.55,0.63,3.28,0.36,5.86,4.32,0.54,0.57,0.56,9.0,6.0,4.0,19.0,0.0,1.0,0.0,4.0,0.0,5.0,5.0,9.0,15.0,0.0,0.0,4.0,10.0,1.0,5.0,14.0,0.0,1.0,0.32,0.0,0.23,0.0,0.0,0.0,19.38,15.0,15.19,3.0,0.13,0.23,0.23,0.44,0.46,0.46
847843984800288484387,2024,Konecny-Frost-Michkov,PHI,line,5on5,5,864.0,27.0,0.55,0.62,0.61,10.32,0.81,0.71,2.79,0.37,5.17,4.16,0.8,0.84,0.83,8.0,6.0,7.0,21.0,0.0,1.0,0.0,2.0,0.0,6.0,5.0,8.0,14.0,2.0,4.0,10.0,0.0,0.0,5.0,11.0,2.0,1.0,0.31,0.2,0.3,0.0,0.0,0.0,20.9,14.0,14.13,3.0,0.15,0.3,0.3,0.66,0.68,0.68,6.81,0.67,0.45,1.59,0.21,3.57,2.51,0.67,0.67,0.66,6.0,3.0,4.0,13.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,4.0,7.0,4.0,8.0,4.0,13.0,4.0,8.0,5.0,4.0,0.0,0.15,0.52,0.0,0.0,2.0,0.0,13.35,9.0,9.22,4.0,0.09,0.19,0.19,0.57,0.57,0.57
84775078479369,2024,Zadorov-Peeke,BOS,pairing,5on5,10,4669.0,31.0,0.52,0.51,0.49,36.86,3.77,2.76,9.64,1.19,18.27,12.36,3.36,3.7,3.31,30.0,18.0,24.0,72.0,2.0,9.0,1.0,4.0,0.0,11.0,22.0,28.0,46.0,11.0,28.0,38.0,55.0,10.0,18.0,35.0,8.0,5.0,1.04,0.96,1.77,0.0,2.0,0.0,69.89,48.0,47.57,10.0,0.58,2.15,2.15,2.2,2.22,2.15,36.05,3.52,2.27,8.91,1.15,19.46,13.7,3.43,3.57,3.47,34.0,15.0,20.0,69.0,3.0,4.0,1.0,12.0,0.0,10.0,20.0,31.0,46.0,10.0,26.0,33.0,30.0,7.0,15.0,36.0,9.0,4.0,0.84,1.33,1.35,1.0,1.0,1.0,72.62,49.0,50.16,11.0,0.48,1.29,1.29,2.71,2.74,2.71
848165584821258482153,2024,Brisson-Schwindt-Holtz,VGK,line,5on5,4,1785.0,16.0,0.54,0.38,0.4,13.76,1.6,0.82,3.78,0.49,7.19,5.12,1.44,1.67,1.5,12.0,7.0,6.0,25.0,2.0,4.0,0.0,3.0,0.0,3.0,7.0,10.0,17.0,1.0,2.0,19.0,14.0,2.0,10.0,12.0,5.0,2.0,0.34,0.63,0.63,1.0,1.0,0.0,26.63,19.0,19.8,6.0,0.17,0.92,0.92,0.85,0.88,0.87,20.62,1.35,1.23,6.08,0.73,11.59,8.03,1.25,1.31,1.22,20.0,9.0,11.0,40.0,1.0,2.0,0.0,4.0,0.0,12.0,10.0,19.0,28.0,2.0,4.0,11.0,18.0,3.0,12.0,25.0,2.0,2.0,0.65,0.22,0.47,1.0,0.0,0.0,38.59,29.0,28.82,3.0,0.26,0.34,0.34,1.26,1.25,1.22
84768698478851,2024,Skjei-Carrier,NSH,pairing,5on5,10,1883.0,60.0,0.4,0.41,0.49,15.02,1.52,1.0,3.58,0.45,7.87,5.59,1.5,1.49,1.47,15.0,5.0,2.0,22.0,2.0,2.0,1.0,2.0,0.0,4.0,10.0,13.0,18.0,0.0,0.0,17.0,4.0,3.0,7.0,16.0,1.0,3.0,0.53,0.09,0.9,1.0,0.0,1.0,21.07,20.0,19.25,4.0,0.21,0.67,0.67,1.05,1.03,1.02,16.66,2.31,1.18,3.77,0.55,7.43,5.76,2.06,2.45,2.19,18.0,3.0,11.0,32.0,4.0,4.0,0.0,3.0,0.0,4.0,6.0,14.0,17.0,3.0,6.0,8.0,10.0,4.0,6.0,11.0,5.0,5.0,0.33,0.74,1.24,1.0,1.0,2.0,34.85,21.0,22.61,1.0,0.25,0.92,0.92,1.65,1.76,1.67
84773698478454,2024,Soucy-Juulsen,VAN,pairing,5on5,3,729.0,15.0,0.1,0.36,0.35,3.97,0.09,0.2,1.07,0.13,2.64,1.86,0.09,0.09,0.08,2.0,4.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,6.0,0.0,0.0,7.0,13.0,1.0,2.0,6.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,8.44,6.0,5.78,2.0,0.04,0.0,0.0,0.13,0.13,0.12,8.02,0.82,0.38,2.06,0.28,4.06,3.39,0.79,0.89,0.85,6.0,5.0,5.0,16.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,5.0,10.0,0.0,0.0,8.0,5.0,3.0,0.0,7.0,3.0,1.0,0.11,0.33,0.38,1.0,0.0,0.0,17.43,11.0,11.92,0.0,0.08,0.38,0.38,0.52,0.57,0.57
84706138476958,2024,Slavin-Burns,CAR,pairing,5on5,9,7884.0,15.0,0.61,0.6,0.61,96.75,10.07,6.5,26.35,3.33,49.07,34.69,9.62,10.62,10.15,88.0,42.0,49.0,179.0,9.0,14.0,1.0,20.0,1.0,43.0,43.0,79.0,121.0,8.0,16.0,76.0,40.0,20.0,44.0,88.0,27.0,15.0,2.72,3.36,3.99,2.0,4.0,3.0,189.55,130.0,137.26,27.0,1.39,2.71,2.71,8.74,9.17,8.97,61.81,6.48,4.37,14.14,1.94,32.64,23.45,6.08,6.33,5.93,63.0,20.0,34.0,117.0,9.0,8.0,0.0,8.0,1.0,26.0,31.0,54.0,74.0,10.0,22.0,65.0,50.0,14.0,44.0,55.0,17.0,11.0,1.48,2.08,2.92,3.0,4.0,2.0,113.64,83.0,80.83,11.0,0.91,1.9,1.9,5.49,5.36,5.23
84716778480887,2024,Johnson-Harris,CBJ,pairing,5on5,6,3561.0,19.0,0.27,0.31,0.31,12.43,0.87,0.72,2.97,0.38,6.73,5.32,0.86,0.87,0.86,13.0,4.0,6.0,23.0,2.0,1.0,1.0,3.0,0.0,4.0,7.0,11.0,15.0,2.0,4.0,21.0,22.0,4.0,18.0,15.0,1.0,1.0,0.45,0.1,0.32,1.0,0.0,1.0,23.33,17.0,17.04,9.0,0.15,0.32,0.32,0.7,0.69,0.69,27.45,2.4,1.51,6.4,0.88,14.52,11.29,2.35,2.45,2.4,23.0,14.0,15.0,52.0,2.0,1.0,0.0,5.0,0.0,10.0,19.0,21.0,35.0,1.0,2.0,16.0,24.0,4.0,22.0,26.0,9.0,2.0,0.65,0.98,0.76,2.0,0.0,0.0,51.33,37.0,37.28,10.0,0.31,0.49,0.49,2.22,2.29,2.29
84794108480434,2024,Sergachev-Durzi,UTA,pairing,5on5,4,2794.0,7.0,0.58,0.55,0.57,32.27,3.37,2.11,7.69,1.09,18.28,12.46,3.27,3.49,3.39,24.0,21.0,12.0,57.0,4.0,3.0,0.0,4.0,0.0,18.0,16.0,20.0,41.0,3.0,9.0,28.0,7.0,7.0,19.0,28.0,14.0,3.0,0.78,1.81,0.78,1.0,3.0,0.0,60.45,45.0,47.43,10.0,0.44,0.6,0.6,3.21,3.34,3.26,24.98,2.41,1.67,6.37,0.92,13.07,9.57,2.35,2.3,2.25,19.0,15.0,13.0,47.0,4.0,2.0,1.0,3.0,0.0,17.0,8.0,15.0,30.0,2.0,7.0,28.0,17.0,3.0,9.0,23.0,7.0,4.0,0.6,0.73,1.08,1.0,2.0,1.0,44.75,34.0,32.43,4.0,0.35,0.5,0.5,2.25,2.16,2.14
