Shohei Ohtani
Vladimir Guerrero Jr.
Rob Refsnyder
Brendan Donovan
Agustín Ramírez
Tyler Stephenson
Gavin Sheets
Christian Yelich
Ramón Laureano
Kerry Carpenter
Josh Smith
Austin Slater
Trevor Larnach
Jahmai Jones
Yandy Díaz
Kyle Tucker
Josh Bell
Kyle Schwarber
Mike Trout
Salvador Perez
Starling Marte
David Fry
Jeremy Peña
Andrew McCutchen
Ryan Noda
Pavin Smith
Rafael Devers
Brent Rooker
Giancarlo Stanton
Marcell Ozuna
Tyler Freeman
Liam Hicks
Paul Goldschmidt
Cal Raleigh
