player,team
Brent Rooker,Athletics
Gio Urshela,Athletics
Grant Holman,Athletics
Gunnar Hoglund,Athletics
Hogan Harris,Athletics
JJ Bleday,Athletics
JP Sears,Athletics
Jacob Wilson,Athletics
Jeffrey Springs,Athletics
Jhonny Pereda,Athletics
Justin Sterner,Athletics
Lawrence Butler,Athletics
Luis Severino,Athletics
Luis Urías,Athletics
Mason Miller,Athletics
Max Schuemann,Athletics
Miguel Andujar,Athletics
Mitch Spence,Athletics
Nick Kurtz,Athletics
Noah Murdock,Athletics
Osvaldo Bido,Athletics
Seth Brown,Athletics
Shea Langeliers,Athletics
T.J. McFarland,Athletics
Tyler Ferguson,Athletics
Tyler Soderstrom,Athletics
Adam Frazier,Pittsburgh Pirates
Alexander Canario,Pittsburgh Pirates
Andrew Heaney,Pittsburgh Pirates
Andrew McCutchen,Pittsburgh Pirates
Bailey Falter,Pittsburgh Pirates
Bryan Reynolds,Pittsburgh Pirates
Caleb Ferguson,Pittsburgh Pirates
Carmen Mlodzinski,Pittsburgh Pirates
Chase Shugart,Pittsburgh Pirates
Colin Holderman,Pittsburgh Pirates
David Bednar,Pittsburgh Pirates
Dennis Santana,Pittsburgh Pirates
Enmanuel Valdez,Pittsburgh Pirates
Henry Davis,Pittsburgh Pirates
Jared Triolo,Pittsburgh Pirates
Joey Bart,Pittsburgh Pirates
Joey Wentz,Pittsburgh Pirates
Ke'Bryan Hayes,Pittsburgh Pirates
Liover Peguero,Pittsburgh Pirates
Matt Gorski,Pittsburgh Pirates
Mitch Keller,Pittsburgh Pirates
Oneil Cruz,Pittsburgh Pirates
Paul Skenes,Pittsburgh Pirates
Ryan Borucki,Pittsburgh Pirates
Tanner Rainey,Pittsburgh Pirates
Tommy Pham,Pittsburgh Pirates
Adrian Morejon,San Diego Padres
Alek Jacob,San Diego Padres
Brandon Lockridge,San Diego Padres
Dylan Cease,San Diego Padres
Elias Díaz,San Diego Padres
Tatis Jr.,San Diego Padres
Gavin Sheets,San Diego Padres
Jason Adam,San Diego Padres
Jason Heyward,San Diego Padres
Jeremiah Estrada,San Diego Padres
Jose Iglesias,San Diego Padres
Luis Arraez,San Diego Padres
Luis Campusano,San Diego Padres
Manny Machado,San Diego Padres
Martín Maldonado,San Diego Padres
Michael King,San Diego Padres
Nick Pivetta,San Diego Padres
Oscar Gonzalez,San Diego Padres
Randy Vásquez,San Diego Padres
Robert Suarez,San Diego Padres
Ryan Bergert,San Diego Padres
Stephen Kolek,San Diego Padres
Tyler Wade,San Diego Padres
Wandy Peralta,San Diego Padres
Xander Bogaerts,San Diego Padres
Yuki Matsui,San Diego Padres
Andrés Muñoz,Seattle Mariners
Ben Williamson,Seattle Mariners
Bryan Woo,Seattle Mariners
Bryce Miller,Seattle Mariners
Cal Raleigh,Seattle Mariners
Carlos Vargas,Seattle Mariners
Casey Legumina,Seattle Mariners
Collin Snider,Seattle Mariners
Donovan Solano,Seattle Mariners
Eduard Bazardo,Seattle Mariners
Emerson Hancock,Seattle Mariners
Gabe Speier,Seattle Mariners
J.P. Crawford,Seattle Mariners
Jorge Polanco,Seattle Mariners
Julio Rodríguez,Seattle Mariners
Leo Rivas,Seattle Mariners
Logan Evans,Seattle Mariners
Luis Castillo,Seattle Mariners
Matt Brash,Seattle Mariners
Miles Mastrobuoni,Seattle Mariners
Mitch Garver,Seattle Mariners
Randy Arozarena,Seattle Mariners
Rhylan Thomas,Seattle Mariners
Rowdy Tellez,Seattle Mariners
Samad Taylor,Seattle Mariners
Trent Thornton,Seattle Mariners
Victor Robles,Seattle Mariners
Ryan Bliss,Seattle Mariners
Brett Wisely,San Francisco Giants
Camilo Doval,San Francisco Giants
Christian Koss,San Francisco Giants
David Villar,San Francisco Giants
Erik Miller,San Francisco Giants
Hayden Birdsong,San Francisco Giants
Heliot Ramos,San Francisco Giants
Jordan Hicks,San Francisco Giants
Hoo Lee,San Francisco Giants
Justin Verlander,San Francisco Giants
Kyle Harrison,San Francisco Giants
Wade Jr.,San Francisco Giants
Landen Roupp,San Francisco Giants
Logan Webb,San Francisco Giants
Luis Matos,San Francisco Giants
