Herman Long,BSN
Kid Gleason,PHI
Neil Ramírez,TOR
Hunter Strickland,LAA
Nick Ahmed,SDP
Iván Calderón,CHW
Bill Tierney,BLU
Bobby Del Greco,PHI
Scotty Ingerton,BSN
Tyler Lyons,STL
Jon Leicester,BAL
George Schmees,BOS
Bob Kaiser,CLE
Bill Ludwig,STL
Martín Pérez,TEX
Derrick White,CHC
Juan Francisco,TOR
Everett Teaford,KCR
Edwin Jackson,STL
Andrés Santana,SFG
Link Wasem,BSN
Ollie O'Mara,DET
Peter Connell,BRG
Hunter Strickland,NYM
Andrew Miller,BAL
Mike Mitchell,PIT
Eufemio Abreu,CSW
Red Donahue,STL
Andy Marte,ATL
George Smith,PHI
Jim Halpin,WHS
Earl Gurley,CAG
Haley,DS
Josh Smith,TEX
Terry Mulholland,NYY
Eddy Alvarez,MIA
Johnny James,LAA
Joe Buskey,PHI
Bill Bernhard,PHI
Joseph Quinn,WOR
George Wheeler,PHI
Mickey Casey,NE
Canaan Smith-Njigba,PIT
Joe Brown,CAG
Joe DeMaestri,SLB
John McMakin,BRO
George Borchers,LOU
Jack Lynch,NYP
Blake Beavan,SEA
Pete Scott,CHC
Brett Eibner,LAD
Nerio Rodríguez,TOR
Madison Bumgarner,SFG
Jerry Kindall,CHC
Ed Kirkpatrick,KCR
Roel Ramírez,STL
Emil Huhn,NEW
Hoyt Wilhelm,BAL
Herman Long,KCC
Mike Tauchman,CHC
Marcellus Thomas,SL2
Milt Bolling,DET
Ken Boyer,STL
George Craig,PHA
J.D. Martinez,BOS
Stan Yerkes,BLA
Michael Feliz,CIN
Stan Rojek,STL
Bill Buckner,CAL
Sam Coonrod,PHI
Steve Falteisek,MON
Willie Hernández,PHI
Don Newcombe,CLE
Jake Woodford,PIT
Moisés Alou,MON
Jamie Burke,CHW
Jim York,AC
Johnny O'Brien,PIT
Ernie Rudolph,BRO
Anderson Severino,CHW
Ira Flagstead,WSH
Dario Álvarez,TEX
Guillermo Quiroz,BAL
David Whatley,CBR
Frank Thomas,CIN
Rich Aurilia,SFG
Dayán Díaz,CIN
Art Milton,NBY
Tom Dowse,WHS
Doug Taitt,BOS
Ollie Bejma,CHW
Jeff Francis,NYY
Joe Martina,WSH
Francisco Cordero,TEX
Mark Petkovsek,TEX
Dave Freisleben,TOR
Billy Nicholas,NE
Martin Autry,CHW
Jack Hannifin,PHA
Tyler Wade,LAA
Ryan Dempster,BOS
Octavio Dotel,OAK
Lee Hill,SLG
Jim Essian,CHW
Gabe González,FLA
Charlie Hargreaves,PIT
Gabby Kemp,JRC
Joe Staton,DET
Jesse Tannehill,WSH
Terry Jones,MON
Bobby Chouinard,ARI
Buster Clarkson,TC
Jess Orndorff,BSN
Bill Reidy,SLB
Brent Lillibridge,CHC
Bill Landrum,CIN
Jeff Fulchino,FLA
Tony Horton,CLE
Michael Cuddyer,COL
Johnny Jones,BSN
Bob Ojeda,CLE
Jim Bucher,BOS
Alan Foster,STL
Johnie Watson,DS
William Dyke,JRC
Wilson Joseph,BBB
Eugene Tyler,CBR
Wander Suero,WSN
Ken Frailing,CHW
Daisy Davis,STL
Mark Prior,CHC
Dave Chalk,CAL
Donn Clendenon,PIT
Henry Gruber,CLE
John Riddle,WHS
Sim Bullas,TOL
Johnny Moore,CIN
Bobby Shantz,CHC
