name,team,HR
Spencer Torkelson,Detroit Tigers,15
Kerry Carpenter,Detroit Tigers,13
Riley Greene,Detroit Tigers,13
Javier Báez,Detroit Tigers,6
Dillon Dingler,Detroit Tigers,6
Gleyber Torres,Detroit Tigers,5
Colt Keith,Detroit Tigers,4
Trey Sweeney,Detroit Tigers,4
Zach McKinstry,Detroit Tigers,3
Wenceel Pérez,Detroit Tigers,3
Cedric Mullins,Baltimore Orioles,10
Ryan O'Hearn,Baltimore Orioles,9
Gunnar Henderson,Baltimore Orioles,8
Jackson Holliday,Baltimore Orioles,8
Ramón Laureano,Baltimore Orioles,7
Adley Rutschman,Baltimore Orioles,7
Heston Kjerstad,Baltimore Orioles,4
Jordan Westburg,Baltimore Orioles,4
Dylan Carlson,Baltimore Orioles,3
Colton Cowser,Baltimore Orioles,3
Elly De La Cruz,Cincinnati Reds,12
Matt McLain,Cincinnati Reds,7
Will Benson,Cincinnati Reds,6
TJ Friedl,Cincinnati Reds,6
Austin Hays,Cincinnati Reds,6
Christian Encarnacion-Strand,Cincinnati Reds,5
Jake Fraley,Cincinnati Reds,5
Tyler Stephenson,Cincinnati Reds,5
Spencer Steer,Cincinnati Reds,4
Jose Trevino,Cincinnati Reds,4
José Ramírez,Cleveland Guardians,12
Kyle Manzardo,Cleveland Guardians,11
Bo Naylor,Cleveland Guardians,9
Carlos Santana,Cleveland Guardians,7
Daniel Schneemann,Cleveland Guardians,7
Steven Kwan,Cleveland Guardians,5
Gabriel Arias,Cleveland Guardians,4
Angel Martínez,Cleveland Guardians,4
Austin Hedges,Cleveland Guardians,3
Nolan Jones,Cleveland Guardians,2
Jhonkensy Noel,Cleveland Guardians,2
Kyle Stowers,Miami Marlins,10
Agustín Ramírez,Miami Marlins,8
Matt Mervis,Miami Marlins,7
Otto Lopez,Miami Marlins,6
Jesús Sánchez,Miami Marlins,5
Liam Hicks,Miami Marlins,4
Eric Wagaman,Miami Marlins,4
Dane Myers,Miami Marlins,3
Connor Norby,Miami Marlins,3
Derek Hill,Miami Marlins,2
Oneil Cruz,Pittsburgh Pirates,12
Bryan Reynolds,Pittsburgh Pirates,8
Andrew McCutchen,Pittsburgh Pirates,5
Henry Davis,Pittsburgh Pirates,4
Alexander Canario,Pittsburgh Pirates,3
Adam Frazier,Pittsburgh Pirates,3
Matt Gorski,Pittsburgh Pirates,2
Jared Triolo,Pittsburgh Pirates,2
Enmanuel Valdez,Pittsburgh Pirates,2
Joey Bart,Pittsburgh Pirates,1
Nick Gonzales,Pittsburgh Pirates,1
Ke'Bryan Hayes,Pittsburgh Pirates,1
Spencer Horwitz,Pittsburgh Pirates,1
Isiah Kiner-Falefa,Pittsburgh Pirates,1
Pete Crow-Armstrong,Chicago Cubs,17
Seiya Suzuki,Chicago Cubs,16
Kyle Tucker,Chicago Cubs,13
Dansby Swanson,Chicago Cubs,11
Michael Busch,Chicago Cubs,10
Carson Kelly,Chicago Cubs,9
Ian Happ,Chicago Cubs,5
Miguel Amaya,Chicago Cubs,4
Reese McGuire,Chicago Cubs,2
Matt Shaw,Chicago Cubs,2
Kyle Schwarber,Philadelphia Phillies,20
Bryce Harper,Philadelphia Phillies,9
Trea Turner,Philadelphia Phillies,7
Nick Castellanos,Philadelphia Phillies,6
Max Kepler,Philadelphia Phillies,6
Alec Bohm,Philadelphia Phillies,5
J.T. Realmuto,Philadelphia Phillies,5
Bryson Stott,Philadelphia Phillies,4
Brandon Marsh,Philadelphia Phillies,2
Rafael Marchán,Philadelphia Phillies,1
Johan Rojas,Philadelphia Phillies,1
Edmundo Sosa,Philadelphia Phillies,1
Weston Wilson,Philadelphia Phillies,1
James Wood,Washington Nationals,16
Josh Bell,Washington Nationals,9
CJ Abrams,Washington Nationals,8
Nathaniel Lowe,Washington Nationals,8
Dylan Crews,Washington Nationals,7
Luis García Jr.,Washington Nationals,5
Amed Rosario,Washington Nationals,3
Riley Adams,Washington Nationals,2
Alex Call,Washington Nationals,2
Keibert Ruiz,Washington Nationals,2
Pete Alonso,New York Mets,17
Francisco Lindor,New York Mets,14
Juan Soto,New York Mets,11
Brandon Nimmo,New York Mets,10
Brett Baty,New York Mets,7
