Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Yandy Diaz,12,51,11,24,4,10,3,5,.471,.518,.804,2025-06-21
Gavin Sheets,12,45,5,15,1,7,5,6,.333,.385,.489,2025-06-21
Josh Naylor,10,41,9,17,2,10,4,5,.415,.457,.634,2025-06-20
Brandon Lowe,10,40,10,16,2,6,3,6,.400,.442,.600,2025-06-21
Luis Garcia Jr.,10,39,5,13,2,7,1,5,.333,.350,.590,2025-06-21
Alec Burleson,9,39,5,16,3,10,1,4,.410,.415,.718,2025-06-21
Josh Smith,9,40,12,15,2,4,4,6,.375,.432,.625,2025-06-21
Jake Meyers,9,33,6,14,0,3,4,6,.424,.500,.485,2025-06-21
Jake Mangum,9,37,6,13,0,8,2,5,.351,.400,.405,2025-06-21
Matt McLain,9,30,7,12,1,4,3,5,.400,.471,.567,2025-06-21
Tyler Freeman,9,28,5,11,0,3,4,2,.393,.528,.429,2025-06-21
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Luis Arraez,8,37,4,12,0,4,0,0,.324,.324,.405,2025-06-21
Alec Bohm,7,28,5,12,1,7,4,6,.429,.500,.607,2025-06-21
Jonathan Aranda,7,27,5,11,0,4,3,7,.407,.467,.519,2025-06-21
Matt Chapman,7,26,5,8,2,4,2,7,.308,.379,.654,2025-06-08
Brice Turang,6,24,5,9,0,1,2,6,.375,.407,.500,2025-06-21
Bobby Witt Jr.,6,24,7,9,2,3,2,3,.375,.423,.792,2025-06-21
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Christian Yelich,5,22,2,12,1,11,1,6,.545,.565,.864,2025-06-21
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Joey Ortiz,5,20,4,9,0,4,0,4,.450,.450,.450,2025-06-21
J.T. Realmuto,5,20,4,8,0,1,1,6,.400,.429,.450,2025-06-21
Starling Marte,5,20,0,8,0,3,1,2,.400,.429,.500,2025-06-19
Ivan Herrera,5,20,2,8,1,5,1,3,.400,.455,.550,2025-06-19
Isaac Collins,5,19,6,7,2,8,2,5,.368,.409,.789,2025-06-21
Mickey Moniak,5,19,5,7,3,6,1,4,.368,.400,1.000,2025-06-21
Tomas Nido,5,19,3,7,0,0,0,5,.368,.368,.368,2025-05-19
Gary Sanchez,5,17,5,7,2,7,1,1,.412,.474,.765,2025-06-21
Hunter Goodman,5,21,3,6,3,8,2,7,.286,.348,.762,2025-06-21
Jackson Merrill,5,17,2,6,0,3,4,4,.353,.455,.529,2025-06-14
Mitch Garver,5,20,3,6,2,6,1,10,.300,.333,.650,2025-06-20
Eric Wagaman,5,18,2,6,1,3,1,2,.333,.368,.611,2025-06-21
