Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Manny Machado,10,38,11,18,1,7,5,10,.474,.535,.658,2025-05-10
Jake Meyers,10,35,7,14,2,8,5,3,.400,.475,.657,2025-05-10
Victor Scott,10,31,7,12,1,7,5,9,.387,.459,.516,2025-05-10
Brendan Donovan,10,37,6,11,0,3,4,2,.297,.381,.378,2025-05-10
Trea Turner,9,41,8,17,1,3,1,4,.415,.429,.537,2025-05-10
James Wood,9,37,3,14,1,2,5,11,.378,.452,.541,2025-05-10
Jordan Beck,9,39,6,10,1,3,0,8,.256,.256,.462,2025-05-10
Yainer Diaz,8,33,4,13,1,6,1,4,.394,.429,.545,2025-05-10
Shohei Ohtani,8,32,11,13,5,10,7,9,.406,.513,1.062,2025-05-10
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06
Eli White,8,29,3,9,0,2,2,8,.310,.355,.483,2025-05-10
Jacob Wilson,7,29,6,15,0,5,3,2,.517,.562,.621,2025-05-10
Andy Pages,7,31,5,10,0,5,0,6,.323,.323,.452,2025-05-10
Josh Smith,6,26,4,11,1,3,2,3,.423,.464,.615,2025-05-10
Emmanuel Rivera,6,21,0,9,0,3,0,4,.429,.429,.524,2025-05-10
Corey Seager,6,27,9,9,2,6,0,3,.333,.333,.630,2025-05-10
Cody Bellinger,6,23,5,8,2,4,3,3,.348,.423,.609,2025-05-10
Christian Walker,6,24,3,8,0,3,2,5,.333,.385,.458,2025-05-10
Alec Bohm,6,22,4,8,1,3,2,5,.364,.440,.545,2025-05-09
Ryan Mountcastle,6,24,0,7,0,4,0,4,.292,.280,.417,2025-05-10
Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08
Jackson Merrill,5,24,7,13,2,8,1,5,.542,.577,.875,2025-05-10
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06
Vinnie Pasquantino,5,21,2,9,0,2,1,4,.429,.455,.429,2025-05-10
Jose Ramirez,5,19,3,8,1,3,3,4,.421,.522,.737,2025-05-10
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07
Ernie Clement,5,20,3,7,0,1,1,5,.350,.381,.450,2025-05-10
Rhys Hoskins,5,19,1,7,0,4,1,5,.368,.400,.579,2025-05-10
Kyle Isbel,5,16,4,6,2,2,0,2,.375,.375,.875,2025-05-09
Junior Caminero,5,18,1,6,1,3,1,2,.333,.333,.500,2025-05-10
Nico Hoerner,5,21,4,6,0,0,0,3,.286,.286,.381,2025-05-10
Benjamin Williamson,5,20,2,6,0,3,0,8,.300,.300,.350,2025-05-10
Connor Norby,5,19,2,5,0,2,2,4,.263,.333,.368,2025-05-10
Riley Adams,5,17,3,5,2,6,0,7,.294,.294,.706,2025-05-06
