name,team,hrs,hrpg,fhrpg
Hunter Goodman,Colorado Rockies,9,0.16,1/6,13,0.19,1/5,
Hunter Goodman,Colorado Rockies,9,0.16,1/6,13,0.19,1/5,
Zach Neto,Los Angeles Angels,10,0.24,1/4,23,0.15,1/7,
Mike Trout,Los Angeles Angels,10,0.3,2/7,10,0.34,1/3,
Jo Adell,Los Angeles Angels,9,0.17,1/6,20,0.15,1/7,
Jo Adell,Los Angeles Angels,9,0.17,1/6,20,0.15,1/7,
Ceddanne Rafaela,Boston Red Sox,4,0.07,0,15,0.1,1/7,
Christian Yelich,Milwaukee Brewers,13,0.22,1/5,11,0.15,1/7,
Kerry Carpenter,Detroit Tigers,13,0.23,1/4,18,0.21,1/5,
Dillon Dingler,Detroit Tigers,6,0.14,1/7,1,0.04,0,
Wenceel Pérez,Detroit Tigers,2,0.33,1/3,9,0.08,1/7,
Kerry Carpenter,Detroit Tigers,13,0.23,1/4,18,0.21,1/5,
Kerry Carpenter,Detroit Tigers,13,0.23,1/4,18,0.21,1/5,
Lawrence Butler,Athletics,9,0.16,1/6,22,0.18,1/6,
Francisco Lindor,New York Mets,14,0.24,1/4,33,0.22,1/5,
Shohei Ohtani,Los Angeles Dodgers,23,0.4,2/5,54,0.34,1/3,
