AB2,AB2,Indianapolis ABCs,1931,1932
AB2,ID,Indianapolis ABCs/Detroit Stars,1933,1933
ABC,ABC,Indianapolis ABCs,1920,1926
AG,AG,Akron Black Tyrites,1933,1933
ALT,ALT,Altoona Mountain City,1884,1884
ANA,ANA,Anaheim Angels,1997,2004
ANA,CAL,California Angels,1965,1996
ANA,LAA,Los Angeles Angels of Anaheim,1961,Present
ARI,ARI,Arizona Diamondbacks,1998,Present
ATH,ATH,Philadelphia Athletics,1876,1876
ATL,ATL,Atlanta Braves,1966,Present
ATL,BSN,Boston Braves,1876,1952
ATL,MLN,Milwaukee Braves,1953,1965
BAG,AC,Atlantic City Bacharach Giants,1923,1929
BAL,BAL,Baltimore Orioles,1954,Present
BAL,MLA,Milwaukee Brewers,1901,1901
BAL,SLB,St. Louis Browns,1902,1953
BBB,BBB,Birmingham Black Barons,1924,1948
BBS,BBS,Baltimore Black Sox,1923,1934
BCA,BCA,Atlanta Black Crackers,1932,1938
BCA,IAB,Indianapolis ABCs,1939,1939
BEG,BEG,Baltimore Elite Giants,1938,1948
BEG,CEG,Columbus Elite Giants,1935,1935
BEG,NEG,Nashville Elite Giants,1930,1934
BEG,WEG,Washington Elite Giants,1936,1937
BFB,BUF,Buffalo Bisons,1890,1890
BFL,BUF,Buffalo Buffeds,1914,1915
BLA,BLA,Baltimore Orioles,1901,1902
BLC,BAL,Baltimore Canaries,1872,1874
BLO,BAL,Baltimore Orioles,1882,1891
BLO,BLN,Baltimore Orioles,1892,1899
BLT,BAL,Baltimore Terrapins,1914,1915
BLU,BLU,Baltimore Monumentals,1884,1884
BNA,BOS,Boston Red Stockings,1871,1875
BOS,BOS,Boston Red Sox,1901,Present
BR2,BRG,Brooklyn Royal Giants,1923,1927
BRA,BRA,Brooklyn Atlantics,1872,1875
BRD,BOS,Boston Reds,1884,1884
BRG,BRG,Brooklyn Gladiators,1890,1890
BRS,BOS,Boston Reds,1890,1891
BTT,BTT,Brooklyn Tip-Tops,1914,1915
BUF,BUF,Buffalo Bisons,1879,1885
BWW,BWW,Brooklyn Ward's Wonders,1890,1890
CAG,CAG,Chicago American Giants,1920,1948
CBB,CBB,Columbus Blue Birds,1933,1933
CBE,CBE,Cleveland Buckeyes,1943,1948
CBE,CCB,Cincinnati/Cleveland Buckeyes,1942,1942
CBK,COL,Columbus Buckeyes,1883,1884
CBL,CLV,Cleveland Blues,1879,1884
CBN,CBN,Cleveland Browns,1924,1924
CCU,CCU,Cleveland Cubs,1931,1931
CEL,CEL,Cleveland Elites,1926,1926
CEN,CEN,Philadelphia Centennials,1875,1875
CFC,CLE,Cleveland Forest Citys,1871,1872
CG,CG,Cleveland Giants,1933,1933
CHC,CHC,Chicago Cubs,1876,Present
CHH,CHI,Chicago Chi-Feds,1914,1915
CHP,CHI,Chicago Pirates,1890,1890
CHT,CHT,Cleveland Hornets,1927,1927
CHW,CHW,Chicago White Sox,1901,Present
CIN,CIN,Cincinnati Reds,1882,Present
CKK,CKK,Cincinnati Kelly's Killers,1891,1891
CL2,CLS,Cleveland Stars,1932,1932
CLE,CLE,Cleveland Guardians,1901,Present
