Name,Team,Hrs,Hits,RBI,HRpg,fHRpg,Hpg,fHpg,RBIpg,fRBIpg,HR24,HR24pg,fHR24pg
Wyatt Langford,Texas Rangers,13,60,31,0.197,1/5,0.909,6/7,0.47,1/2,16,0.12,1/7
Jake Burger,Texas Rangers,10,52,29,0.154,1/7,0.8,4/5,0.446,3/7,29,0.21,1/5
Adolis García,Texas Rangers,9,61,37,0.122,1/7,0.824,5/6,0.5,1/2,25,0.16,1/6
Jonah Heim,Texas Rangers,7,44,20,0.119,1/7,0.746,3/4,0.339,1/3,13,0.1,1/7
Josh Jung,Texas Rangers,7,60,30,0.103,1/7,0.882,6/7,0.441,3/7,7,0.15,1/7
Corey Seager,Texas Rangers,7,41,16,0.149,1/7,0.872,6/7,0.34,1/3,30,0.24,1/4
Marcus Semien,Texas Rangers,7,61,32,0.09,1/7,0.782,4/5,0.41,2/5,23,0.14,1/7
Josh Smith,Texas Rangers,7,66,21,0.106,1/7,1.0,1,0.318,1/3,13,0.09,1/7
Evan Carter,Texas Rangers,4,20,10,0.148,1/7,0.741,3/4,0.37,2/5,5,0.11,1/7
Sam Haggerty,Texas Rangers,2,27,9,0.059,0,0.794,4/5,0.265,1/4,0,0.0,0
Joc Pederson,Texas Rangers,2,16,6,0.043,0,0.348,1/3,0.13,1/7,23,0.17,1/6
Cedric Mullins,Baltimore Orioles,12,49,35,0.194,1/5,0.79,4/5,0.565,4/7,18,0.12,1/7
Ryan O'Hearn,Baltimore Orioles,10,68,29,0.154,1/7,1.046,1,0.446,3/7,15,0.11,1/7
Jackson Holliday,Baltimore Orioles,9,73,32,0.127,1/7,1.028,1,0.451,3/7,5,0.08,1/7
Ramón Laureano,Baltimore Orioles,9,39,22,0.173,1/6,0.75,3/4,0.423,3/7,11,0.11,1/7,1,0.03,0,10,0.15,1/7
Gunnar Henderson,Baltimore Orioles,8,75,23,0.113,1/7,1.056,1,0.324,1/3,37,0.23,1/4
Adley Rutschman,Baltimore Orioles,8,55,20,0.118,1/7,0.809,4/5,0.294,2/7,19,0.13,1/7
Jordan Westburg,Baltimore Orioles,7,30,14,0.206,1/5,0.882,6/7,0.412,2/5,18,0.17,1/6
Colton Cowser,Baltimore Orioles,6,16,11,0.286,2/7,0.762,3/4,0.524,1/2,24,0.16,1/6
Ramón Urías,Baltimore Orioles,5,47,25,0.091,1/7,0.855,6/7,0.455,3/7,11,0.11,1/7
Dylan Carlson,Baltimore Orioles,4,26,12,0.108,1/7,0.703,5/7,0.324,1/3,3,0.03,0,0,0.0,0,3,0.08,1/7
Heston Kjerstad,Baltimore Orioles,4,30,19,0.074,0,0.556,4/7,0.352,1/3,4,0.1,1/7
Brent Rooker,Athletics,15,86,41,0.188,1/5,1.075,1,0.512,1/2,39,0.27,2/7
Tyler Soderstrom,Athletics,14,74,45,0.177,1/6,0.937,1,0.57,4/7,9,0.15,1/7
Lawrence Butler,Athletics,11,79,32,0.147,1/7,1.053,1,0.427,3/7,22,0.18,1/6
Nick Kurtz,Athletics,10,35,25,0.25,1/4,0.875,6/7,0.625,3/5,0,0,0
Shea Langeliers,Athletics,10,49,27,0.179,1/6,0.875,6/7,0.482,1/2,29,0.21,1/5
Jacob Wilson,Athletics,9,102,40,0.122,1/7,1.378,7/5,0.541,4/7,0,0.0,0
JJ Bleday,Athletics,8,39,22,0.136,1/7,0.661,2/3,0.373,2/5,20,0.13,1/7
Luis Urías,Athletics,7,50,17,0.111,1/7,0.794,4/5,0.27,2/7,4,0.1,1/7
Max Muncy,Athletics,5,56,45,0.149,1/7,0.757,3/4,0.608,3/5,15,0.21,1/5
